Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17378339,167.0,175.30745,166.0,171.0,105.0,515.0,133.0,148.0,195.0,297.0
0.34756678,191.0,215.91924,202.0,190.0,133.0,629.0,161.0,178.0,239.0,404.0
0.5213502,199.0,239.9729,224.0,211.0,147.0,704.0,177.0,197.0,268.0,457.0
0.69513357,207.0,257.26108,239.0,216.0,156.0,749.0,188.0,209.0,288.0,495.0
0.868917,211.0,270.96927,251.0,237.0,166.0,786.0,197.0,220.0,303.0,516.0
1.0427004,214.0,282.29233,261.0,234.0,177.0,817.0,205.0,228.0,317.0,555.0
1.2164837,217.0,291.61594,269.0,240.0,184.0,861.0,211.0,235.0,330.0,576.0
1.3902671,219.0,299.59198,276.0,264.0,188.0,885.0,217.0,241.0,340.0,589.0
1.5640506,220.0,306.8739,282.0,273.0,191.0,902.0,222.0,245.0,350.0,599.0
1.737834,221.0,313.39447,287.0,265.0,199.0,918.0,226.0,250.0,358.0,625.0
1.9116173,223.0,319.35593,292.0,276.0,203.0,930.0,230.0,254.0,365.0,653.0
2.0854008,224.0,324.65295,297.0,280.0,207.0,938.0,234.0,258.0,373.0,657.0
2.2591841,227.0,329.54144,301.0,304.0,213.0,957.0,237.0,261.0,380.0,665.0
2.4329674,229.0,334.1235,305.0,300.0,214.0,985.0,240.0,264.0,384.0,679.0
2.606751,231.0,338.34238,308.0,309.0,216.0,1011.0,241.0,268.0,389.0,687.0
2.7805343,232.0,342.07712,311.0,306.0,216.0,1034.0,243.0,271.0,395.0,695.0
2.9543176,232.0,345.69305,314.0,309.0,217.0,1045.0,246.0,273.0,400.0,703.0
3.128101,233.0,348.93643,318.0,313.0,220.0,1051.0,247.0,276.0,403.0,708.0
3.3018844,235.0,352.03073,320.0,302.0,222.0,1054.0,249.0,278.0,407.0,710.0
3.475668,235.0,354.9609,323.0,317.0,223.0,1066.0,251.0,280.0,410.0,716.0
3.6494513,236.0,357.81708,325.0,323.0,224.0,1073.0,253.0,282.0,417.0,727.0
3.8232346,236.0,360.48618,327.0,325.0,224.0,1084.0,255.0,284.0,419.0,735.0
3.997018,238.0,362.9927,329.0,326.0,224.0,1093.0,256.0,285.0,422.0,740.0
4.1708016,240.0,365.6342,331.0,324.0,226.0,1099.0,257.0,287.0,426.0,749.0
4.344585,240.0,367.99792,333.0,303.0,227.0,1102.0,259.0,289.0,429.0,751.0
4.5183682,244.0,370.25586,335.0,330.0,229.0,1114.0,261.0,291.0,433.0,752.0
4.6921515,246.0,372.778,338.0,331.0,229.0,1134.0,262.0,293.0,435.0,762.0
4.865935,249.0,375.20377,340.0,316.0,232.0,1144.0,263.0,294.0,436.0,769.0
5.039718,253.0,377.31528,342.0,323.0,233.0,1151.0,264.0,296.0,439.0,790.0
5.213502,257.0,379.37625,343.0,337.0,234.0,1161.0,266.0,297.0,441.0,795.0
5.387285,260.0,381.31787,345.0,353.0,234.0,1166.0,267.0,298.0,443.0,804.0
5.5610685,264.0,383.18448,347.0,349.0,237.0,1176.0,269.0,300.0,445.0,809.0
5.734852,264.0,385.1277,348.0,338.0,240.0,1191.0,270.0,301.0,448.0,813.0
5.908635,266.0,386.9312,349.0,330.0,241.0,1202.0,271.0,303.0,451.0,816.0
6.082419,268.0,388.61908,351.0,325.0,243.0,1211.0,271.0,303.0,453.0,819.0
6.256202,268.0,390.28452,352.0,324.0,243.0,1217.0,272.0,305.0,457.0,823.0
6.4299855,269.0,391.86868,353.0,324.0,245.0,1223.0,273.0,306.0,460.0,826.0
6.603769,269.0,393.29858,355.0,340.0,245.0,1226.0,274.0,307.0,461.0,828.0
6.777552,269.0,394.75143,356.0,327.0,246.0,1229.0,276.0,307.0,462.0,829.0
6.951336,269.0,396.14957,357.0,350.0,248.0,1233.0,277.0,308.0,465.0,833.0
7.125119,269.0,397.48566,358.0,332.0,249.0,1235.0,277.0,309.0,467.0,836.0
7.2989025,270.0,398.79,359.0,343.0,254.0,1236.0,278.0,310.0,469.0,842.0
7.472686,270.0,400.10214,360.0,344.0,254.0,1240.0,279.0,311.0,470.0,843.0
7.646469,270.0,401.47577,361.0,345.0,254.0,1243.0,279.0,312.0,472.0,846.0
7.820253,270.0,402.97498,363.0,345.0,254.0,1246.0,281.0,313.0,474.0,848.0
7.994036,270.0,404.34705,364.0,346.0,254.0,1251.0,282.0,315.0,477.0,850.0
8.167819,270.0,405.6842,365.0,338.0,258.0,1255.0,282.0,316.0,479.0,854.0
8.341603,270.0,406.9333,366.0,335.0,259.0,1257.0,283.0,316.0,481.0,859.0
8.515387,270.0,408.11673,367.0,354.0,259.0,1261.0,284.0,317.0,482.0,860.0
8.68917,270.0,409.24493,368.0,349.0,260.0,1263.0,284.0,318.0,483.0,862.0
8.862953,270.0,410.4075,369.0,325.0,260.0,1268.0,284.0,319.0,485.0,864.0
9.0367365,271.0,411.59824,370.0,352.0,260.0,1271.0,286.0,319.0,487.0,865.0
9.21052,271.0,412.63626,371.0,341.0,261.0,1272.0,286.0,320.0,488.0,867.0
