Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.5092507E-5,6.290325E-5,0.018913474,300.67563,0.018851757,1.9323928E-4,2.6956003E-4,0.024256237,89.98455,0.023993146,0.0023501497,0.0032774,0.033170536,10.120992,0.029991431,0.023254504,0.032351844,0.06386053,1.9739376,0.032562125
6.1,4.5092507E-5,6.290325E-5,0.018913474,300.67563,0.018851757,1.9323928E-4,2.6956003E-4,0.024256237,89.98455,0.023993146,0.0023501497,0.0032774,0.033170536,10.120992,0.029991431,0.023254504,0.032351844,0.06386053,1.9739376,0.032562125
6.2,2.6674514E-5,3.4509674E-5,0.014601273,423.10666,0.014567266,1.1431433E-4,1.4789042E-4,0.019853631,134.24556,0.019708654,0.0013908884,0.0017991117,0.027459802,15.262978,0.025706941,0.01382215,0.017890299,0.04482047,2.5052948,0.027420737
6.3,2.6674514E-5,3.4509674E-5,0.014601273,423.10666,0.014567266,1.1431433E-4,1.4789042E-4,0.019853631,134.24556,0.019708654,0.0013908884,0.0017991117,0.027459802,15.262978,0.025706941,0.01382215,0.017890299,0.04482047,2.5052948,0.027420737
6.4,2.5312667E-5,3.233893E-5,0.014599134,451.44147,0.014567266,1.0847834E-4,1.3858822E-4,0.019844512,143.19046,0.019708654,0.0013199237,0.0016860351,0.027349632,16.221272,0.025706941,0.013121112,0.016778335,0.043739,2.6068735,0.027420737
6.5,2.5312667E-5,3.233893E-5,0.014599134,451.44147,0.014567266,1.0847834E-4,1.3858822E-4,0.019844512,143.19046,0.019708654,0.0013199237,0.0016860351,0.027349632,16.221272,0.025706941,0.013121112,0.016778335,0.043739,2.6068735,0.027420737
6.6,2.246556E-5,2.8133776E-5,0.014594991,518.7711,0.014567266,9.627742E-5,1.20567885E-4,0.019826846,164.4455,0.019708654,0.0011715472,0.0014669491,0.027136179,18.498377,0.025706941,0.011653901,0.01461866,0.041638542,2.8483145,0.027420737
6.7,2.2241198E-5,2.7803519E-5,0.014594665,524.9215,0.014567266,9.531594E-5,1.1915263E-4,0.019825459,166.38708,0.019708654,0.0011598538,0.0014497414,0.027119413,18.70638,0.025706941,0.011538187,0.014448853,0.041473392,2.8703587,0.027420737
6.8,1.9528685E-5,2.389819E-5,0.014590817,610.54065,0.014567266,8.369167E-5,1.0241691E-4,0.018095432,176.68404,0.017994858,0.0010184698,0.0012462323,0.023497816,18.855085,0.022279348,0.010138147,0.012436427,0.036131185,2.9052703,0.023993146
6.9,1.3318621E-5,1.5198884E-5,0.011154704,733.91595,0.011139674,5.7078556E-5,6.513648E-5,0.014631454,224.62764,0.014567266,6.9470983E-4,7.927538E-4,0.017917128,22.601124,0.017137961,0.0069254204,0.007939888,0.026641963,3.3554585,0.018851757
7.0,1.1760853E-5,1.31077895E-5,0.011152636,850.84033,0.011139674,5.0402683E-5,5.6175057E-5,0.014622623,260.30453,0.014567266,6.134799E-4,6.8372174E-4,0.016953653,24.79613,0.016281063,0.0061178906,0.00685652,0.024727996,3.6064937,0.017994858
7.1,1.0064758E-5,1.0902931E-5,0.011150456,1022.70264,0.011139674,4.3133965E-5,4.672603E-5,0.014613312,312.74457,0.014567266,5.2502943E-4,5.687444E-4,0.015984137,28.104254,0.015424165,0.005237907,0.0057129986,0.02275305,3.9826808,0.017137961
