Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.94717044,0.8494382,0.9808081
6.1,0.9467332,0.8486415,0.96464646
6.2,0.86219096,0.74510133,0.88383836
6.3,0.82983476,0.7154676,0.85050505
6.4,0.8024758,0.69082195,0.8171717
6.5,0.7579142,0.65211177,0.7414141
6.6,0.7088855,0.61144465,0.66262627
6.7,0.6178984,0.54171836,0.540404
6.8,0.4110477,0.40408,0.27979797
6.9,0.3726476,0.37939,0.23535353
7.0,0.34836653,0.36310562,0.2060606
7.1,0.33104336,0.34964237,0.18686868
7.2,0.3149272,0.3354203,0.17171717
7.3,0.29897562,0.32018775,0.15555556
7.4,0.27361086,0.29407793,0.13838384
7.5,0.2477765,0.26759517,0.12222222
7.6,0.20146294,0.21887977,0.0959596
7.7,0.053298034,0.062141024,0.021212121
7.8,0.0047962754,0.005517763,0.002020202
