Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.9554694,0.83704865,0.997
6.1,0.9554694,0.83704865,0.997
6.2,0.93937117,0.7926848,0.995
6.3,0.9389828,0.79224753,0.995
6.4,0.93292415,0.7808301,0.994
6.5,0.93064564,0.77679825,0.994
6.6,0.9286047,0.7736693,0.993
6.7,0.92736304,0.77184606,0.993
6.8,0.9259497,0.76981354,0.993
6.9,0.92199045,0.76455617,0.993
7.0,0.8911606,0.73546916,0.982
7.1,0.88590074,0.7299091,0.982
7.2,0.86102295,0.7099975,0.97
7.3,0.84244263,0.69209516,0.945
7.4,0.73884606,0.61817026,0.819
7.5,0.6504233,0.5551809,0.705
7.6,0.55655557,0.48749292,0.6
7.7,0.43819776,0.37002665,0.486
7.8,0.36629486,0.2608699,0.415
7.9,0.30538604,0.20728022,0.334
8.0,0.26665244,0.17824727,0.289
8.1,0.124603406,0.0898954,0.122
8.2,0.058251593,0.03716123,0.058
8.3,0.0027159685,0.0029672724,0.003
