Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037813455,0.0,0.54272,0.0,0.0,0.0,216.0,0.0,0.0,1.0,2.0
0.07562691,0.0,0.75906,0.0,0.0,0.0,403.0,0.0,0.0,1.0,3.0
0.113440365,0.0,0.90618,0.0,0.0,0.0,489.0,0.0,0.0,2.0,3.0
0.15125382,0.0,1.02589,1.0,0.0,0.0,559.0,0.0,0.0,2.0,4.0
0.18906727,0.0,1.12269,1.0,0.0,0.0,608.0,0.0,0.0,2.0,4.0
0.22688073,0.0,1.20624,1.0,0.0,0.0,638.0,0.0,0.0,2.0,4.0
0.26469418,0.0,1.28194,1.0,0.0,0.0,664.0,0.0,0.0,2.0,4.0
0.30250764,1.0,1.3474,1.0,0.0,0.0,692.0,0.0,0.0,2.0,4.0
0.3403211,1.0,1.40417,1.0,0.0,0.0,725.0,0.0,0.0,2.0,4.0
0.37813455,1.0,1.45679,1.0,0.0,0.0,746.0,0.0,0.0,2.0,4.0
0.415948,1.0,1.50391,1.0,0.0,0.0,760.0,0.0,0.0,2.0,5.0
0.45376146,1.0,1.54869,1.0,0.0,0.0,778.0,0.0,0.0,2.0,5.0
0.4915749,1.0,1.59115,1.0,0.0,0.0,785.0,0.0,0.0,2.0,5.0
0.52938837,1.0,1.63136,1.0,0.0,0.0,795.0,0.0,0.0,2.0,5.0
0.56720185,1.0,1.67193,1.0,0.0,0.0,810.0,0.0,0.0,2.0,5.0
0.6050153,1.0,1.70926,1.0,0.0,0.0,827.0,0.0,0.0,2.0,5.0
0.64282876,1.0,1.74649,1.0,0.0,0.0,845.0,0.0,0.0,2.0,5.0
0.6806422,1.0,1.78269,1.0,0.0,0.0,858.0,0.0,0.0,2.0,5.0
0.7184557,1.0,1.81488,1.0,0.0,0.0,865.0,0.0,0.0,2.0,5.0
0.7562691,2.0,1.84849,1.0,1.0,0.0,879.0,0.0,0.0,2.0,5.0
0.7940826,2.0,1.88146,1.0,1.0,0.0,891.0,0.0,0.0,3.0,5.0
0.831896,2.0,1.91457,1.0,1.0,0.0,896.0,0.0,0.0,3.0,5.0
0.8697095,2.0,1.94409,1.0,1.0,0.0,901.0,0.0,0.0,3.0,5.0
0.9075229,2.0,1.97331,1.0,1.0,0.0,913.0,0.0,0.0,3.0,5.0
0.9453364,2.0,1.99952,1.0,1.0,0.0,956.0,0.0,0.0,3.0,6.0
0.9831498,2.0,2.02355,1.0,1.0,0.0,979.0,0.0,0.0,3.0,6.0
1.0209633,2.0,2.04642,1.0,1.0,0.0,1011.0,0.0,0.0,3.0,6.0
1.0587767,2.0,2.06915,1.0,1.0,0.0,1043.0,0.0,0.0,3.0,6.0
1.0965902,2.0,2.09051,1.0,1.0,0.0,1073.0,0.0,0.0,3.0,6.0
1.1344037,2.0,2.11162,1.0,1.0,0.0,1098.0,0.0,0.0,3.0,6.0
1.1722171,2.0,2.13382,1.0,1.0,0.0,1116.0,0.0,0.0,3.0,6.0
1.2100306,2.0,2.15526,1.0,1.0,0.0,1133.0,0.0,0.0,3.0,6.0
1.247844,2.0,2.17722,1.0,1.0,0.0,1150.0,0.0,0.0,3.0,6.0
1.2856575,2.0,2.19812,1.0,1.0,0.0,1164.0,0.0,0.0,3.0,6.0
1.323471,2.0,2.21716,1.0,1.0,0.0,1177.0,0.0,0.0,3.0,6.0
1.3612844,2.0,2.23491,1.0,1.0,0.0,1191.0,0.0,0.0,3.0,6.0
1.3990978,2.0,2.25341,1.0,1.0,0.0,1206.0,0.0,0.0,3.0,6.0
1.4369113,2.0,2.27087,1.0,1.0,0.0,1221.0,0.0,0.0,3.0,6.0
1.4747248,2.0,2.28808,1.0,1.0,0.0,1232.0,0.0,0.0,3.0,6.0
1.5125382,2.0,2.30356,1.0,1.0,0.0,1238.0,0.0,0.0,3.0,6.0
1.5503517,2.0,2.31934,1.0,1.0,0.0,1242.0,0.0,0.0,3.0,6.0
1.5881652,2.0,2.33477,1.0,1.0,0.0,1247.0,0.0,0.0,3.0,6.0
1.6259786,2.0,2.35084,1.0,1.0,0.0,1261.0,0.0,0.0,3.0,6.0
1.663792,2.0,2.36602,1.0,1.0,0.0,1267.0,0.0,0.0,3.0,6.0
1.7016056,2.0,2.38342,1.0,1.0,0.0,1278.0,0.0,0.0,3.0,6.0
1.739419,2.0,2.39905,1.0,1.0,0.0,1284.0,0.0,0.0,3.0,6.0
1.7772324,2.0,2.41478,1.0,1.0,0.0,1295.0,0.0,0.0,3.0,6.0
1.8150458,3.0,2.42911,1.0,1.0,0.0,1304.0,0.0,0.0,3.0,6.0
1.8528594,3.0,2.44325,1.0,1.0,0.0,1310.0,0.0,0.0,3.0,6.0
1.8906728,3.0,2.46015,1.0,1.0,0.0,1318.0,0.0,0.0,3.0,7.0
1.9284862,3.0,2.4751,1.0,1.0,0.0,1324.0,0.0,0.0,3.0,7.0
1.9662997,3.0,2.48962,1.0,1.0,0.0,1337.0,0.0,0.0,3.0,7.0
2.0041132,3.0,2.50389,1.0,1.0,0.0,1339.0,0.0,0.0,3.0,7.0
2.0419266,3.0,2.51824,1.0,1.0,0.0,1345.0,0.0,0.0,3.0,7.0
2.07974,3.0,2.53227,1.0,1.0,0.0,1355.0,0.0,0.0,3.0,7.0
2.1175535,3.0,2.54617,1.0,1.0,0.0,1363.0,0.0,0.0,3.0,7.0
2.155367,3.0,2.5586,1.0,1.0,0.0,1368.0,0.0,0.0,3.0,7.0
2.1931803,3.0,2.57186,1.0,1.0,0.0,1379.0,0.0,0.0,3.0,7.0
2.230994,3.0,2.58479,1.0,1.0,0.0,1384.0,0.0,0.0,3.0,7.0
2.2688074,3.0,2.59812,1.0,1.0,0.0,1389.0,0.0,0.0,3.0,7.0
2.3066208,3.0,2.61003,1.0,1.0,0.0,1392.0,0.0,0.0,3.0,7.0
2.3444343,3.0,2.62441,1.0,1.0,0.0,1397.0,0.0,0.0,3.0,7.0
2.3822477,3.0,2.63726,1.0,1.0,0.0,1401.0,0.0,0.0,3.0,7.0
2.420061,3.0,2.64829,1.0,1.0,0.0,1408.0,0.0,0.0,3.0,7.0
2.4578745,3.0,2.66144,1.0,1.0,0.0,1415.0,0.0,0.0,3.0,7.0
2.495688,3.0,2.67391,1.0,1.0,0.0,1423.0,0.0,0.0,3.0,7.0
2.5335016,3.0,2.68651,1.0,1.0,0.0,1424.0,0.0,0.0,3.0,7.0
2.571315,3.0,2.69946,1.0,1.0,0.0,1429.0,0.0,0.0,3.0,7.0
2.6091285,3.0,2.71739,1.0,1.0,0.0,1432.0,0.0,0.0,3.0,7.0
2.646942,3.0,2.73219,1.0,1.0,0.0,1436.0,0.0,0.0,3.0,7.0
2.6847553,3.0,2.74704,1.0,1.0,0.0,1439.0,0.0,0.0,3.0,7.0
2.7225688,3.0,2.76029,1.0,1.0,0.0,1444.0,0.0,0.0,3.0,7.0
2.7603822,3.0,2.77345,1.0,1.0,0.0,1450.0,0.0,0.0,3.0,7.0
2.7981956,3.0,2.7856,1.0,1.0,0.0,1458.0,0.0,0.0,3.0,7.0
2.8360093,3.0,2.79693,1.0,1.0,0.0,1463.0,0.0,0.0,3.0,7.0
2.8738227,3.0,2.80831,1.0,1.0,0.0,1464.0,0.0,0.0,3.0,7.0
2.911636,3.0,2.81942,1.0,1.0,0.0,1469.0,0.0,0.0,3.0,7.0
2.9494495,3.0,2.83001,1.0,1.0,0.0,1476.0,0.0,0.0,3.0,7.0
2.987263,3.0,2.84039,1.0,1.0,0.0,1480.0,0.0,0.0,3.0,7.0
3.0250764,3.0,2.85066,1.0,1.0,0.0,1484.0,0.0,0.0,3.0,7.0
3.0628898,3.0,2.86241,1.0,1.0,0.0,1489.0,0.0,0.0,3.0,7.0
3.1007035,3.0,2.87417,1.0,1.0,0.0,1494.0,0.0,0.0,3.0,7.0
3.138517,3.0,2.88373,1.0,1.0,0.0,1498.0,0.0,0.0,3.0,7.0
