Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0019917984,0.0,0.0848,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0
0.003983597,0.0,0.15264,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0
0.0059753954,0.0,0.21119,0.0,0.0,0.0,49.0,0.0,0.0,1.0,1.0
0.007967194,0.0,0.26044,0.0,0.0,0.0,60.0,0.0,0.0,1.0,2.0
0.009958993,0.0,0.30488,0.0,0.0,0.0,69.0,0.0,0.0,1.0,2.0
0.011950791,0.0,0.34538,0.0,0.0,0.0,89.0,0.0,0.0,1.0,2.0
0.013942589,0.0,0.38171,0.0,0.0,0.0,115.0,0.0,0.0,1.0,2.0
0.015934387,0.0,0.4158,0.0,0.0,0.0,139.0,0.0,0.0,1.0,2.0
0.017926186,0.0,0.44701,0.0,0.0,0.0,156.0,0.0,0.0,1.0,2.0
0.019917985,0.0,0.47649,0.0,0.0,0.0,179.0,0.0,0.0,1.0,2.0
0.021909783,0.0,0.50389,0.0,0.0,0.0,190.0,0.0,0.0,1.0,2.0
0.023901582,0.0,0.52989,0.0,0.0,0.0,202.0,0.0,0.0,1.0,2.0
0.02589338,0.0,0.55475,0.0,0.0,0.0,218.0,0.0,0.0,1.0,2.0
0.027885178,0.0,0.57867,0.0,0.0,0.0,228.0,0.0,0.0,1.0,2.0
0.029876977,0.0,0.60103,0.0,0.0,0.0,233.0,0.0,0.0,1.0,3.0
0.031868774,0.0,0.62325,0.0,0.0,0.0,241.0,0.0,0.0,1.0,3.0
0.033860575,0.0,0.64441,0.0,0.0,0.0,251.0,0.0,0.0,1.0,3.0
0.035852373,0.0,0.66386,0.0,0.0,0.0,258.0,0.0,0.0,1.0,3.0
0.03784417,0.0,0.68349,0.0,0.0,0.0,271.0,0.0,0.0,1.0,3.0
