Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010842728,1.0,0.95422,1.0,0.0,0.0,216.0,0.0,0.0,2.0,3.0
0.021685457,1.0,1.51274,1.0,1.0,0.0,550.0,0.0,0.0,3.0,4.0
0.032528184,1.0,1.92431,1.0,1.0,0.0,722.0,0.0,0.0,3.0,5.0
0.043370914,1.0,2.25046,2.0,1.0,0.0,1022.0,0.0,1.0,3.0,6.0
0.05421364,1.0,2.51635,2.0,1.0,0.0,1243.0,0.0,1.0,4.0,6.0
0.06505637,1.0,2.74757,2.0,2.0,0.0,1400.0,0.0,1.0,4.0,7.0
0.075899094,1.0,2.95443,2.0,2.0,0.0,1581.0,0.0,1.0,4.0,7.0
0.08674183,1.0,3.14009,2.0,2.0,0.0,1708.0,0.0,1.0,4.0,7.0
0.09758455,1.0,3.31209,2.0,2.0,0.0,1805.0,0.0,1.0,4.0,7.0
0.10842728,1.0,3.46713,3.0,2.0,0.0,1895.0,0.0,1.0,5.0,8.0
0.11927001,1.0,3.61376,3.0,2.0,0.0,1988.0,0.0,1.0,5.0,8.0
0.13011274,1.0,3.75212,3.0,2.0,0.0,2065.0,0.0,1.0,5.0,8.0
0.14095546,1.0,3.88858,3.0,2.0,0.0,2137.0,0.0,1.0,5.0,8.0
0.15179819,1.0,4.018,3.0,2.0,0.0,2206.0,0.0,1.0,5.0,9.0
0.16264093,1.0,4.13657,3.0,2.0,0.0,2266.0,0.0,1.0,5.0,9.0
0.17348365,1.0,4.24735,3.0,2.0,0.0,2319.0,0.0,1.0,5.0,9.0
0.18432638,1.0,4.35164,3.0,3.0,0.0,2357.0,0.0,1.0,5.0,9.0
0.1951691,1.0,4.45274,3.0,3.0,0.0,2396.0,0.0,1.0,5.0,9.0
0.20601183,1.0,4.54783,3.0,3.0,0.0,2433.0,0.0,1.0,5.0,9.0
