Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.6200685E-5,2.5582378E-5,4.3599935E-5,1.7042956,1.8018018E-5,3.6937918E-4,1.0963416E-4,1.4566624E-4,1.3286575,3.6036035E-5,0.0044879215,0.0013339802,0.0013879623,1.0404668,5.4054053E-5,0.043983612,0.014975359,0.0150641,1.0059258,9.009009E-5
6.1,8.6200685E-5,2.5582378E-5,4.3599935E-5,1.7042956,1.8018018E-5,3.6937918E-4,1.0963416E-4,1.4566624E-4,1.3286575,3.6036035E-5,0.0044879215,0.0013339802,0.0013879623,1.0404668,5.4054053E-5,0.043983612,0.014975359,0.0150641,1.0059258,9.009009E-5
6.2,8.6200685E-5,2.5582378E-5,4.3599935E-5,1.7042956,1.8018018E-5,3.6937918E-4,1.0963416E-4,1.4566624E-4,1.3286575,3.6036035E-5,0.0044879215,0.0013339802,0.0013879623,1.0404668,5.4054053E-5,0.043983612,0.014975359,0.0150641,1.0059258,9.009009E-5
6.3,8.551163E-5,2.5271886E-5,4.328945E-5,1.7129489,1.8018018E-5,3.6642692E-4,1.0830359E-4,1.4433572E-4,1.3326956,3.6036035E-5,0.004452125,0.0013178003,0.0013717831,1.0409644,5.4054053E-5,0.043639794,0.014801145,0.0148899015,1.0059966,9.009009E-5
6.4,8.551163E-5,2.5271886E-5,4.328945E-5,1.7129489,1.8018018E-5,3.6642692E-4,1.0830359E-4,1.4433572E-4,1.3326956,3.6036035E-5,0.004452125,0.0013178003,0.0013717831,1.0409644,5.4054053E-5,0.043639794,0.014801145,0.0148899015,1.0059966,9.009009E-5
6.5,8.511146E-5,2.5091947E-5,4.3109514E-5,1.7180617,1.8018018E-5,3.647124E-4,1.0753249E-4,1.4356466E-4,1.3350816,3.6036035E-5,0.004431336,0.0013084235,0.0013624068,1.0412583,5.4054053E-5,0.04344007,0.014700223,0.014788989,1.0060384,9.009009E-5
6.6,8.4985084E-5,2.5022164E-5,4.303973E-5,1.7200643,1.8018018E-5,3.6417096E-4,1.0723344E-4,1.4326561E-4,1.3360162,3.6036035E-5,0.0044247704,0.0013047869,0.0013587704,1.0413735,5.4054053E-5,0.043376986,0.014662078,0.014750847,1.0060543,9.009009E-5
6.7,8.462618E-5,2.484947E-5,4.286704E-5,1.7250686,1.8018018E-5,3.6263323E-4,1.0649339E-4,1.4252559E-4,1.3383515,3.6036035E-5,0.004406125,0.0012957875,0.0013497715,1.0416611,5.4054053E-5,0.043197807,0.014566284,0.014655062,1.0060947,9.009009E-5
6.8,8.42337E-5,2.4744324E-5,4.2761898E-5,1.7281497,1.8018018E-5,3.6095164E-4,1.06042804E-4,1.4207502E-4,1.3397894,3.6036035E-5,0.004385734,0.0012903081,0.0013442924,1.0418383,5.4054053E-5,0.043001823,0.014506465,0.014595248,1.0061202,9.009009E-5
6.9,8.365989E-5,2.4547677E-5,4.256525E-5,1.7339829,1.8018018E-5,3.5849313E-4,1.05200095E-4,1.4123233E-4,1.3425115,3.6036035E-5,0.004355922,0.0012800603,0.0013340451,1.0421737,5.4054053E-5,0.04271523,0.0143982805,0.014487074,1.0061669,9.009009E-5
7.0,8.30936E-5,2.430799E-5,4.232557E-5,1.7412205,1.8018018E-5,3.560668E-4,1.0417295E-4,1.4020523E-4,1.3458891,3.6036035E-5,0.004326499,0.0012675694,0.0013215549,1.0425898,5.4054053E-5,0.042432297,0.014268656,0.014357462,1.0062238,9.009009E-5
7.1,8.041264E-5,2.3991543E-5,4.2009127E-5,1.7509973,1.8018018E-5,3.4458007E-4,1.02816855E-4,1.3884918E-4,1.3504516,3.6036035E-5,0.0041871946,0.001251078,0.0013050644,1.043152,5.4054053E-5,0.041091725,0.014089807,0.014178628,1.0063039,9.009009E-5
7.2,7.8427016E-5,2.3411747E-5,4.1429343E-5,1.7695965,1.8018018E-5,3.3607247E-4,1.003322E-4,1.3636463E-4,1.3591311,3.6036035E-5,0.004084008,0.0012208617,0.0012748498,1.0442213,5.4054053E-5,0.040097635,0.013771977,0.013860826,1.0064515,9.009009E-5
