Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob
861,Airport Lake,2.9984544E-4,0.14528593
667,Almanor 2011 CFM,0.001885626,0.6615147
219,Anacapa-Dume alt 1,1.7619783E-4,0.08655332
197,Anaheim,6.4914995E-5,0.032457497
722,Antelope Valley 2011,8.531685E-4,0.3755796
845,Ash Hill,7.697063E-4,0.32457495
881,Baker,1.5146831E-4,0.07418856
668,Bartlett Springs 2011 CFM,0.0019752705,0.6939722
669,Battle Creek 2011 CFM,1.5765069E-4,0.07573416
842,Bear River fault zone,6.553323E-4,0.29366305
581,Bennett Valley 2011 CFM,0.0011128285,0.47913447
158,Bicycle Lake,9.057187E-4,0.38794437
741,Big Lagoon - Bald Mtn 2011 CFM,6.9551775E-4,0.30911902
192,Big Pine (Central),5.811437E-4,0.26893353
191,Big Pine (East),5.285935E-4,0.24729522
200,Big Pine (West),3.4003093E-5,0.017001545
87,Blackwater,9.984544E-4,0.4034003
169,Blue Cut,7.449768E-4,0.31839257
170,Brawley (Seismic Zone) alt 1,0.010846986,1.0
541,Breckenridge 2011,6.1823803E-6,0.00309119
882,Bullion Mountains,5.7496136E-4,0.27047914
94,Burnt Mtn,4.2658424E-4,0.21329212
561,Butano 2011 CFM,4.7604326E-4,0.21329212
165,Cady,7.542504E-4,0.33075735
602,Calaveras (Central) 2011 CFM,0.0064945905,0.98608965
601,Calaveras (No) 2011 CFM,0.002213292,0.7697063
621,Calaveras (So) - Paicines extension 2011 CFM,0.0068438947,0.98299843
603,Calaveras (So) 2011 CFM,0.007004637,0.992272
88,Calico-Hidalgo,0.0013106646,0.4992272
724,Camp Rock 2011,1.2055641E-4,0.060278207
173,Canada David (Detachment),8.346213E-5,0.041731067
176,Carlsbad,1.4528593E-4,0.06955178
721,Carson Range (Genoa),0.0011499227,0.496136
670,Casmalia 2011 CFM,1.854714E-4,0.08655332
34,Cedar Mtn-Mahogany Mtn,8.160742E-4,0.32302937
172,Cerro Prieto,0.013319938,1.0
129,Channel Islands Thrust,0.0010200927,0.4034003
214,Channel Islands Western Deep Ramp,3.2766614E-4,0.16074188
238,Chino alt 1,0.0017279753,0.6136012
124,Clamshell-Sawpit,1.2055641E-4,0.060278207
844,Clayton,4.0185472E-4,0.19474497
81,Cleghorn,3.3075735E-4,0.1561051
884,Cleghorn Lake,7.233385E-4,0.30448222
