Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.88469225,0.89642763,0.7107438
6.1,0.7063069,0.7249799,0.47107437
6.2,0.59957117,0.6263314,0.38842976
6.3,0.59957117,0.6263314,0.38842976
6.4,0.5081382,0.5413923,0.32231405
6.5,0.4870079,0.52115464,0.29752067
6.6,0.43722513,0.4727967,0.27272728
6.7,0.3970993,0.43327543,0.2644628
6.8,0.368448,0.40357214,0.25619835
6.9,0.3347251,0.3682398,0.23966943
7.0,0.29584482,0.3270779,0.20661157
7.1,0.27390525,0.3036579,0.1983471
7.2,0.24796005,0.27581757,0.16528925
7.3,0.14736493,0.16393049,0.10743801
7.4,0.12076551,0.13450912,0.09090909
7.5,0.044603836,0.049646266,0.049586777
7.6,0.0044224365,0.0045569655,0.0
