Time (years),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036087616,2.0,0.2566,0.0,0.0,0.0,160.0,0.0,0.0,1.0,2.0
0.007217523,2.0,0.5372,0.0,0.0,0.0,335.0,0.0,0.0,1.0,2.0
0.010826284,3.0,1.1765,0.0,0.0,0.0,4087.0,0.0,0.0,1.0,3.0
0.014435046,3.0,1.6701,0.0,0.0,0.0,5332.0,0.0,0.0,2.0,4.0
0.018043807,4.0,1.9456,1.0,0.0,0.0,5808.0,0.0,0.0,2.0,4.0
0.021652568,5.0,2.2203,1.0,0.0,0.0,6136.0,0.0,0.0,2.0,5.0
0.02526133,5.0,2.4414,1.0,0.0,0.0,6376.0,0.0,0.0,2.0,5.0
0.028870093,6.0,2.6682,1.0,1.0,0.0,6585.0,0.0,0.0,3.0,6.0
0.032478854,6.0,2.8758,1.0,1.0,0.0,6730.0,0.0,0.0,3.0,6.0
0.036087614,7.0,3.0857,1.0,1.0,0.0,6943.0,0.0,0.0,3.0,7.0
0.039696377,8.0,3.3273,1.0,1.0,0.0,7097.0,0.0,0.0,3.0,7.0
0.043305136,8.0,3.5541,2.0,1.0,0.0,7306.0,0.0,0.0,4.0,8.0
0.0469139,9.0,3.746,2.0,1.0,0.0,7423.0,0.0,0.0,4.0,8.0
0.05052266,10.0,3.9221,2.0,1.0,0.0,7522.0,0.0,1.0,4.0,9.0
0.054131422,10.0,4.1064,2.0,1.0,0.0,7596.0,0.0,1.0,4.0,9.0
0.057740185,10.0,4.3561,2.0,1.0,0.0,7678.0,0.0,1.0,4.0,10.0
0.061348945,10.0,4.6436,2.0,2.0,0.0,7768.0,0.0,1.0,5.0,10.0
0.06495771,12.0,4.9019,2.0,2.0,0.0,7858.0,0.0,1.0,5.0,11.0
0.06856647,13.0,5.1081,3.0,2.0,0.0,7922.0,0.0,1.0,5.0,11.0
0.07217523,13.0,5.3438,3.0,2.0,0.0,8006.0,0.0,1.0,5.0,12.0
0.07578399,14.0,5.542,3.0,2.0,0.0,8069.0,0.0,1.0,5.0,12.0
0.07939275,14.0,5.8765,3.0,2.0,0.0,8127.0,0.0,1.0,6.0,13.0
0.08300152,16.0,6.1227,3.0,2.0,0.0,8193.0,0.0,1.0,6.0,13.0
0.08661027,16.0,6.3337,3.0,3.0,0.0,8239.0,0.0,1.0,6.0,13.0
0.090219036,16.0,6.5573,3.0,3.0,0.0,8288.0,0.0,1.0,6.0,14.0
0.0938278,16.0,6.7481,3.0,3.0,0.0,8334.0,0.0,1.0,6.0,14.0
0.09743656,17.0,6.9376,4.0,3.0,0.0,8354.0,0.0,2.0,7.0,15.0
0.10104532,17.0,7.1368,4.0,3.0,0.0,8402.0,0.0,2.0,7.0,15.0
0.10465408,17.0,7.6139,4.0,3.0,0.0,8425.0,0.0,2.0,7.0,16.0
0.108262844,17.0,7.8828,4.0,3.0,0.0,8457.0,0.0,2.0,7.0,17.0
0.11187161,18.0,8.1711,4.0,3.0,0.0,8499.0,0.0,2.0,7.0,17.0
0.11548037,20.0,8.3988,4.0,3.0,0.0,8541.0,1.0,2.0,7.0,18.0
0.11908913,20.0,8.5948,4.0,3.0,0.0,8594.0,1.0,2.0,8.0,18.0
0.12269789,20.0,8.8049,4.0,3.0,0.0,8636.0,1.0,2.0,8.0,19.0
0.12630665,22.0,8.9922,5.0,4.0,0.0,8680.0,1.0,2.0,8.0,19.0
0.12991542,22.0,9.214,5.0,4.0,0.0,8715.0,1.0,2.0,8.0,20.0
0.13352418,22.0,9.4954,5.0,4.0,0.0,8763.0,1.0,2.0,8.0,21.0
0.13713294,22.0,9.7131,5.0,4.0,0.0,8791.0,1.0,2.0,9.0,21.0
0.14074169,23.0,9.8948,5.0,4.0,0.0,8810.0,1.0,3.0,9.0,22.0
0.14435045,23.0,10.0902,5.0,4.0,0.0,8839.0,1.0,3.0,9.0,22.0
0.14795922,26.0,10.358,5.0,4.0,0.0,8860.0,1.0,3.0,9.0,22.0
0.15156798,27.0,10.578,5.0,4.0,0.0,8887.0,1.0,3.0,9.0,23.0
0.15517674,27.0,10.797,6.0,4.0,0.0,8927.0,1.0,3.0,10.0,24.0
0.1587855,28.0,11.0109,6.0,4.0,0.0,8957.0,1.0,3.0,10.0,25.0
0.16239427,28.0,11.1813,6.0,5.0,0.0,8977.0,1.0,3.0,10.0,25.0
0.16600303,29.0,11.3679,6.0,5.0,0.0,9001.0,1.0,3.0,10.0,25.0
0.1696118,30.0,11.6025,6.0,5.0,0.0,9034.0,1.0,3.0,10.0,26.0
0.17322055,30.0,11.7847,6.0,5.0,0.0,9060.0,1.0,3.0,10.0,26.0
0.17682931,31.0,11.9584,6.0,5.0,0.0,9077.0,1.0,3.0,11.0,26.0
0.18043807,32.0,12.1361,6.0,5.0,0.0,9093.0,2.0,3.0,11.0,28.0
0.18404683,33.0,12.3527,6.0,5.0,0.0,9118.0,2.0,4.0,11.0,28.0
0.1876556,34.0,12.5157,7.0,6.0,0.0,9148.0,2.0,4.0,11.0,28.0
0.19126436,37.0,12.728,7.0,6.0,0.0,9174.0,2.0,4.0,11.0,29.0
0.19487312,37.0,13.0171,7.0,6.0,0.0,9196.0,2.0,4.0,11.0,30.0
0.19848189,37.0,13.2224,7.0,6.0,0.0,9209.0,2.0,4.0,11.0,30.0
0.20209064,37.0,13.3971,7.0,6.0,0.0,9229.0,2.0,4.0,12.0,31.0
0.2056994,38.0,13.5954,7.0,6.0,0.0,9239.0,2.0,4.0,12.0,32.0
0.20930816,38.0,13.9377,7.0,6.0,0.0,9256.0,2.0,4.0,12.0,33.0
0.21291693,38.0,14.1608,7.0,6.0,0.0,9279.0,2.0,4.0,12.0,33.0
0.21652569,38.0,14.3381,8.0,6.0,0.0,9293.0,2.0,4.0,12.0,33.0
0.22013445,38.0,14.5298,8.0,6.0,0.0,9311.0,2.0,4.0,12.0,34.0
0.22374322,40.0,14.7292,8.0,6.0,0.0,9331.0,2.0,4.0,13.0,35.0
0.22735198,40.0,14.8986,8.0,6.0,0.0,9353.0,2.0,5.0,13.0,35.0
0.23096074,40.0,15.0625,8.0,7.0,0.0,9365.0,2.0,5.0,13.0,35.0
0.23456949,40.0,15.3069,8.0,7.0,0.0,9383.0,2.0,5.0,13.0,36.0
0.23817825,40.0,15.494,8.0,7.0,0.0,9398.0,2.0,5.0,13.0,37.0
0.24178702,40.0,15.6707,8.0,7.0,0.0,9411.0,3.0,5.0,13.0,37.0
0.24539578,41.0,15.8853,8.0,7.0,0.0,9429.0,3.0,5.0,14.0,38.0
0.24900454,41.0,16.0638,8.0,7.0,0.0,9449.0,3.0,5.0,14.0,39.0
0.2526133,42.0,16.2351,9.0,7.0,0.0,9464.0,3.0,5.0,14.0,39.0
0.25622207,43.0,16.4168,9.0,8.0,0.0,9488.0,3.0,5.0,14.0,40.0
0.25983083,45.0,16.599,9.0,8.0,0.0,9504.0,3.0,5.0,14.0,40.0
0.2634396,45.0,16.8004,9.0,8.0,0.0,9515.0,3.0,5.0,14.0,41.0
0.26704836,47.0,17.0417,9.0,8.0,0.0,9539.0,3.0,6.0,15.0,41.0
0.27065712,49.0,17.2474,9.0,8.0,0.0,9561.0,3.0,6.0,15.0,42.0
0.2742659,50.0,17.4188,9.0,8.0,0.0,9576.0,3.0,6.0,15.0,43.0
0.27787465,50.0,17.5818,9.0,8.0,0.0,9594.0,3.0,6.0,15.0,43.0
0.28148338,52.0,17.7542,10.0,8.0,0.0,9608.0,3.0,6.0,15.0,45.0
0.28509215,52.0,17.8916,10.0,8.0,0.0,9619.0,3.0,6.0,15.0,45.0
0.2887009,52.0,18.0363,10.0,8.0,0.0,9630.0,3.0,6.0,15.0,45.0
0.29230967,54.0,18.1977,10.0,8.0,0.0,9644.0,3.0,6.0,16.0,47.0
0.29591843,54.0,18.4147,10.0,8.0,0.0,9654.0,4.0,6.0,16.0,48.0
0.2995272,54.0,18.5851,10.0,8.0,0.0,9667.0,4.0,6.0,16.0,48.0
0.30313596,54.0,18.7891,10.0,8.0,0.0,9677.0,4.0,6.0,16.0,48.0
0.30674472,57.0,18.9553,10.0,8.0,0.0,9695.0,4.0,6.0,16.0,49.0
0.3103535,57.0,19.1305,10.0,9.0,0.0,9707.0,4.0,7.0,16.0,50.0
0.31396225,57.0,19.3212,11.0,9.0,0.0,9722.0,4.0,7.0,17.0,51.0
0.317571,59.0,19.4921,11.0,9.0,0.0,9730.0,4.0,7.0,17.0,51.0
0.32117978,59.0,19.7602,11.0,9.0,0.0,9746.0,4.0,7.0,17.0,53.0
0.32478854,59.0,19.9331,11.0,9.0,0.0,9754.0,4.0,7.0,17.0,53.0
0.3283973,60.0,20.1032,11.0,10.0,0.0,9766.0,4.0,7.0,17.0,53.0
0.33200607,60.0,20.2634,11.0,10.0,0.0,9782.0,4.0,7.0,17.0,53.0
0.33561483,60.0,20.4432,11.0,10.0,0.0,9796.0,4.0,7.0,17.0,54.0
0.3392236,61.0,20.5863,11.0,10.0,0.0,9805.0,4.0,7.0,18.0,54.0
0.34283233,61.0,20.7613,11.0,11.0,1.0,9825.0,4.0,7.0,18.0,55.0
0.3464411,62.0,20.9444,11.0,11.0,1.0,9836.0,4.0,7.0,18.0,56.0
0.35004985,65.0,21.1215,11.0,11.0,1.0,9844.0,4.0,7.0,18.0,56.0
0.35365862,68.0,21.5516,12.0,11.0,1.0,9857.0,4.0,8.0,18.0,57.0
0.35726738,68.0,21.7775,12.0,11.0,1.0,9872.0,4.0,8.0,18.0,57.0
0.36087614,68.0,21.9652,12.0,11.0,1.0,9877.0,5.0,8.0,18.0,58.0
0.3644849,75.0,22.1254,12.0,11.0,1.0,9883.0,5.0,8.0,19.0,59.0
0.36809367,77.0,22.2906,12.0,11.0,1.0,9891.0,5.0,8.0,19.0,59.0
0.37170243,77.0,22.4465,12.0,11.0,1.0,9901.0,5.0,8.0,19.0,60.0
0.3753112,78.0,22.6182,12.0,11.0,1.0,9907.0,5.0,8.0,19.0,61.0
0.37891996,78.0,22.7666,12.0,11.0,1.0,9919.0,5.0,8.0,19.0,61.0
0.38252872,79.0,22.93,12.0,11.0,1.0,9930.0,5.0,8.0,19.0,61.0
0.3861375,79.0,23.0943,13.0,11.0,1.0,9937.0,5.0,8.0,19.0,62.0
0.38974625,79.0,23.2668,13.0,11.0,1.0,9943.0,5.0,8.0,20.0,63.0
0.393355,79.0,23.4092,13.0,12.0,1.0,9954.0,5.0,8.0,20.0,64.0
0.39696378,79.0,23.5559,13.0,12.0,1.0,9963.0,5.0,8.0,20.0,64.0
0.40057254,80.0,23.7245,13.0,12.0,1.0,9968.0,5.0,9.0,20.0,65.0
0.40418127,80.0,23.882,13.0,12.0,1.0,9974.0,5.0,9.0,20.0,65.0
0.40779004,80.0,24.1797,13.0,12.0,1.0,9985.0,5.0,9.0,20.0,66.0
0.4113988,82.0,24.3772,13.0,12.0,1.0,9995.0,5.0,9.0,20.0,66.0
0.41500756,82.0,24.5358,13.0,12.0,1.0,10001.0,5.0,9.0,20.0,67.0
0.41861632,82.0,24.7607,13.0,12.0,1.0,10006.0,6.0,9.0,21.0,68.0
0.4222251,82.0,24.9395,14.0,12.0,1.0,10013.0,6.0,9.0,21.0,70.0
0.42583385,83.0,25.1676,14.0,12.0,1.0,10032.0,6.0,9.0,21.0,70.0
0.4294426,85.0,25.354,14.0,12.0,1.0,10044.0,6.0,9.0,21.0,70.0
0.43305138,85.0,25.5235,14.0,12.0,1.0,10054.0,6.0,9.0,21.0,70.0
0.43666014,87.0,25.7466,14.0,12.0,1.0,10059.0,6.0,9.0,21.0,73.0
0.4402689,87.0,25.9336,14.0,13.0,1.0,10070.0,6.0,9.0,22.0,73.0
0.44387767,87.0,26.1175,14.0,12.0,1.0,10078.0,6.0,9.0,22.0,74.0
0.44748643,87.0,26.3329,14.0,12.0,1.0,10091.0,6.0,10.0,22.0,76.0
0.4510952,87.0,26.491,14.0,12.0,1.0,10098.0,6.0,10.0,22.0,76.0
0.45470396,87.0,26.661,14.0,14.0,1.0,10104.0,6.0,10.0,22.0,77.0
0.45831272,87.0,26.8199,15.0,14.0,1.0,10110.0,6.0,10.0,22.0,79.0
0.46192148,88.0,26.9694,15.0,14.0,1.0,10115.0,6.0,10.0,23.0,79.0
0.46553022,88.0,27.1268,15.0,14.0,1.0,10123.0,6.0,10.0,23.0,79.0
0.46913898,90.0,27.2702,15.0,13.0,1.0,10126.0,6.0,10.0,23.0,79.0
0.47274774,91.0,27.4308,15.0,13.0,1.0,10137.0,6.0,10.0,23.0,80.0
0.4763565,92.0,27.5653,15.0,13.0,1.0,10143.0,6.0,10.0,23.0,80.0
0.47996527,92.0,27.7122,15.0,13.0,1.0,10154.0,7.0,10.0,23.0,80.0
0.48357403,92.0,27.8588,15.0,13.0,1.0,10158.0,7.0,10.0,23.0,81.0
0.4871828,92.0,27.9951,15.0,13.0,1.0,10164.0,7.0,10.0,23.0,81.0
0.49079156,93.0,28.1429,15.0,13.0,1.0,10169.0,7.0,10.0,24.0,82.0
0.49440032,95.0,28.2995,16.0,14.0,1.0,10182.0,7.0,11.0,24.0,83.0
0.4980091,95.0,28.446,16.0,13.0,1.0,10191.0,7.0,11.0,24.0,83.0
0.50161785,95.0,28.6001,16.0,15.0,1.0,10197.0,7.0,11.0,24.0,83.0
0.5052266,96.0,28.7376,16.0,15.0,1.0,10208.0,7.0,11.0,24.0,84.0
0.5088354,97.0,28.8666,16.0,15.0,1.0,10214.0,7.0,11.0,24.0,84.0
0.51244414,97.0,29.1761,16.0,13.0,1.0,10224.0,7.0,11.0,24.0,85.0
0.5160529,98.0,29.3342,16.0,15.0,1.0,10231.0,7.0,11.0,24.0,85.0
0.51966166,98.0,29.4867,16.0,15.0,1.0,10244.0,7.0,11.0,25.0,85.0
