Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,852.0,1128.7871,904.0,829.0,590.0,13959.0,687.0,759.0,1361.0,3031.0
2.65,674.0,897.4045,718.0,622.0,469.0,10884.0,543.0,602.0,1082.0,2414.0
2.75,587.0,712.3114,570.0,492.0,357.0,8591.0,429.0,477.0,859.0,1907.0
2.85,478.0,565.8938,455.0,380.0,288.0,6908.0,339.0,378.0,681.0,1511.0
2.95,373.0,449.5591,361.0,316.0,215.0,5545.0,267.0,301.0,542.0,1192.0
3.05,274.0,357.0057,287.0,241.0,176.0,4314.0,211.0,238.0,431.0,957.0
3.15,221.0,283.882,229.0,201.0,138.0,3497.0,167.0,189.0,343.0,768.0
3.25,211.0,225.2907,182.0,162.0,105.0,2714.0,130.0,150.0,273.0,605.0
3.35,180.0,179.0018,145.0,126.0,80.0,2114.0,102.0,119.0,218.0,474.0
3.45,199.0,142.2408,115.0,104.0,57.0,1764.0,80.0,93.0,173.0,380.0
3.55,163.0,112.9626,92.0,81.0,46.0,1413.0,62.0,74.0,138.0,306.0
3.65,110.0,89.524,73.0,66.0,33.0,1083.0,48.0,58.0,110.0,241.0
3.75,67.0,71.2053,58.0,51.0,23.0,890.0,37.0,46.0,88.0,192.0
3.85,51.0,56.6699,47.0,41.0,18.0,725.0,28.0,36.0,70.0,153.0
3.95,50.0,44.9627,37.0,31.0,13.0,526.0,22.0,28.0,56.0,121.0
4.05,42.0,35.637,30.0,26.0,8.0,438.0,17.0,22.0,44.0,98.0
4.15,25.0,28.3839,24.0,21.0,4.0,334.0,12.0,17.0,36.0,77.0
4.25,16.0,22.5095,19.0,16.0,4.0,252.0,9.0,13.0,29.0,62.0
4.35,19.0,17.9228,15.0,13.0,2.0,257.0,7.0,10.0,23.0,49.0
4.45,15.0,14.2415,12.0,10.0,1.0,181.0,5.0,8.0,19.0,39.0
4.55,18.0,11.2652,10.0,8.0,0.0,142.0,3.0,6.0,15.0,31.0
4.65,7.0,8.9682,8.0,6.0,0.0,114.0,2.0,5.0,12.0,26.0
4.75,4.0,7.1615,6.0,5.0,0.0,76.0,1.0,3.0,10.0,21.0
4.85,8.0,5.6819,5.0,4.0,0.0,62.0,1.0,2.0,8.0,17.0
4.95,4.0,4.4974,4.0,3.0,0.0,58.0,0.0,2.0,7.0,13.0
5.05,0.0,3.5889,3.0,2.0,0.0,51.0,0.0,1.0,6.0,11.0
5.15,0.0,2.8325,2.0,2.0,0.0,38.0,0.0,1.0,5.0,9.0
5.25,2.0,2.2442,2.0,1.0,0.0,28.0,0.0,1.0,4.0,7.0
5.35,1.0,1.7886,1.0,1.0,0.0,28.0,0.0,0.0,3.0,6.0
5.45,1.0,1.4193,1.0,1.0,0.0,17.0,0.0,0.0,3.0,5.0
5.55,2.0,1.1187,1.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0
5.65,0.0,0.9038,1.0,0.0,0.0,15.0,0.0,0.0,2.0,4.0
5.75,1.0,0.713,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
5.85,0.0,0.6048,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
5.95,0.0,0.4051,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
6.05,0.0,0.3463,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.15,0.0,0.2582,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.25,0.0,0.2135,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
6.35,0.0,0.1826,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.45,1.0,0.152,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.55,0.0,0.1166,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.65,0.0,0.0959,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.75,0.0,0.0696,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.85,0.0,0.0597,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.95,0.0,0.038,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.05,0.0,0.0349,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.15,1.0,0.0263,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.25,0.0,0.0179,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.35,0.0,0.0169,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.45,0.0,0.0159,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.55,0.0,0.0094,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.65,0.0,0.0075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.85,0.0,0.0038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.95,0.0,0.0031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.05,0.0,0.0024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.15,0.0,0.0012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.25,0.0,4.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
