Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,4642.0,5455.5737,4359.0,3952.0,2890.0,66996.0,3342.0,3664.0,6571.0,14683.0
2.6,3794.0,4333.959,3463.0,3079.0,2305.0,53048.0,2653.0,2906.0,5212.0,11688.0
2.7,3121.0,3442.1785,2753.0,2252.0,1839.0,42170.0,2101.0,2310.0,4147.0,9269.0
2.8,2533.0,2734.3745,2190.0,1946.0,1439.0,33586.0,1667.0,1832.0,3291.0,7389.0
2.9,2058.0,2172.0828,1739.0,1446.0,1152.0,26679.0,1321.0,1456.0,2618.0,5860.0
3.0,1689.0,1725.3386,1385.0,1233.0,901.0,21135.0,1043.0,1156.0,2079.0,4674.0
3.1,1416.0,1370.6176,1101.0,1035.0,700.0,16826.0,827.0,917.0,1657.0,3697.0
3.2,1194.0,1088.5111,875.0,768.0,548.0,13332.0,653.0,728.0,1317.0,2932.0
3.3,984.0,864.6457,694.0,594.0,437.0,10621.0,514.0,578.0,1047.0,2318.0
3.4,804.0,686.7659,553.0,463.0,332.0,8509.0,404.0,457.0,834.0,1838.0
3.5,606.0,545.4379,440.0,387.0,256.0,6746.0,318.0,362.0,665.0,1476.0
3.6,443.0,433.1769,349.0,310.0,204.0,5334.0,250.0,287.0,528.0,1166.0
3.7,333.0,344.2207,278.0,237.0,160.0,4253.0,196.0,227.0,420.0,926.0
3.8,267.0,273.4744,221.0,202.0,122.0,3364.0,153.0,180.0,335.0,730.0
3.9,216.0,217.1563,176.0,152.0,95.0,2640.0,120.0,141.0,267.0,581.0
4.0,166.0,172.4769,140.0,127.0,68.0,2114.0,93.0,112.0,213.0,464.0
4.1,125.0,137.0614,111.0,101.0,51.0,1676.0,72.0,88.0,170.0,366.0
4.2,100.0,108.8617,89.0,77.0,33.0,1342.0,56.0,69.0,136.0,291.0
