Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,4.8871775E-6,4.9798755E-6,1.0E-4,20.080824,4.9798755E-6,0.0,2.0944879E-5,2.1342164E-5,1.0E-4,4.68556,2.1342164E-5,0.0,2.5497406E-4,2.5981266E-4,2.0E-4,0.76978546,2.5981266E-4,0.0,0.002546817,0.0025953632,0.0021,0.80913526,0.0031938062,6.0E-4
6.1,4.8871775E-6,4.9798755E-6,1.0E-4,20.080824,4.9798755E-6,0.0,2.0944879E-5,2.1342164E-5,1.0E-4,4.68556,2.1342164E-5,0.0,2.5497406E-4,2.5981266E-4,2.0E-4,0.76978546,2.5981266E-4,0.0,0.002546817,0.0025953632,0.0021,0.80913526,0.0031938062,6.0E-4
6.2,4.8871775E-6,4.9798755E-6,1.0E-4,20.080824,4.9798755E-6,0.0,2.0944879E-5,2.1342164E-5,1.0E-4,4.68556,2.1342164E-5,0.0,2.5497406E-4,2.5981266E-4,2.0E-4,0.76978546,2.5981266E-4,0.0,0.002546817,0.0025953632,0.0021,0.80913526,0.0031938062,6.0E-4
6.3,4.8871775E-6,4.9798755E-6,1.0E-4,20.080824,4.9798755E-6,0.0,2.0944879E-5,2.1342164E-5,1.0E-4,4.68556,2.1342164E-5,0.0,2.5497406E-4,2.5981266E-4,2.0E-4,0.76978546,2.5981266E-4,0.0,0.002546817,0.0025953632,0.0021,0.80913526,0.0031938062,6.0E-4
6.4,4.8871775E-6,4.9798755E-6,1.0E-4,20.080824,4.9798755E-6,0.0,2.0944879E-5,2.1342164E-5,1.0E-4,4.68556,2.1342164E-5,0.0,2.5497406E-4,2.5981266E-4,2.0E-4,0.76978546,2.5981266E-4,0.0,0.002546817,0.0025953632,0.0021,0.80913526,0.0031938062,6.0E-4
6.5,3.1724062E-6,3.2222508E-6,0.0,0.0,3.2222508E-6,0.0,1.3595956E-5,1.3809574E-5,0.0,0.0,1.3809574E-5,0.0,1.6551818E-4,1.6811873E-4,1.0E-4,0.59481776,1.6811873E-4,0.0,0.0016539496,0.0016799289,0.0013,0.7738423,0.002179089,5.0E-4
6.6,3.1022591E-6,3.1499835E-6,0.0,0.0,3.1499835E-6,0.0,1.3295328E-5,1.349986E-5,0.0,0.0,1.349986E-5,0.0,1.618586E-4,1.6434852E-4,1.0E-4,0.60846305,1.6434852E-4,0.0,0.0016174077,0.0016422826,0.0013,0.7915812,0.0021414615,5.0E-4
6.7,2.611518E-6,2.6481819E-6,0.0,0.0,2.6481819E-6,0.0,1.1192172E-5,1.13493015E-5,0.0,0.0,1.13493015E-5,0.0,1.3625617E-4,1.3816902E-4,1.0E-4,0.72375125,1.3816902E-4,0.0,0.0013617266,0.0013808357,0.0013,0.9414589,0.0018801453,5.0E-4
6.8,2.4780884E-6,2.5111965E-6,0.0,0.0,2.5111965E-6,0.0,1.0620336E-5,1.0762226E-5,0.0,0.0,1.0762226E-5,0.0,1.2929492E-4,1.3102226E-4,1.0E-4,0.7632291,1.3102226E-4,0.0,0.0012921972,0.0013094542,0.0013,0.99278,0.0018087996,5.0E-4
6.9,2.1376322E-6,2.1626306E-6,0.0,0.0,2.1626306E-6,0.0,9.161248E-6,9.268384E-6,0.0,0.0,9.268384E-6,0.0,1.1153249E-4,1.1283675E-4,0.0,0.0,1.1283675E-4,0.0,0.0011147653,0.0011277965,0.001,0.88668483,0.0016272325,5.0E-4
