Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,5.556969E-4,6.4670766E-4,0.0,0.0,6.4670766E-4,0.0,0.0023793848,0.0027689957,0.0,0.0,0.0027689957,0.0,0.028586963,0.033958644,0.0021798366,0.06419092,0.036064453,0.0021798366,0.25176284,0.31707695,0.0076294276,0.024061754,0.32228726,0.0076294276
6.1,1.925858E-4,2.6879704E-4,0.0,0.0,2.6879704E-4,0.0,8.2510663E-4,0.0011515341,0.0,0.0,0.0011515341,0.0,0.0099994885,0.014093099,5.4495916E-4,0.03866851,0.014630378,5.4495916E-4,0.095613256,0.14173591,0.0016348774,0.011534673,0.14313906,0.0016348774
6.2,9.4306815E-5,1.7556212E-4,0.0,0.0,1.7556212E-4,0.0,4.0410945E-4,7.5219333E-4,0.0,0.0,7.5219333E-4,0.0,0.0049089384,0.009119719,5.4495916E-4,0.05975613,0.0096597085,5.4495916E-4,0.048019063,0.088873915,5.4495916E-4,0.006131823,0.089370444,5.4495916E-4
6.3,9.283051E-5,1.7256303E-4,0.0,0.0,1.7256303E-4,0.0,3.9778434E-4,7.3934736E-4,0.0,0.0,7.3934736E-4,0.0,0.0048322747,0.008964599,5.4495916E-4,0.060790125,0.009504673,5.4495916E-4,0.047285385,0.08753465,5.4495916E-4,0.0062256386,0.08803191,5.4495916E-4
6.4,9.138826E-5,1.7024309E-4,0.0,0.0,1.7024309E-4,0.0,3.916052E-4,7.294103E-4,0.0,0.0,7.294103E-4,0.0,0.0047573745,0.008844599,5.4495916E-4,0.061614905,0.009384738,5.4495916E-4,0.046568092,0.08645787,5.4495916E-4,0.0063031754,0.08695572,5.4495916E-4
6.5,9.000255E-5,1.6787343E-4,0.0,0.0,1.6787343E-4,0.0,3.8566816E-4,7.1926025E-4,0.0,0.0,7.1926025E-4,0.0,0.0046854047,0.008722019,5.4495916E-4,0.062480845,0.009262226,5.4495916E-4,0.045878403,0.08535658,5.4495916E-4,0.006384501,0.08585502,5.4495916E-4
6.6,8.8109264E-5,1.6480335E-4,0.0,0.0,1.6480335E-4,0.0,3.7755648E-4,7.0611E-4,0.0,0.0,7.0611E-4,0.0,0.0045870654,0.008563199,5.4495916E-4,0.06363967,0.009103491,5.4495916E-4,0.04493529,0.08393011,5.4495916E-4,0.0064930106,0.08442934,5.4495916E-4
6.7,8.738073E-5,1.6349829E-4,0.0,0.0,1.6349829E-4,0.0,3.7443507E-4,7.005199E-4,0.0,0.0,7.005199E-4,0.0,0.0045492216,0.008495714,5.4495916E-4,0.064145185,0.009036044,5.4495916E-4,0.04457213,0.083338164,5.4495916E-4,0.00653913,0.08383771,5.4495916E-4
6.8,8.710195E-5,1.6297214E-4,0.0,0.0,1.6297214E-4,0.0,3.7324068E-4,6.9826614E-4,0.0,0.0,6.9826614E-4,0.0,0.0045347405,0.008468497,5.4495916E-4,0.06435134,0.009008841,5.4495916E-4,0.04443313,0.083092414,5.4495916E-4,0.0065584704,0.083592094,5.4495916E-4
6.9,8.6801556E-5,1.6239806E-4,0.0,0.0,1.6239806E-4,0.0,3.7195362E-4,6.9580716E-4,0.0,0.0,6.9580716E-4,0.0,0.0045191357,0.008438791,5.4495916E-4,0.06457787,0.008979151,5.4495916E-4,0.044283327,0.08282402,5.4495916E-4,0.0065797227,0.083323844,5.4495916E-4
