Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,1.952444E-5,2.1164358E-5,0.0,0.0,2.1164358E-5,0.0,8.367348E-5,9.070154E-5,1.0E-4,1.102517,9.070154E-5,0.0,0.0010182485,0.0011037865,0.0011,0.9965696,0.0011037865,0.0,0.010135954,0.010988515,0.0075,0.6825308,0.012570933,0.0016
6.1,1.952444E-5,2.1164358E-5,0.0,0.0,2.1164358E-5,0.0,8.367348E-5,9.070154E-5,1.0E-4,1.102517,9.070154E-5,0.0,0.0010182485,0.0011037865,0.0011,0.9965696,0.0011037865,0.0,0.010135954,0.010988515,0.0075,0.6825308,0.012570933,0.0016
6.2,1.952444E-5,2.1164358E-5,0.0,0.0,2.1164358E-5,0.0,8.367348E-5,9.070154E-5,1.0E-4,1.102517,9.070154E-5,0.0,0.0010182485,0.0011037865,0.0011,0.9965696,0.0011037865,0.0,0.010135954,0.010988515,0.0075,0.6825308,0.012570933,0.0016
6.3,1.952444E-5,2.1164358E-5,0.0,0.0,2.1164358E-5,0.0,8.367348E-5,9.070154E-5,1.0E-4,1.102517,9.070154E-5,0.0,0.0010182485,0.0011037865,0.0011,0.9965696,0.0011037865,0.0,0.010135954,0.010988515,0.0075,0.6825308,0.012570933,0.0016
6.4,1.952444E-5,2.1164358E-5,0.0,0.0,2.1164358E-5,0.0,8.367348E-5,9.070154E-5,1.0E-4,1.102517,9.070154E-5,0.0,0.0010182485,0.0011037865,0.0011,0.9965696,0.0011037865,0.0,0.010135954,0.010988515,0.0075,0.6825308,0.012570933,0.0016
6.5,1.2685271E-5,1.3679295E-5,0.0,0.0,1.3679295E-5,0.0,5.4364315E-5,5.8624326E-5,0.0,0.0,5.8624326E-5,0.0,6.616845E-4,7.1353384E-4,5.0E-4,0.7007376,7.1353384E-4,0.0,0.0065971776,0.007114075,0.004,0.56226563,0.007709807,6.0E-4
6.6,1.2685271E-5,1.3679295E-5,0.0,0.0,1.3679295E-5,0.0,5.4364315E-5,5.8624326E-5,0.0,0.0,5.8624326E-5,0.0,6.616845E-4,7.1353384E-4,5.0E-4,0.7007376,7.1353384E-4,0.0,0.0065971776,0.007114075,0.004,0.56226563,0.007709807,6.0E-4
6.7,9.117886E-6,9.802075E-6,0.0,0.0,9.802075E-6,0.0,3.9076072E-5,4.2008254E-5,0.0,0.0,4.2008254E-5,0.0,4.756473E-4,5.1133765E-4,4.0E-4,0.78226197,5.1133765E-4,0.0,0.0047463053,0.0051023276,0.0029,0.5683681,0.005400797,3.0E-4
6.8,8.786828E-6,9.450323E-6,0.0,0.0,9.450323E-6,0.0,3.7657293E-5,4.0500796E-5,0.0,0.0,4.0500796E-5,0.0,4.5838108E-4,4.9299264E-4,4.0E-4,0.81137115,4.9299264E-4,0.0,0.0045743673,0.00491969,0.0029,0.58946806,0.005218214,3.0E-4
6.9,6.7562123E-6,7.258113E-6,0.0,0.0,7.258113E-6,0.0,2.8954875E-5,3.1105854E-5,0.0,0.0,3.1105854E-5,0.0,3.5246857E-4,3.786527E-4,3.0E-4,0.79228276,3.786527E-4,0.0,0.0035191004,0.0037805466,0.0018,0.47612163,0.004079412,3.0E-4
7.0,5.1792854E-6,5.562985E-6,0.0,0.0,5.562985E-6,0.0,2.2196748E-5,2.3841169E-5,0.0,0.0,2.3841169E-5,0.0,2.702119E-4,2.9023134E-4,2.0E-4,0.6891054,2.9023134E-4,0.0,0.0026988357,0.0028988977,0.0012,0.41395044,0.003198028,3.0E-4
7.1,4.090765E-6,4.3939826E-6,0.0,0.0,4.3939826E-6,0.0,1.7531731E-5,1.8831237E-5,0.0,0.0,1.8831237E-5,0.0,2.134279E-4,2.2924959E-4,2.0E-4,0.8724116,2.2924959E-4,0.0,0.0021322304,0.002290465,9.0E-4,0.39293334,0.0025897778,3.0E-4
7.2,2.2356758E-6,2.4004994E-6,0.0,0.0,2.4004994E-6,0.0,9.581432E-6,1.0287825E-5,0.0,0.0,1.0287825E-5,0.0,1.1664769E-4,1.2524896E-4,1.0E-4,0.7984098,1.2524896E-4,0.0,0.0011658648,0.0012519691,6.0E-4,0.47924504,0.0015515935,3.0E-4
