Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36633068,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.73266137,0.0,2.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0989921,0.0,3.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.4653227,0.0,4.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.8316535,0.0,5.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.1979842,0.0,7.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.5643148,0.0,7.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.9306455,0.0,9.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.2969763,0.0,0.0011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.663307,0.0,0.0012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.029638,0.0,0.0013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.3959684,0.0,0.0013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.762299,0.0,0.0013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.1286297,0.0,0.0015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.4949603,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.861291,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.2276216,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.5939527,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.9602833,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.326614,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.6929445,0.0,0.0021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.059276,0.0,0.0022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.425606,0.0,0.0022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.791937,0.0,0.0022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.158267,0.0,0.0023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.524598,0.0,0.0024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.890928,0.0,0.0024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.257259,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.62359,0.0,0.0026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.989921,0.0,0.0029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.356252,0.0,0.0031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.722582,0.0,0.0031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.088913,0.0,0.0031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.455243,0.0,0.0032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.821574,0.0,0.0034,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.187905,0.0,0.0035,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.554235,0.0,0.0035,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.920567,0.0,0.0037,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.286897,0.0,0.0037,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.653228,0.0,0.0037,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.019558,0.0,0.0039,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.385889,0.0,0.0039,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.75222,0.0,0.004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.118551,0.0,0.004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.48488,0.0,0.004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.851212,0.0,0.0041,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.217543,0.0,0.0042,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.583874,0.0,0.0043,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.950205,0.0,0.0044,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.316534,0.0,0.0044,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.682865,0.0,0.0045,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.049196,0.0,0.0045,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.415527,0.0,0.0045,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.781857,0.0,0.0045,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.148188,0.0,0.0045,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.514519,0.0,0.0047,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.88085,0.0,0.0047,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.24718,0.0,0.0047,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.61351,0.0,0.0047,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.979841,0.0,0.0048,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.346172,0.0,0.0051,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.712503,0.0,0.0051,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.078835,0.0,0.0053,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.445164,0.0,0.0054,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.811495,0.0,0.0054,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24.177826,0.0,0.0055,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24.544157,0.0,0.0056,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24.910486,0.0,0.0057,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25.276817,0.0,0.0057,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25.643148,0.0,0.0057,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.00948,0.0,0.0057,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.37581,0.0,0.0059,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.74214,0.0,0.0059,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.10847,0.0,0.0059,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.474802,0.0,0.0059,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.841133,0.0,0.006,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.207464,0.0,0.0061,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.573793,0.0,0.0062,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.940125,0.0,0.0062,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29.306456,0.0,0.0063,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29.672787,0.0,0.0064,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30.039116,0.0,0.0065,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30.405447,0.0,0.0065,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30.771778,0.0,0.0065,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.13811,0.0,0.0065,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.50444,0.0,0.0066,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.87077,0.0,0.0067,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.237103,0.0,0.007,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.60343,0.0,0.007,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.96976,0.0,0.0071,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33.336094,0.0,0.0071,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33.702423,0.0,0.0071,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.068756,0.0,0.0073,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.435085,0.0,0.0073,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.801414,0.0,0.0075,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35.167747,0.0,0.0076,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35.534077,0.0,0.0078,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35.90041,0.0,0.0078,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36.26674,0.0,0.0079,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36.633068,0.0,0.0079,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36.9994,0.0,0.008,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37.36573,0.0,0.0081,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37.732063,0.0,0.0082,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
38.098392,0.0,0.0082,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
38.46472,0.0,0.0083,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
38.831055,0.0,0.0085,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39.197384,0.0,0.0087,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39.563713,0.0,0.0087,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39.930046,0.0,0.0088,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
40.296375,0.0,0.0089,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
40.66271,0.0,0.0089,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41.029037,0.0,0.0091,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41.395367,0.0,0.0092,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41.7617,0.0,0.0092,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42.12803,0.0,0.0092,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42.49436,0.0,0.0093,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42.86069,0.0,0.0096,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43.22702,0.0,0.0097,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43.593353,0.0,0.0099,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43.959682,0.0,0.0099,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44.326015,0.0,0.0101,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44.692345,0.0,0.0104,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45.058674,0.0,0.0104,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45.425007,0.0,0.0106,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45.791336,0.0,0.0108,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46.15767,0.0,0.0109,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46.524,0.0,0.0109,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46.890327,0.0,0.0111,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47.25666,0.0,0.0112,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47.62299,0.0,0.0113,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47.989323,0.0,0.0113,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48.35565,0.0,0.0113,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48.72198,0.0,0.0114,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49.088314,0.0,0.0116,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49.454643,0.0,0.0116,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49.820972,0.0,0.0116,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
50.187305,0.0,0.0116,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
50.553635,0.0,0.0119,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
50.919968,0.0,0.0119,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
51.286297,0.0,0.0121,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
51.652626,0.0,0.0123,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52.01896,0.0,0.0125,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52.38529,0.0,0.0126,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52.75162,0.0,0.0126,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
53.11795,0.0,0.0126,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
53.48428,0.0,0.0126,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
53.850613,0.0,0.0127,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
54.21694,0.0,0.0127,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
54.583275,0.0,0.0129,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
54.949604,0.0,0.0131,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
55.315933,0.0,0.0131,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
55.682266,0.0,0.0133,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
56.048595,0.0,0.0133,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
56.41493,0.0,0.0135,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
56.781258,0.0,0.0135,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
57.147587,0.0,0.0136,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
57.51392,0.0,0.0139,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
57.88025,0.0,0.0139,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
58.246582,0.0,0.014,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
58.61291,0.0,0.014,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
58.97924,0.0,0.0141,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
59.345573,0.0,0.0142,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
59.711903,0.0,0.0143,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
60.07823,0.0,0.0144,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
60.444565,0.0,0.0145,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
60.810894,0.0,0.0145,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
61.177227,0.0,0.0146,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
61.543556,0.0,0.0146,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
61.909885,0.0,0.0147,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
62.27622,0.0,0.0148,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
