Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,2.0,1.6119,1.0,1.0,0.0,1891.0,0.0,0.0,2.0,4.0
2.65,0.0,1.2783,1.0,0.0,0.0,1481.0,0.0,0.0,2.0,4.0
2.75,3.0,1.0042,1.0,0.0,0.0,1218.0,0.0,0.0,2.0,3.0
2.85,1.0,0.7898,0.0,0.0,0.0,895.0,0.0,0.0,1.0,3.0
2.95,1.0,0.6389,0.0,0.0,0.0,740.0,0.0,0.0,1.0,2.0
3.05,0.0,0.5023,0.0,0.0,0.0,553.0,0.0,0.0,1.0,2.0
3.15,0.0,0.4063,0.0,0.0,0.0,438.0,0.0,0.0,1.0,2.0
3.25,0.0,0.3147,0.0,0.0,0.0,369.0,0.0,0.0,1.0,2.0
3.35,1.0,0.2421,0.0,0.0,0.0,298.0,0.0,0.0,1.0,1.0
3.45,0.0,0.2023,0.0,0.0,0.0,219.0,0.0,0.0,0.0,1.0
3.55,0.0,0.156,0.0,0.0,0.0,183.0,0.0,0.0,0.0,1.0
3.65,0.0,0.1274,0.0,0.0,0.0,125.0,0.0,0.0,0.0,1.0
3.75,0.0,0.0969,0.0,0.0,0.0,105.0,0.0,0.0,0.0,1.0
3.85,0.0,0.082,0.0,0.0,0.0,111.0,0.0,0.0,0.0,1.0
3.95,0.0,0.0634,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0
4.05,0.0,0.0481,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1.0
4.15,0.0,0.0422,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0
4.25,0.0,0.0286,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
4.35,0.0,0.0267,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
4.45,0.0,0.0185,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
4.55,0.0,0.0168,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
4.65,0.0,0.0118,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
4.75,0.0,0.011,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
4.85,0.0,0.0098,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
4.95,0.0,0.0079,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
5.05,0.0,0.0058,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
5.15,0.0,0.0044,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5.25,0.0,0.0032,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.35,0.0,0.0015,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.45,0.0,0.0022,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.55,0.0,0.0018,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.65,0.0,0.0023,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.75,0.0,0.0016,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
5.85,0.0,5.0E-4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.95,0.0,7.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.05,0.0,4.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.15,0.0,8.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.25,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.35,0.0,4.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.45,0.0,2.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.55,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.65,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.05,0.0,3.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.15,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
