Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,4.20513E-5,4.8656337E-5,1.0E-4,2.0552306,4.8656337E-5,0.0,1.8020741E-4,2.0851374E-4,3.0E-4,1.4387541,2.0851374E-4,0.0,0.0021918174,0.0025362293,0.0015,0.5914292,0.002935215,4.0E-4,0.021703249,0.025124125,0.0141,0.56121355,0.027463827,0.0024
6.1,4.20513E-5,4.8656337E-5,1.0E-4,2.0552306,4.8656337E-5,0.0,1.8020741E-4,2.0851374E-4,3.0E-4,1.4387541,2.0851374E-4,0.0,0.0021918174,0.0025362293,0.0015,0.5914292,0.002935215,4.0E-4,0.021703249,0.025124125,0.0141,0.56121355,0.027463827,0.0024
6.2,2.3413893E-5,2.4707664E-5,0.0,0.0,2.4707664E-5,0.0,1.0034139E-4,1.0588623E-4,1.0E-4,0.94440985,1.0588623E-4,0.0,0.0012209718,0.001288491,6.0E-4,0.46566102,0.001288491,0.0,0.012142851,0.012818878,0.0066,0.5148657,0.014299649,0.0015
6.3,2.3413893E-5,2.4707664E-5,0.0,0.0,2.4707664E-5,0.0,1.0034139E-4,1.0588623E-4,1.0E-4,0.94440985,1.0588623E-4,0.0,0.0012209718,0.001288491,6.0E-4,0.46566102,0.001288491,0.0,0.012142851,0.012818878,0.0066,0.5148657,0.014299649,0.0015
6.4,1.6894814E-5,1.6576523E-5,0.0,0.0,1.6576523E-5,0.0,7.240433E-5,7.104052E-5,1.0E-4,1.4076473,7.104052E-5,0.0,8.811662E-4,8.646121E-4,5.0E-4,0.578294,8.646121E-4,0.0,0.0087768035,0.008616141,0.0041,0.4758511,0.009607525,0.001
6.5,1.6894814E-5,1.6576523E-5,0.0,0.0,1.6576523E-5,0.0,7.240433E-5,7.104052E-5,1.0E-4,1.4076473,7.104052E-5,0.0,8.811662E-4,8.646121E-4,5.0E-4,0.578294,8.646121E-4,0.0,0.0087768035,0.008616141,0.0041,0.4758511,0.009607525,0.001
6.6,1.1910969E-5,1.05363215E-5,0.0,0.0,1.05363215E-5,0.0,5.1046012E-5,4.515496E-5,0.0,0.0,4.515496E-5,0.0,6.21308E-4,5.496361E-4,2.0E-4,0.36387715,5.496361E-4,0.0,0.0061957375,0.005484068,0.0021,0.38292742,0.005981326,5.0E-4
6.7,9.1486E-6,7.207078E-6,0.0,0.0,7.207078E-6,0.0,3.9207694E-5,3.088713E-5,0.0,0.0,3.088713E-5,0.0,4.7724912E-4,3.7598977E-4,2.0E-4,0.5319294,3.7598977E-4,0.0,0.0047622547,0.0037539161,0.0014,0.37294388,0.0039531654,2.0E-4
6.8,7.90441E-6,5.7327056E-6,0.0,0.0,5.7327056E-6,0.0,3.3875604E-5,2.4568513E-5,0.0,0.0,2.4568513E-5,0.0,4.1235742E-4,2.9908188E-4,2.0E-4,0.6687132,2.9908188E-4,0.0,0.0041159308,0.0029869226,0.001,0.33479276,0.0030866237,1.0E-4
6.9,7.77015E-6,5.5866344E-6,0.0,0.0,5.5866344E-6,0.0,3.3300217E-5,2.3942506E-5,0.0,0.0,2.3942506E-5,0.0,4.0535472E-4,2.914623E-4,2.0E-4,0.68619514,2.914623E-4,0.0,0.004046161,0.0029109276,0.001,0.34353313,0.0030106364,1.0E-4
