Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,1.7360222E-5,1.8504044E-5,0.0,0.0,1.8504044E-5,0.0,7.439883E-5,7.930091E-5,0.0,0.0,7.930091E-5,0.0,9.0542925E-4,9.6510956E-4,5.0E-4,0.5180759,0.001464627,5.0E-4,0.009017491,0.009614025,0.0015,0.15602206,0.011099604,0.0015
6.1,9.062689E-6,9.5933065E-6,0.0,0.0,9.5933065E-6,0.0,3.8839516E-5,4.1113573E-5,0.0,0.0,4.1113573E-5,0.0,4.727685E-4,5.0045166E-4,3.0E-4,0.5994585,8.003015E-4,3.0E-4,0.0047176396,0.0049941298,0.001,0.20023508,0.0059891357,0.001
6.2,9.062689E-6,9.5933065E-6,0.0,0.0,9.5933065E-6,0.0,3.8839516E-5,4.1113573E-5,0.0,0.0,4.1113573E-5,0.0,4.727685E-4,5.0045166E-4,3.0E-4,0.5994585,8.003015E-4,3.0E-4,0.0047176396,0.0049941298,0.001,0.20023508,0.0059891357,0.001
6.3,7.2575485E-6,7.668569E-6,0.0,0.0,7.668569E-6,0.0,3.110341E-5,3.2864926E-5,0.0,0.0,3.2864926E-5,0.0,3.786182E-4,4.0006413E-4,2.0E-4,0.49991986,5.999841E-4,2.0E-4,0.0037797375,0.003994144,8.0E-4,0.20029323,0.0047909487,8.0E-4
6.4,7.2575485E-6,7.668569E-6,0.0,0.0,7.668569E-6,0.0,3.110341E-5,3.2864926E-5,0.0,0.0,3.2864926E-5,0.0,3.786182E-4,4.0006413E-4,2.0E-4,0.49991986,5.999841E-4,2.0E-4,0.0037797375,0.003994144,8.0E-4,0.20029323,0.0047909487,8.0E-4
6.5,6.06582E-6,6.4045857E-6,0.0,0.0,6.4045857E-6,0.0,2.5996113E-5,2.7447972E-5,0.0,0.0,2.7447972E-5,0.0,3.164567E-4,3.341343E-4,1.0E-4,0.29928085,4.341009E-4,1.0E-4,0.0031600643,0.003336958,6.0E-4,0.17980449,0.0039349557,6.0E-4
6.6,5.598744E-6,5.910915E-6,0.0,0.0,5.910915E-6,0.0,2.3994397E-5,2.5332283E-5,0.0,0.0,2.5332283E-5,0.0,2.9209262E-4,3.0838329E-4,1.0E-4,0.3242718,4.0835244E-4,1.0E-4,0.0029170897,0.0030801827,5.0E-4,0.16232803,0.0035786426,5.0E-4
6.7,5.246996E-6,5.539774E-6,0.0,0.0,5.539774E-6,0.0,2.2486933E-5,2.374171E-5,0.0,0.0,2.374171E-5,0.0,2.73744E-4,2.8902333E-4,1.0E-4,0.34599283,3.889944E-4,1.0E-4,0.0027340704,0.0028870984,5.0E-4,0.17318426,0.0033856547,5.0E-4
6.8,4.02324E-6,4.247373E-6,0.0,0.0,4.247373E-6,0.0,1.7242342E-5,1.8202934E-5,0.0,0.0,1.8202934E-5,0.0,2.099053E-4,2.2160415E-4,0.0,0.0,2.2160415E-4,0.0,0.0020970714,0.0022144162,2.0E-4,0.090317264,0.0024139732,2.0E-4
6.9,6.835972E-7,7.140558E-7,0.0,0.0,7.140558E-7,0.0,2.9296991E-6,3.0602373E-6,0.0,0.0,3.0602373E-6,0.0,3.56685E-5,3.7258073E-5,0.0,0.0,3.7258073E-5,0.0,3.5662777E-4,3.7254952E-4,1.0E-4,0.2684207,4.7251224E-4,1.0E-4
