Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4273766E-4,3.160784E-4,0.0013030603,4.122586,9.87294E-4,6.115894E-4,0.0013539245,0.0028542941,2.1081636,0.0015024039,0.0074207084,0.016360939,0.018218774,1.113553,0.0018887363,0.07177748,0.15021163,0.15218143,1.0131135,0.0023179946
6.1,1.4273766E-4,3.160784E-4,0.0013030603,4.122586,9.87294E-4,6.115894E-4,0.0013539245,0.0028542941,2.1081636,0.0015024039,0.0074207084,0.016360939,0.018218774,1.113553,0.0018887363,0.07177748,0.15021163,0.15218143,1.0131135,0.0023179946
6.2,1.4273766E-4,3.160784E-4,0.0013030603,4.122586,9.87294E-4,6.115894E-4,0.0013539245,0.0028542941,2.1081636,0.0015024039,0.0074207084,0.016360939,0.018218774,1.113553,0.0018887363,0.07177748,0.15021163,0.15218143,1.0131135,0.0023179946
6.3,1.3730655E-4,3.0512668E-4,0.0012921194,4.2346983,9.87294E-4,5.883239E-4,0.001307036,0.0028074763,2.1479714,0.0015024039,0.0071393442,0.015798455,0.017657353,1.1176633,0.0018887363,0.06914291,0.1455135,0.1474942,1.0136118,0.0023179946
6.4,1.3730655E-4,3.0512668E-4,0.0012921194,4.2346983,9.87294E-4,5.883239E-4,0.001307036,0.0028074763,2.1479714,0.0015024039,0.0071393442,0.015798455,0.017657353,1.1176633,0.0018887363,0.06914291,0.1455135,0.1474942,1.0136118,0.0023179946
6.5,1.2942807E-4,2.8927144E-4,0.0012762798,4.4120493,9.87294E-4,5.545738E-4,0.0012391509,0.002739693,2.210944,0.0015024039,0.0067310524,0.014983548,0.016843984,1.1241653,0.0018887363,0.06530788,0.13865088,0.14064749,1.0144002,0.0023179946
6.6,1.1125901E-4,2.5365927E-4,0.0012407028,4.891218,9.87294E-4,4.767372E-4,0.0010866605,0.0025445526,2.3416262,0.001459478,0.005788839,0.0131504685,0.014972005,1.138515,0.0018458104,0.056403454,0.12300496,0.12496254,1.0159147,0.002232143
6.7,1.02209575E-4,2.3500937E-4,0.0011791555,5.017483,9.4436813E-4,4.3796748E-4,0.0010067957,0.0024219216,2.405574,0.0014165522,0.0053192247,0.012189267,0.013970176,1.1461047,0.0018028846,0.051936906,0.114792764,0.116730675,1.0168818,0.0021892171
6.8,9.610582E-5,2.2026796E-4,0.0011644281,5.286416,9.4436813E-4,4.1181705E-4,9.436647E-4,0.0023588801,2.4997015,0.0014165522,0.0050023515,0.011428859,0.013211139,1.1559455,0.0018028846,0.048912346,0.10820469,0.11011874,1.0176892,0.0021462913
6.9,9.3877505E-5,2.1482339E-4,0.0011589887,5.3950763,9.4436813E-4,4.0227012E-4,9.203475E-4,0.002335596,2.5377328,0.0014165522,0.0048866454,0.011147907,0.012930693,1.1599212,0.0018028846,0.04780577,0.105798274,0.10771749,1.0181403,0.0021462913
