Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,2.2407607E-5,2.3643477E-5,0.0,0.0,2.3643477E-5,0.0,9.602906E-5,1.013255E-4,0.0,0.0,1.013255E-4,0.0,0.0011685267,0.0012329839,2.0E-4,0.16220812,0.0014327373,2.0E-4,0.011624013,0.012265936,0.0037,0.3016484,0.015920551,0.0037
6.1,2.2407607E-5,2.3643477E-5,0.0,0.0,2.3643477E-5,0.0,9.602906E-5,1.013255E-4,0.0,0.0,1.013255E-4,0.0,0.0011685267,0.0012329839,2.0E-4,0.16220812,0.0014327373,2.0E-4,0.011624013,0.012265936,0.0037,0.3016484,0.015920551,0.0037
6.2,1.0781252E-5,1.13592305E-5,0.0,0.0,1.13592305E-5,0.0,4.620455E-5,4.868153E-5,0.0,0.0,4.868153E-5,0.0,5.623952E-4,5.925405E-4,2.0E-4,0.3375297,7.92422E-4,2.0E-4,0.00560974,0.005910024,0.0016,0.27072647,0.007500568,0.0016
6.3,1.0781252E-5,1.13592305E-5,0.0,0.0,1.13592305E-5,0.0,4.620455E-5,4.868153E-5,0.0,0.0,4.868153E-5,0.0,5.623952E-4,5.925405E-4,2.0E-4,0.3375297,7.92422E-4,2.0E-4,0.00560974,0.005910024,0.0016,0.27072647,0.007500568,0.0016
6.4,7.814439E-6,8.233069E-6,0.0,0.0,8.233069E-6,0.0,3.3490025E-5,3.5284113E-5,0.0,0.0,3.5284113E-5,0.0,4.0766477E-4,4.295008E-4,0.0,0.0,4.295008E-4,0.0,0.0040691774,0.004286853,0.0011,0.25659847,0.005382138,0.0011
6.5,6.4986366E-6,6.8470413E-6,0.0,0.0,6.8470413E-6,0.0,2.7851002E-5,2.9344137E-5,0.0,0.0,2.9344137E-5,0.0,3.390332E-4,3.5720723E-4,0.0,0.0,3.5720723E-4,0.0,0.003385164,0.0035664267,0.001,0.2803927,0.0045628604,0.001
6.6,5.582177E-6,5.8826595E-6,0.0,0.0,5.8826595E-6,0.0,2.3923398E-5,2.5211159E-5,0.0,0.0,2.5211159E-5,0.0,2.9122844E-4,3.0690333E-4,0.0,0.0,3.0690333E-4,0.0,0.0029084706,0.0030648683,8.0E-4,0.26102263,0.0038624164,8.0E-4
6.7,4.6858763E-6,4.9376245E-6,0.0,0.0,4.9376245E-6,0.0,2.0082172E-5,2.1161079E-5,0.0,0.0,2.1161079E-5,0.0,2.4447302E-4,2.5760624E-4,0.0,0.0,2.5760624E-4,0.0,0.0024420423,0.0025731325,6.0E-4,0.23317881,0.0031715888,6.0E-4
6.8,3.5584908E-6,3.7498878E-6,0.0,0.0,3.7498878E-6,0.0,1.5250586E-5,1.6070851E-5,0.0,0.0,1.6070851E-5,0.0,1.8566006E-4,1.9564545E-4,0.0,0.0,1.9564545E-4,0.0,0.0018550502,0.0019547732,5.0E-4,0.25578415,0.0024537959,5.0E-4
6.9,2.532834E-6,2.6694825E-6,0.0,0.0,2.6694825E-6,0.0,1.0854958E-5,1.144059E-5,0.0,0.0,1.144059E-5,0.0,1.3215111E-4,1.3928056E-4,0.0,0.0,1.3928056E-4,0.0,0.0013207254,0.0013919603,3.0E-4,0.21552339,0.0016915427,3.0E-4
7.0,1.7083285E-6,1.8009131E-6,0.0,0.0,1.8009131E-6,0.0,7.3213873E-6,7.718178E-6,0.0,0.0,7.718178E-6,0.0,8.913424E-5,9.3964925E-5,0.0,0.0,9.3964925E-5,0.0,8.9098496E-4,9.392684E-4,2.0E-4,0.21293168,0.0011390805,2.0E-4
7.1,1.0905424E-6,1.1491103E-6,0.0,0.0,1.1491103E-6,0.0,4.6737446E-6,4.9247496E-6,0.0,0.0,4.9247496E-6,0.0,5.6901354E-5,5.9957274E-5,0.0,0.0,5.9957274E-5,0.0,5.6886784E-4,5.9942075E-4,2.0E-4,0.33365545,7.9930085E-4,2.0E-4
7.2,6.06668E-7,6.3837547E-7,0.0,0.0,6.3837547E-7,0.0,2.600003E-6,2.7358924E-6,0.0,0.0,2.7358924E-6,0.0,3.1654577E-5,3.330905E-5,0.0,0.0,3.330905E-5,0.0,3.1650066E-4,3.330474E-4,2.0E-4,0.6005151,5.329808E-4,2.0E-4
