Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,1.2336002E-4,2.959187E-4,1.0E-4,0.33793065,2.959187E-4,0.0,5.2857865E-4,0.0012676324,0.0012,0.94664675,0.0014673788,2.0E-4,0.006416472,0.0153290965,0.0098,0.6393071,0.016412234,0.0011,0.06234337,0.14099796,0.0912,0.6468179,0.15001747,0.0105
6.1,1.2336002E-4,2.959187E-4,1.0E-4,0.33793065,2.959187E-4,0.0,5.2857865E-4,0.0012676324,0.0012,0.94664675,0.0014673788,2.0E-4,0.006416472,0.0153290965,0.0098,0.6393071,0.016412234,0.0011,0.06234337,0.14099796,0.0912,0.6468179,0.15001747,0.0105
6.2,1.2336002E-4,2.959187E-4,1.0E-4,0.33793065,2.959187E-4,0.0,5.2857865E-4,0.0012676324,0.0012,0.94664675,0.0014673788,2.0E-4,0.006416472,0.0153290965,0.0098,0.6393071,0.016412234,0.0011,0.06234337,0.14099796,0.0912,0.6468179,0.15001747,0.0105
6.3,1.1712257E-4,2.838439E-4,1.0E-4,0.35230634,2.838439E-4,0.0,5.018573E-4,0.0012159321,0.0012,0.98689723,0.0014156889,2.0E-4,0.006093008,0.01470826,0.0094,0.6390967,0.015792081,0.0011,0.059286322,0.1356851,0.0879,0.6478235,0.14458755,0.0103
6.4,1.1712257E-4,2.838439E-4,1.0E-4,0.35230634,2.838439E-4,0.0,5.018573E-4,0.0012159321,0.0012,0.98689723,0.0014156889,2.0E-4,0.006093008,0.01470826,0.0094,0.6390967,0.015792081,0.0011,0.059286322,0.1356851,0.0879,0.6478235,0.14458755,0.0103
6.5,1.0689076E-4,2.640397E-4,1.0E-4,0.37873092,2.640397E-4,0.0,4.5802278E-4,0.0011311325,0.0012,1.0608838,0.0013309062,2.0E-4,0.0055621783,0.013689131,0.0088,0.6428458,0.014675441,0.001,0.05425003,0.12696327,0.0819,0.6450684,0.13569364,0.01
6.6,9.7648895E-5,2.465534E-4,1.0E-4,0.40559167,2.465534E-4,0.0,4.1842813E-4,0.0010562527,0.0012,1.1360917,0.0012560416,2.0E-4,0.005082469,0.012788354,0.0082,0.6412084,0.013775566,0.001,0.049677886,0.11914333,0.0763,0.6404051,0.12777573,0.0098
6.7,8.757013E-5,2.2732638E-4,0.0,0.0,2.2732638E-4,0.0,3.7524657E-4,9.7391417E-4,0.001,1.0267845,0.0011737194,2.0E-4,0.00455906,0.011796966,0.0073,0.61880314,0.012785169,0.001,0.04466656,0.1104343,0.0703,0.63657755,0.11915205,0.0098
6.8,8.562978E-5,2.2295192E-4,0.0,0.0,2.2295192E-4,0.0,3.6693315E-4,9.5518027E-4,0.001,1.0469228,0.0011549892,2.0E-4,0.004458263,0.011571319,0.0072,0.62222815,0.012559747,0.001,0.043698758,0.10845624,0.0695,0.64081144,0.11701506,0.0096
6.9,6.124075E-5,1.6714828E-4,0.0,0.0,1.6714828E-4,0.0,2.6243398E-4,7.1615394E-4,9.0E-4,1.256713,9.160107E-4,2.0E-4,0.0031904527,0.008684517,0.0059,0.67937,0.009576701,9.0E-4,0.031450346,0.08264147,0.0554,0.67036563,0.090897694,0.009
