Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,1.1721256E-4,2.3660723E-4,2.0E-4,0.8452827,3.3658356E-4,1.0E-4,5.022428E-4,0.0010134798,0.001,0.9866995,0.001512973,5.0E-4,0.0060976758,0.012245739,0.0091,0.7431156,0.014320023,0.0021,0.0593305,0.11281047,0.0924,0.8190729,0.124610096,0.0133
6.1,6.99169E-5,1.3793148E-4,2.0E-4,1.4499954,2.3791769E-4,1.0E-4,2.9960944E-4,5.9095264E-4,7.0E-4,1.1845281,8.9077535E-4,3.0E-4,0.0036416445,0.0071650464,0.0042,0.586179,0.008356448,0.0012,0.035825435,0.06774945,0.0478,0.7055408,0.074554875,0.0073
6.2,6.99169E-5,1.3793148E-4,2.0E-4,1.4499954,2.3791769E-4,1.0E-4,2.9960944E-4,5.9095264E-4,7.0E-4,1.1845281,8.9077535E-4,3.0E-4,0.0036416445,0.0071650464,0.0042,0.586179,0.008356448,0.0012,0.035825435,0.06774945,0.0478,0.7055408,0.074554875,0.0073
6.3,6.970908E-5,1.3761275E-4,2.0E-4,1.4533538,2.3759899E-4,1.0E-4,2.9871898E-4,5.895876E-4,7.0E-4,1.1872706,8.8941073E-4,3.0E-4,0.0036308395,0.0071485755,0.0042,0.58752966,0.008339997,0.0012,0.035720866,0.067598335,0.0477,0.70563865,0.07440487,0.0073
6.4,6.9517155E-5,1.3728178E-4,2.0E-4,1.4568576,2.3726805E-4,1.0E-4,2.9789665E-4,5.8817E-4,7.0E-4,1.190132,8.8799355E-4,3.0E-4,0.0036208609,0.007131479,0.0042,0.5889381,0.008322922,0.0012,0.03562429,0.06744229,0.0476,0.7057886,0.07424996,0.0073
6.5,4.786248E-5,9.398959E-5,1.0E-4,1.0639476,9.398959E-5,0.0,2.0510878E-4,4.027528E-4,4.0E-4,0.9931651,6.026722E-4,2.0E-4,0.0024943394,0.004892924,0.0029,0.5926927,0.00578852,9.0E-4,0.02466527,0.046834912,0.0316,0.67471033,0.051696055,0.0051
6.6,4.4662214E-5,8.865866E-5,1.0E-4,1.1279215,8.865866E-5,0.0,1.9139545E-4,3.7991293E-4,4.0E-4,1.0528728,5.7983695E-4,2.0E-4,0.0023277493,0.004616092,0.0026,0.563247,0.005412399,8.0E-4,0.02303517,0.04422703,0.0298,0.67379606,0.049005896,0.005
6.7,3.884542E-5,7.8499506E-5,1.0E-4,1.2738934,7.8499506E-5,0.0,1.6646975E-4,3.3638556E-4,2.0E-4,0.5945558,4.3635193E-4,1.0E-4,0.002024885,0.004088246,0.0022,0.5381281,0.004785384,7.0E-4,0.020065336,0.03927036,0.0264,0.6722627,0.043593645,0.0045
6.8,3.4221863E-5,6.8429945E-5,0.0,0.0,6.8429945E-5,0.0,1.4665688E-4,2.932406E-4,1.0E-4,0.34101692,3.9321126E-4,1.0E-4,0.0017840851,0.0035647785,0.0018,0.5049402,0.00416264,6.0E-4,0.017698295,0.03436741,0.0229,0.6663289,0.037747126,0.0035
6.9,1.6927712E-5,3.0020747E-5,0.0,0.0,3.0020747E-5,0.0,7.2545314E-5,1.2865433E-4,1.0E-4,0.77727664,2.2864145E-4,1.0E-4,8.828813E-4,0.0015652976,8.0E-4,0.5110849,0.0017649846,2.0E-4,0.008793819,0.015444788,0.01,0.6474676,0.016429342,0.001
