Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,2.3806366E-5,2.6259715E-5,0.0,0.0,2.6259715E-5,0.0,1.0202329E-4,1.1253714E-4,0.0,0.0,1.1253714E-4,0.0,0.0012414258,0.0013693422,8.0E-4,0.5842221,0.0013693422,0.0,0.012345135,0.013615528,0.0083,0.6095981,0.013911444,3.0E-4
6.1,2.3806366E-5,2.6259715E-5,0.0,0.0,2.6259715E-5,0.0,1.0202329E-4,1.1253714E-4,0.0,0.0,1.1253714E-4,0.0,0.0012414258,0.0013693422,8.0E-4,0.5842221,0.0013693422,0.0,0.012345135,0.013615528,0.0083,0.6095981,0.013911444,3.0E-4
6.2,2.3806366E-5,2.6259715E-5,0.0,0.0,2.6259715E-5,0.0,1.0202329E-4,1.1253714E-4,0.0,0.0,1.1253714E-4,0.0,0.0012414258,0.0013693422,8.0E-4,0.5842221,0.0013693422,0.0,0.012345135,0.013615528,0.0083,0.6095981,0.013911444,3.0E-4
6.3,2.3806366E-5,2.6259715E-5,0.0,0.0,2.6259715E-5,0.0,1.0202329E-4,1.1253714E-4,0.0,0.0,1.1253714E-4,0.0,0.0012414258,0.0013693422,8.0E-4,0.5842221,0.0013693422,0.0,0.012345135,0.013615528,0.0083,0.6095981,0.013911444,3.0E-4
6.4,2.3806366E-5,2.6259715E-5,0.0,0.0,2.6259715E-5,0.0,1.0202329E-4,1.1253714E-4,0.0,0.0,1.1253714E-4,0.0,0.0012414258,0.0013693422,8.0E-4,0.5842221,0.0013693422,0.0,0.012345135,0.013615528,0.0083,0.6095981,0.013911444,3.0E-4
6.5,2.3806366E-5,2.6259715E-5,0.0,0.0,2.6259715E-5,0.0,1.0202329E-4,1.1253714E-4,0.0,0.0,1.1253714E-4,0.0,0.0012414258,0.0013693422,8.0E-4,0.5842221,0.0013693422,0.0,0.012345135,0.013615528,0.0083,0.6095981,0.013911444,3.0E-4
6.6,2.3806366E-5,2.6259715E-5,0.0,0.0,2.6259715E-5,0.0,1.0202329E-4,1.1253714E-4,0.0,0.0,1.1253714E-4,0.0,0.0012414258,0.0013693422,8.0E-4,0.5842221,0.0013693422,0.0,0.012345135,0.013615528,0.0083,0.6095981,0.013911444,3.0E-4
6.7,1.6515693E-5,1.8191738E-5,0.0,0.0,1.8191738E-5,0.0,7.077962E-5,7.796245E-5,0.0,0.0,7.796245E-5,0.0,8.6140115E-4,9.4881334E-4,6.0E-4,0.63236886,9.4881334E-4,0.0,0.008580698,0.009451018,0.0059,0.6242714,0.009649128,2.0E-4
6.8,1.6515693E-5,1.8191738E-5,0.0,0.0,1.8191738E-5,0.0,7.077962E-5,7.796245E-5,0.0,0.0,7.796245E-5,0.0,8.6140115E-4,9.4881334E-4,6.0E-4,0.63236886,9.4881334E-4,0.0,0.008580698,0.009451018,0.0059,0.6242714,0.009649128,2.0E-4
6.9,1.2971182E-5,1.4276783E-5,0.0,0.0,1.4276783E-5,0.0,5.5589593E-5,6.1184925E-5,0.0,0.0,6.1184925E-5,0.0,6.765931E-4,7.4469775E-4,3.0E-4,0.40284798,7.4469775E-4,0.0,0.0067453682,0.0074245976,0.0043,0.579156,0.0076231128,2.0E-4
7.0,1.0201805E-5,1.1224222E-5,0.0,0.0,1.1224222E-5,0.0,4.3721288E-5,4.810304E-5,0.0,0.0,4.810304E-5,0.0,5.3217664E-4,5.855179E-4,2.0E-4,0.34157792,5.855179E-4,0.0,0.00530904,0.005841805,0.0035,0.5991299,0.005941221,1.0E-4
7.1,8.3744935E-6,9.2145665E-6,0.0,0.0,9.2145665E-6,0.0,3.5890193E-5,3.9490504E-5,0.0,0.0,3.9490504E-5,0.0,4.368755E-4,4.807094E-4,1.0E-4,0.2080259,4.807094E-4,0.0,0.004360176,0.0047985218,0.0027,0.56267333,0.0048980415,1.0E-4
7.2,6.649391E-6,7.3185224E-6,0.0,0.0,7.3185224E-6,0.0,2.8497077E-5,3.1364812E-5,0.0,0.0,3.1364812E-5,0.0,3.4689668E-4,3.8181627E-4,0.0,0.0,3.8181627E-4,0.0,0.0034635565,0.0038132337,0.0022,0.57693815,0.0039128526,1.0E-4
7.3,4.9549312E-6,5.455726E-6,0.0,0.0,5.455726E-6,0.0,2.1235246E-5,2.3381555E-5,0.0,0.0,2.3381555E-5,0.0,2.5850846E-4,2.8464798E-4,0.0,0.0,2.8464798E-4,0.0,0.0025820795,0.0028442782,0.0016,0.56253284,0.0029439938,1.0E-4
