Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered+TD,10 yr ETAS Triggered Only
6.0,3.409352E-5,3.613959E-5,0.0,0.0,3.613959E-5,0.0,1.461069E-4,1.5487478E-4,0.0,0.0,1.5487478E-4,0.0,0.0017774,0.0018839714,0.0011,0.583873,0.0020835947,2.0E-4,0.01763251,0.01942775,0.0104,0.5353167,0.020408323,0.001
6.1,3.409352E-5,3.613959E-5,0.0,0.0,3.613959E-5,0.0,1.461069E-4,1.5487478E-4,0.0,0.0,1.5487478E-4,0.0,0.0017774,0.0018839714,0.0011,0.583873,0.0020835947,2.0E-4,0.01763251,0.01942775,0.0104,0.5353167,0.020408323,0.001
6.2,3.409352E-5,3.613959E-5,0.0,0.0,3.613959E-5,0.0,1.461069E-4,1.5487478E-4,0.0,0.0,1.5487478E-4,0.0,0.0017774,0.0018839714,0.0011,0.583873,0.0020835947,2.0E-4,0.01763251,0.01942775,0.0104,0.5353167,0.020408323,0.001
6.3,3.409352E-5,3.613959E-5,0.0,0.0,3.613959E-5,0.0,1.461069E-4,1.5487478E-4,0.0,0.0,1.5487478E-4,0.0,0.0017774,0.0018839714,0.0011,0.583873,0.0020835947,2.0E-4,0.01763251,0.01942775,0.0104,0.5353167,0.020408323,0.001
6.4,3.400795E-5,3.60322E-5,0.0,0.0,3.60322E-5,0.0,1.4574021E-4,1.5441459E-4,0.0,0.0,1.5441459E-4,0.0,0.0017729428,0.0018783783,0.0011,0.5856115,0.0020780026,2.0E-4,0.017588645,0.019372808,0.0102,0.5265112,0.020353436,0.001
6.5,3.341482E-5,3.529246E-5,0.0,0.0,3.529246E-5,0.0,1.4319851E-4,1.5124465E-4,0.0,0.0,1.5124465E-4,0.0,0.0017420477,0.0018398496,0.0011,0.59787494,0.0020394817,2.0E-4,0.017284546,0.01899419,0.0099,0.521212,0.019975197,0.001
6.6,3.3364955E-5,3.5229645E-5,0.0,0.0,3.5229645E-5,0.0,1.4298483E-4,1.5097547E-4,0.0,0.0,1.5097547E-4,0.0,0.0017394501,0.001836578,0.0011,0.59893996,0.0020362106,2.0E-4,0.017258976,0.01896204,0.0099,0.5220957,0.019943079,0.001
6.7,3.335922E-5,3.5219415E-5,0.0,0.0,3.5219415E-5,0.0,1.4296026E-4,1.5093162E-4,0.0,0.0,1.5093162E-4,0.0,0.0017391514,0.0018360451,0.0011,0.5991138,0.002035678,2.0E-4,0.017256035,0.01895683,0.0099,0.5222392,0.019937875,0.001
6.8,3.327683E-5,3.5113422E-5,0.0,0.0,3.5113422E-5,0.0,1.4260718E-4,1.5047741E-4,0.0,0.0,1.5047741E-4,0.0,0.0017348597,0.0018305244,0.0011,0.6009207,0.0020301584,2.0E-4,0.017213784,0.018902577,0.0099,0.5237381,0.019883676,0.001
6.9,3.3235785E-5,3.5054338E-5,0.0,0.0,3.5054338E-5,0.0,1.4243131E-4,1.5022424E-4,0.0,0.0,1.5022424E-4,0.0,0.0017327217,0.0018274471,0.0011,0.6019326,0.0020270816,2.0E-4,0.017192734,0.018872429,0.0099,0.52457476,0.019853557,0.001
7.0,3.3197095E-5,3.4994224E-5,0.0,0.0,3.4994224E-5,0.0,1.422655E-4,1.4996664E-4,0.0,0.0,1.4996664E-4,0.0,0.0017307063,0.0018243161,0.0011,0.60296565,0.0020239514,2.0E-4,0.017172894,0.018841786,0.0098,0.5201205,0.019822946,0.001
7.1,3.3129716E-5,3.487434E-5,0.0,0.0,3.487434E-5,0.0,1.4197677E-4,1.4945291E-4,0.0,0.0,1.4945291E-4,0.0,0.0017271966,0.0018180719,0.0011,0.60503656,0.0020177083,2.0E-4,0.017138338,0.018780824,0.0098,0.52180886,0.019762043,0.001
7.2,3.3034008E-5,3.474171E-5,0.0,0.0,3.474171E-5,0.0,1.4156665E-4,1.4888456E-4,0.0,0.0,1.4888456E-4,0.0,0.0017222111,0.001811164,0.0011,0.60734427,0.0020108018,2.0E-4,0.017089253,0.018713197,0.0096,0.513007,0.019694483,0.001
7.3,3.2956614E-5,3.4609333E-5,0.0,0.0,3.4609333E-5,0.0,1.4123498E-4,1.483173E-4,0.0,0.0,1.483173E-4,0.0,0.0017181796,0.0018042688,0.0011,0.6096653,0.002003908,2.0E-4,0.017049557,0.018645877,0.0096,0.51485914,0.019627232,0.001
7.4,3.2915937E-5,3.4530927E-5,0.0,0.0,3.4530927E-5,0.0,1.4106068E-4,1.4798129E-4,0.0,0.0,1.4798129E-4,0.0,0.0017160608,0.0018001848,0.0011,0.61104834,0.0019998248,2.0E-4,0.017028693,0.018606089,0.0096,0.5159601,0.019587483,0.001
7.5,3.281791E-5,3.4395707E-5,0.0,0.0,3.4395707E-5,0.0,1.406406E-4,1.4740185E-4,0.0,0.0,1.4740185E-4,0.0,0.0017109542,0.0017931417,0.0011,0.61344844,0.001992783,2.0E-4,0.016978411,0.018536916,0.0096,0.5178855,0.01951838,0.001
7.6,3.2521442E-5,3.4120338E-5,0.0,0.0,3.4120338E-5,0.0,1.3937015E-4,1.4622184E-4,0.0,0.0,1.4622184E-4,0.0,0.0016955109,0.0017787986,0.0011,0.6183949,0.0019784428,2.0E-4,0.016826328,0.018394392,0.0094,0.5110253,0.019375999,0.001
7.7,3.0287873E-5,3.2602602E-5,0.0,0.0,3.2602602E-5,0.0,1.297987E-4,1.3971796E-4,0.0,0.0,1.3971796E-4,0.0,0.0015791537,0.0016997401,0.001,0.58832526,0.0018994,2.0E-4,0.01567979,0.017604426,0.0092,0.5225959,0.018586822,0.001
7.8,2.6316151E-5,2.9807332E-5,0.0,0.0,2.9807332E-5,0.0,1.1277862E-4,1.2773946E-4,0.0,0.0,1.2773946E-4,0.0,0.0013722149,0.0015541194,8.0E-4,0.514761,0.0016539639,1.0E-4,0.013637724,0.016142689,0.0086,0.53274894,0.016929774,8.0E-4
7.9,2.0761147E-5,2.3537597E-5,0.0,0.0,2.3537597E-5,0.0,8.897331E-5,1.0087152E-4,0.0,0.0,1.0087152E-4,0.0,0.0010827117,0.0012274197,7.0E-4,0.57030207,0.001327297,1.0E-4,0.010774517,0.012854228,0.007,0.5445679,0.013446515,6.0E-4
8.0,1.5738568E-5,1.611542E-5,0.0,0.0,1.611542E-5,0.0,6.744926E-5,6.906426E-5,0.0,0.0,6.906426E-5,0.0,8.2088535E-4,8.405337E-4,4.0E-4,0.47588813,9.404496E-4,1.0E-4,0.008178596,0.008908407,0.0048,0.53881687,0.009304844,4.0E-4
8.1,1.0105832E-5,8.36753E-6,0.0,0.0,8.36753E-6,0.0,4.3309992E-5,3.5860354E-5,0.0,0.0,3.5860354E-5,0.0,5.2717153E-4,4.3651284E-4,4.0E-4,0.91635334,5.364692E-4,1.0E-4,0.005259227,0.0046969033,0.0025,0.53226554,0.0050950246,4.0E-4
8.2,4.189207E-6,1.583189E-6,0.0,0.0,1.583189E-6,0.0,1.7953622E-5,6.7850783E-6,0.0,0.0,6.7850783E-6,0.0,2.1856341E-4,8.260522E-5,0.0,0.0,8.260522E-5,0.0,0.0021834858,9.5930934E-4,4.0E-4,0.41696665,0.0010592134,1.0E-4
8.3,1.2758221E-6,3.6262597E-7,0.0,0.0,3.6262597E-7,0.0,5.4677976E-6,1.5541103E-6,0.0,0.0,1.5541103E-6,0.0,6.65684E-5,1.8921133E-5,0.0,0.0,1.8921133E-5,0.0,6.6548464E-4,2.2818957E-4,1.0E-4,0.4382321,2.2818957E-4,0.0
