Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.5103672E-5,5.456906E-5,0.007389132,135.40881,0.0073349634,1.9328714E-4,2.3384714E-4,0.009795338,41.887783,0.009563727,0.002350731,0.0028435462,0.015614208,5.491104,0.012807079,0.023260195,0.028092625,0.043724485,1.5564401,0.016083695
6.1,4.5103672E-5,5.456906E-5,0.007389132,135.40881,0.0073349634,1.9328714E-4,2.3384714E-4,0.009795338,41.887783,0.009563727,0.002350731,0.0028435462,0.015614208,5.491104,0.012807079,0.023260195,0.028092625,0.043724485,1.5564401,0.016083695
6.2,3.9363465E-5,4.706271E-5,0.007365049,156.49437,0.007318331,1.6868966E-4,2.016826E-4,0.009730223,48.245228,0.009530462,0.002051862,0.0024528534,0.015178743,6.1881986,0.012757181,0.020330196,0.024274187,0.03988632,1.6431577,0.016000532
6.3,3.9363465E-5,4.706271E-5,0.007365049,156.49437,0.007318331,1.6868966E-4,2.016826E-4,0.009730223,48.245228,0.009530462,0.002051862,0.0024528534,0.015178743,6.1881986,0.012757181,0.020330196,0.024274187,0.03988632,1.6431577,0.016000532
6.4,3.2311684E-5,3.795112E-5,0.0073061083,192.51366,0.007268433,1.384713E-4,1.6263791E-4,0.009608401,59.078484,0.0094473,0.0016845843,0.001978387,0.014610731,7.385174,0.012657385,0.016718714,0.019617118,0.03515701,1.7921597,0.015850838
6.5,3.2311684E-5,3.795112E-5,0.0073061083,192.51366,0.007268433,1.384713E-4,1.6263791E-4,0.009608401,59.078484,0.0094473,0.0016845843,0.001978387,0.014610731,7.385174,0.012657385,0.016718714,0.019617118,0.03515701,1.7921597,0.015850838
6.6,2.9305844E-5,3.418196E-5,0.0072857346,213.14558,0.0072518005,1.2559042E-4,1.4648624E-4,0.009575772,65.36977,0.009430667,0.0015279909,0.0017820727,0.014400299,8.0806465,0.012640753,0.015175272,0.017686324,0.033224143,1.8785217,0.015817573
6.7,2.7826512E-5,3.2344353E-5,0.007250646,224.17038,0.0072185355,1.19251024E-4,1.3861163E-4,0.00951808,68.66726,0.009380769,0.0014509142,0.0016863506,0.014239369,8.443896,0.012574223,0.014414776,0.016743818,0.03223113,1.9249569,0.015751043
6.8,2.3389874E-5,2.6866792E-5,0.0071953116,267.81433,0.0071686376,1.0023846E-4,1.1513857E-4,0.009444936,82.03103,0.0093308715,0.00121972,0.001400958,0.013891128,9.915449,0.012507693,0.01213047,0.013928067,0.029361324,2.108069,0.015651248
6.9,2.069209E-5,2.357011E-5,0.0071754064,304.42822,0.007152005,8.867737E-5,1.0101105E-4,0.00941431,93.20079,0.009314239,0.0010791123,0.0012291519,0.013671634,11.12282,0.0124577945,0.010738871,0.012229158,0.027623286,2.2588055,0.015584718
7.0,1.7462342E-5,1.9633622E-5,0.007171498,365.26617,0.007152005,7.483646E-5,8.414151E-5,0.0093809655,111.49034,0.009297607,9.1075303E-4,0.0010239641,0.013419156,13.105104,0.012407897,0.009070295,0.010196688,0.02555664,2.506367,0.015518188
7.1,1.4807709E-5,1.6441827E-5,0.007151697,434.96973,0.0071353726,6.3460066E-5,7.046316E-5,0.009350783,132.70457,0.009280974,7.723524E-4,8.575678E-4,0.0132049695,15.398164,0.012358,0.007696735,0.008546168,0.023865772,2.79257,0.015451658
7.2,1.4180048E-5,1.5698413E-5,0.0071343267,454.46164,0.00711874,6.077022E-5,6.727727E-5,0.009330995,138.69463,0.009264342,7.396263E-4,8.1880915E-4,0.013133452,16.039698,0.012324735,0.0073716943,0.008161469,0.023437528,2.871729,0.01540176
7.3,1.3730402E-5,1.5172151E-5,0.0071338043,470.1907,0.00711874,5.8843252E-5,6.502197E-5,0.009328761,143.4709,0.009264342,7.161811E-4,7.9137104E-4,0.013106352,16.561575,0.012324735,0.007138774,0.007889058,0.023152811,2.9348004,0.015385127
7.4,1.2810095E-5,1.4109353E-5,0.0070828516,501.99692,0.007068842,5.489925E-5,6.0467344E-5,0.009274354,153.3779,0.009214444,6.681934E-4,7.3595706E-4,0.012968519,17.621298,0.012241571,0.006661878,0.0073386896,0.022528358,3.0698066,0.015301964
7.5,1.1595659E-5,1.2800734E-5,0.006998391,546.71796,0.0069856793,4.9694736E-5,5.485922E-5,0.009169008,167.13702,0.009114648,6.0486543E-4,6.67722E-4,0.012751526,19.09706,0.012091878,0.006032217,0.006660632,0.021563284,3.237423,0.0150025785
7.6,2.997694E-6,3.3251877E-6,0.0032965632,991.3916,0.0032932488,1.28471975E-5,1.4250767E-5,0.0041557015,291.6125,0.00414151,1.564034E-4,1.7349655E-4,0.0055947737,32.247173,0.005422218,0.0015629337,0.0017356955,0.008377176,4.826409,0.006653028
