Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.6200685E-5,2.563574E-5,2.563574E-5,1.0,0.0,3.6937918E-4,1.0986284E-4,1.0986284E-4,1.0,0.0,0.0044879215,0.001336761,0.0013566547,1.014882,1.9920319E-5,0.043983612,0.015004163,0.015023784,1.0013077,1.9920319E-5
6.1,8.6200685E-5,2.563574E-5,2.563574E-5,1.0,0.0,3.6937918E-4,1.0986284E-4,1.0986284E-4,1.0,0.0,0.0044879215,0.001336761,0.0013566547,1.014882,1.9920319E-5,0.043983612,0.015004163,0.015023784,1.0013077,1.9920319E-5
6.2,8.6200685E-5,2.563574E-5,2.563574E-5,1.0,0.0,3.6937918E-4,1.0986284E-4,1.0986284E-4,1.0,0.0,0.0044879215,0.001336761,0.0013566547,1.014882,1.9920319E-5,0.043983612,0.015004163,0.015023784,1.0013077,1.9920319E-5
6.3,8.551163E-5,2.5324754E-5,2.5324754E-5,1.0,0.0,3.6642692E-4,1.08530156E-4,1.08530156E-4,1.0,0.0,0.004452125,0.0013205555,0.0013404494,1.0150648,1.9920319E-5,0.043639794,0.014830032,0.014849658,1.0013233,1.9920319E-5
6.4,8.551163E-5,2.5324754E-5,2.5324754E-5,1.0,0.0,3.6642692E-4,1.08530156E-4,1.08530156E-4,1.0,0.0,0.004452125,0.0013205555,0.0013404494,1.0150648,1.9920319E-5,0.043639794,0.014830032,0.014849658,1.0013233,1.9920319E-5
6.5,8.511146E-5,2.5144469E-5,2.5144469E-5,1.0,0.0,3.647124E-4,1.07757565E-4,1.07757565E-4,1.0,0.0,0.004431336,0.0013111605,0.0013310547,1.015173,1.9920319E-5,0.04344007,0.01472923,0.014748856,1.0013325,1.9920319E-5
6.6,8.4985084E-5,2.50745E-5,2.50745E-5,1.0,0.0,3.6417096E-4,1.0745773E-4,1.0745773E-4,1.0,0.0,0.0044247704,0.0013075143,0.0013274086,1.0152154,1.9920319E-5,0.043376986,0.014691355,0.014710982,1.001336,1.9920319E-5
6.7,8.462618E-5,2.4901643E-5,2.4901643E-5,1.0,0.0,3.6263323E-4,1.06716965E-4,1.06716965E-4,1.0,0.0,0.004406125,0.0012985064,0.0013184008,1.015321,1.9920319E-5,0.043197807,0.014595034,0.014614663,1.0013449,1.9920319E-5
6.8,8.42337E-5,2.4796287E-5,2.4796287E-5,1.0,0.0,3.6095164E-4,1.06265485E-4,1.06265485E-4,1.0,0.0,0.004385734,0.001293016,0.0013129106,1.0153862,1.9920319E-5,0.043001823,0.014535241,0.014554872,1.0013505,1.9920319E-5
6.9,8.365989E-5,2.4599462E-5,2.4599462E-5,1.0,0.0,3.5849313E-4,1.0542201E-4,1.0542201E-4,1.0,0.0,0.004355922,0.001282759,0.0013026537,1.0155094,1.9920319E-5,0.04271523,0.014426792,0.014446424,1.0013609,1.9920319E-5
