Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2336002E-4,3.0005194E-4,6.459449E-4,2.1527772,3.459968E-4,5.2857865E-4,0.0012853292,0.0016308812,1.2688433,3.459968E-4,0.006416472,0.015541554,0.01615467,1.03945,6.2279426E-4,0.06234337,0.14294699,0.1437773,1.0058085,9.687911E-4
6.1,1.2336002E-4,3.0005194E-4,6.459449E-4,2.1527772,3.459968E-4,5.2857865E-4,0.0012853292,0.0016308812,1.2688433,3.459968E-4,0.006416472,0.015541554,0.01615467,1.03945,6.2279426E-4,0.06234337,0.14294699,0.1437773,1.0058085,9.687911E-4
6.2,1.2336002E-4,3.0005194E-4,6.459449E-4,2.1527772,3.459968E-4,5.2857865E-4,0.0012853292,0.0016308812,1.2688433,3.459968E-4,0.006416472,0.015541554,0.01615467,1.03945,6.2279426E-4,0.06234337,0.14294699,0.1437773,1.0058085,9.687911E-4
6.3,1.1712257E-4,2.8793467E-4,6.3383183E-4,2.2013044,3.459968E-4,5.018573E-4,0.0012334478,0.0015790178,1.2801659,3.459968E-4,0.006093008,0.014918666,0.015532169,1.0411232,6.2279426E-4,0.059286322,0.13765779,0.13849321,1.006069,9.687911E-4
6.4,1.1712257E-4,2.8793467E-4,6.3383183E-4,2.2013044,3.459968E-4,5.018573E-4,0.0012334478,0.0015790178,1.2801659,3.459968E-4,0.006093008,0.014918666,0.015532169,1.0411232,6.2279426E-4,0.059286322,0.13765779,0.13849321,1.006069,9.687911E-4
6.5,1.0689076E-4,2.6806415E-4,6.1396824E-4,2.2903779,3.459968E-4,4.5802278E-4,0.0011483653,0.0014939648,1.3009491,3.459968E-4,0.0055621783,0.013896335,0.014510475,1.0441943,6.2279426E-4,0.05425003,0.1288989,0.12974282,1.0065471,9.687911E-4
6.6,9.7648895E-5,2.505129E-4,5.6183204E-4,2.2427268,3.1139713E-4,4.1842813E-4,0.0010732086,0.0013842715,1.2898439,3.1139713E-4,0.005082469,0.012992399,0.013572951,1.044684,5.881946E-4,0.049677886,0.121077746,0.12189883,1.0067815,9.341914E-4
6.7,8.757013E-5,2.3122175E-4,5.079552E-4,2.1968315,2.7679745E-4,3.7524657E-4,9.905964E-4,0.0012671195,1.2791482,2.7679745E-4,0.00455906,0.011997902,0.012544855,1.0455874,5.535949E-4,0.04466656,0.112373024,0.113171525,1.0071058,8.995917E-4
6.8,8.562978E-5,2.2682057E-4,5.0355523E-4,2.2200599,2.7679745E-4,3.6693315E-4,9.7174826E-4,0.0012482767,1.2845681,2.7679745E-4,0.004458263,0.011770921,0.012318,1.0464771,5.535949E-4,0.043698758,0.11037863,0.11117893,1.0072504,8.995917E-4
6.9,6.124075E-5,1.7066885E-4,3.7823152E-4,2.216172,2.0759809E-4,2.6243398E-4,7.312337E-4,9.3868E-4,1.2836936,2.0759809E-4,0.0031904527,0.008866636,0.009346737,1.0541469,4.8439554E-4,0.031450346,0.08420262,0.0849314,1.0086552,7.957927E-4
7.0,5.8598747E-5,1.6495936E-4,3.725232E-4,2.2582726,2.0759809E-4,2.5111332E-4,7.067779E-4,9.1422925E-4,1.293517,2.0759809E-4,0.0030530186,0.008571265,0.009051509,1.0560294,4.8439554E-4,0.03011414,0.08151562,0.082246535,1.0089667,7.957927E-4
7.1,5.613814E-5,1.5914452E-4,3.6670957E-4,2.3042552,2.0759809E-4,2.4056983E-4,6.818704E-4,8.893269E-4,1.3042463,2.0759809E-4,0.0029250039,0.008270353,0.008750742,1.0580857,4.8439554E-4,0.028868021,0.07881268,0.07954576,1.0093014,7.957927E-4
7.2,4.991222E-5,1.4520933E-4,3.5277728E-4,2.4294395,2.0759809E-4,2.1389198E-4,6.221777E-4,8.296466E-4,1.333456,2.0759809E-4,0.002601025,0.0075488063,0.008029545,1.0636841,4.8439554E-4,0.025707912,0.07226191,0.07300019,1.0102168,7.957927E-4
7.3,4.7410045E-5,1.371513E-4,3.4472093E-4,2.5134351,2.0759809E-4,2.0317009E-4,5.8765925E-4,7.9513533E-4,1.3530551,2.0759809E-4,0.0024707897,0.0071313656,0.0076123066,1.0674403,4.8439554E-4,0.024434982,0.068541944,0.06928319,1.0108145,7.957927E-4
7.4,4.5556746E-5,1.3123035E-4,3.3880118E-4,2.581729,2.0759809E-4,1.952286E-4,5.6229485E-4,7.6977623E-4,1.3689903,2.0759809E-4,0.002374317,0.0068245293,0.0073056193,1.0704942,4.8439554E-4,0.023491086,0.06579143,0.06653486,1.0112998,7.957927E-4
7.5,4.3084514E-5,1.2358342E-4,3.3115587E-4,2.6796138,2.0759809E-4,1.8463485E-4,5.2953605E-4,7.370242E-4,1.3918301,2.0759809E-4,0.0022456115,0.0064281146,0.0069093965,1.0748714,4.8439554E-4,0.022230545,0.062190283,0.06293659,1.0120003,7.957927E-4
7.6,3.408608E-5,9.836477E-5,3.0594243E-4,3.1102848,2.0759809E-4,1.4607502E-4,4.214953E-4,6.290059E-4,1.4923201,2.0759809E-4,0.0017770125,0.005119656,0.0056015714,1.0941305,4.8439554E-4,0.017628696,0.05002244,0.050778423,1.0151129,7.957927E-4
7.7,2.8315713E-5,8.2495724E-5,2.5547986E-4,3.0968862,1.729984E-4,1.2134742E-4,3.5350522E-4,5.264425E-4,1.489207,1.729984E-4,0.0014764034,0.004295442,0.0047433055,1.1042649,4.4979586E-4,0.01466633,0.042272415,0.043001432,1.0172457,7.61193E-4
7.8,2.6222975E-5,7.463898E-5,2.4762447E-4,3.3176296,1.729984E-4,1.1237934E-4,3.1984213E-4,4.9278524E-4,1.5407139,1.729984E-4,0.0013673597,0.003887131,0.0043351785,1.1152643,4.4979586E-4,0.013589768,0.038437475,0.03916941,1.0190423,7.61193E-4
7.9,2.1469694E-5,5.7884805E-5,2.308732E-4,3.9884942,1.729984E-4,9.200973E-5,2.4805416E-4,4.2100967E-4,1.6972489,1.729984E-4,0.0011196428,0.00301588,0.003429824,1.1372548,4.1519618E-4,0.011140184,0.030153265,0.030790837,1.0211444,6.5739395E-4
8.0,1.2420249E-5,3.1321662E-5,1.0051886E-4,3.209244,6.919936E-5,5.322855E-5,1.342288E-4,2.0341888E-4,1.5154637,6.919936E-5,6.478649E-4,0.0016330116,0.0017711843,1.0846123,1.3839873E-4,0.0064597935,0.01652369,0.01672786,1.012356,2.0759809E-4
8.1,4.9197724E-6,7.822525E-6,7.822525E-6,1.0,0.0,2.1084568E-5,3.3524673E-5,3.3524673E-5,1.0,0.0,2.566744E-4,4.080866E-4,4.080866E-4,1.0,0.0,0.002563781,0.004384557,0.004384557,1.0,0.0
8.2,2.5634774E-6,2.9065757E-6,2.9065757E-6,1.0,0.0,1.0986286E-5,1.2456694E-5,1.2456694E-5,1.0,0.0,1.3374983E-4,1.5164974E-4,1.5164974E-4,1.0,0.0,0.0013366934,0.001704941,0.001704941,1.0,0.0
8.3,5.2850464E-7,3.2080476E-7,3.2080476E-7,1.0,0.0,2.2650179E-6,1.3748769E-6,1.3748769E-6,1.0,0.0,2.7576245E-5,1.673901E-5,1.673901E-5,1.0,0.0,2.7572823E-4,1.986671E-4,1.986671E-4,1.0,0.0
