Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7374346E-5,2.41444E-5,6.658039E-5,2.7575915,4.2437016E-5,1.1731335E-4,1.034719E-4,1.4590453E-4,1.4100884,4.2437016E-5,0.0014273542,0.001259045,0.0013155565,1.0448843,5.658269E-5,0.01418221,0.012928195,0.012984046,1.0043201,5.658269E-5
6.1,2.7374346E-5,2.41444E-5,6.658039E-5,2.7575915,4.2437016E-5,1.1731335E-4,1.034719E-4,1.4590453E-4,1.4100884,4.2437016E-5,0.0014273542,0.001259045,0.0013155565,1.0448843,5.658269E-5,0.01418221,0.012928195,0.012984046,1.0043201,5.658269E-5
6.2,2.7374346E-5,2.41444E-5,6.658039E-5,2.7575915,4.2437016E-5,1.1731335E-4,1.034719E-4,1.4590453E-4,1.4100884,4.2437016E-5,0.0014273542,0.001259045,0.0013155565,1.0448843,5.658269E-5,0.01418221,0.012928195,0.012984046,1.0043201,5.658269E-5
6.3,2.7374346E-5,2.41444E-5,6.658039E-5,2.7575915,4.2437016E-5,1.1731335E-4,1.034719E-4,1.4590453E-4,1.4100884,4.2437016E-5,0.0014273542,0.001259045,0.0013155565,1.0448843,5.658269E-5,0.01418221,0.012928195,0.012984046,1.0043201,5.658269E-5
6.4,2.7374346E-5,2.41444E-5,6.658039E-5,2.7575915,4.2437016E-5,1.1731335E-4,1.034719E-4,1.4590453E-4,1.4100884,4.2437016E-5,0.0014273542,0.001259045,0.0013155565,1.0448843,5.658269E-5,0.01418221,0.012928195,0.012984046,1.0043201,5.658269E-5
6.5,2.7282445E-5,2.4030476E-5,6.646648E-5,2.765924,4.2437016E-5,1.16919524E-4,1.0298371E-4,1.4541636E-4,1.4120326,4.2437016E-5,0.0014225657,0.001253108,0.0013096199,1.0450974,5.658269E-5,0.014134934,0.012869522,0.012925377,1.00434,5.658269E-5
6.6,2.7282445E-5,2.4030476E-5,6.646648E-5,2.765924,4.2437016E-5,1.16919524E-4,1.0298371E-4,1.4541636E-4,1.4120326,4.2437016E-5,0.0014225657,0.001253108,0.0013096199,1.0450974,5.658269E-5,0.014134934,0.012869522,0.012925377,1.00434,5.658269E-5
6.7,2.7216198E-5,2.3955597E-5,6.63916E-5,2.771444,4.2437016E-5,1.1663563E-4,1.02662816E-4,1.4509547E-4,1.4133207,4.2437016E-5,0.0014191137,0.0012492058,0.0013057177,1.0452384,5.658269E-5,0.014100855,0.012830934,0.012886791,1.0043533,5.658269E-5
6.8,2.7078617E-5,2.3872815E-5,6.630882E-5,2.777587,4.2437016E-5,1.1604605E-4,1.0230807E-4,1.4474074E-4,1.4147539,4.2437016E-5,0.001411945,0.0012448917,0.0013014039,1.0453954,5.658269E-5,0.014030075,0.0127880825,0.012843941,1.0043681,5.658269E-5
6.9,2.6982952E-5,2.3792329E-5,6.6228335E-5,2.7836003,4.2437016E-5,1.15636096E-4,1.0196315E-4,1.4439585E-4,1.4161571,4.2437016E-5,0.0014069602,0.0012406971,0.0012972096,1.045549,5.658269E-5,0.013980856,0.012746378,0.0128022395,1.0043825,5.658269E-5
7.0,2.6449972E-5,2.3369357E-5,6.580538E-5,2.8158834,4.2437016E-5,1.1335209E-4,1.0015055E-4,1.4258332E-4,1.4236897,4.2437016E-5,0.001379188,0.0012186535,0.0012751672,1.046374,5.658269E-5,0.0137065975,0.012527733,0.012583607,1.00446,5.658269E-5
7.1,2.6257849E-5,2.3195396E-5,6.563143E-5,2.8295023,4.2437016E-5,1.1252879E-4,9.940507E-5,1.4183787E-4,1.4268676,4.2437016E-5,0.0013691769,0.0012095873,0.0012661016,1.0467219,5.658269E-5,0.013607717,0.012437661,0.01249354,1.0044928,5.658269E-5
7.2,2.5270041E-5,2.2390155E-5,6.482622E-5,2.8953001,4.2437016E-5,1.0829568E-4,9.5954296E-5,1.3838723E-4,1.4422203,4.2437016E-5,0.0013177024,0.0011676198,0.0012241364,1.0484033,5.658269E-5,0.013099162,0.0120187905,0.012074693,1.0046513,5.658269E-5
7.3,2.339701E-5,2.1122027E-5,6.3558145E-5,3.0090933,4.2437016E-5,1.0026905E-4,9.051985E-5,1.3295302E-4,1.468772,4.2437016E-5,0.001220092,0.001101524,0.0011580443,1.051311,5.658269E-5,0.012134149,0.011357642,0.011413582,1.0049254,5.658269E-5
7.4,2.296333E-5,2.0852396E-5,6.328853E-5,3.0350723,4.2437016E-5,9.841056E-5,8.936436E-5,1.3179758E-4,1.4748338,4.2437016E-5,0.0011974899,0.0010874701,0.0011439912,1.0519749,5.658269E-5,0.011910575,0.011216754,0.011272701,1.004988,5.658269E-5
7.5,2.2188895E-5,2.037534E-5,6.2811494E-5,3.082721,4.2437016E-5,9.50918E-5,8.731998E-5,1.2975329E-4,1.4859519,4.2437016E-5,0.0011571277,0.0010626042,0.0011191269,1.0531925,5.658269E-5,0.011511209,0.010966369,0.011022331,1.0051031,5.658269E-5
7.6,2.0013189E-5,1.8961666E-5,6.139788E-5,3.2380002,4.2437016E-5,8.5767984E-5,8.126176E-5,1.2369532E-4,1.5221838,4.2437016E-5,0.001043725,9.889146E-4,0.0010454414,1.0571604,5.658269E-5,0.010388365,0.010224371,0.010280375,1.0054775,5.658269E-5
7.7,1.7230794E-5,1.6743043E-5,5.9179347E-5,3.5345635,4.2437016E-5,7.384417E-5,7.175393E-5,1.141879E-4,1.5913819,4.2437016E-5,8.986819E-4,8.732547E-4,9.2978805E-4,1.0647386,5.658269E-5,0.008950562,0.00906292,0.00911899,1.0061867,5.658269E-5
7.8,1.4478809E-5,1.499039E-5,5.742677E-5,3.8309057,4.2437016E-5,6.205057E-5,6.424295E-5,1.0667724E-4,1.6605284,4.2437016E-5,7.552038E-4,7.8187784E-4,8.384163E-4,1.072311,5.658269E-5,0.0075264242,0.008141388,0.008197511,1.0068934,5.658269E-5
7.9,1.1114467E-5,1.1644517E-5,5.408104E-5,4.6443353,4.2437016E-5,4.7632562E-5,4.990412E-5,9.233902E-5,1.8503286,4.2437016E-5,5.797721E-4,6.074139E-4,6.6396216E-4,1.0930969,5.658269E-5,0.0057826187,0.0063803545,0.006436576,1.0088117,5.658269E-5
8.0,9.327402E-6,9.8986575E-6,5.2335254E-5,5.287106,4.2437016E-5,3.9973966E-5,4.2422133E-5,8.485735E-5,2.0003085,4.2437016E-5,4.8657437E-4,5.163676E-4,5.7292107E-4,1.1095217,5.658269E-5,0.0048551033,0.00544994,0.0055062147,1.0103257,5.658269E-5
8.1,7.0235833E-6,6.826985E-6,3.5118137E-5,5.144018,2.8291344E-5,3.0100724E-5,2.9258183E-5,5.75487E-5,1.9669267,2.8291344E-5,3.664147E-4,3.5616063E-4,3.9858255E-4,1.1191089,4.2437016E-5,0.003658111,0.0037874572,0.0038297335,1.0111622,4.2437016E-5
8.2,2.0358202E-6,8.9912584E-7,8.9912584E-7,1.0,0.0,8.724915E-6,3.853391E-6,3.853391E-6,1.0,0.0,1.06220665E-4,4.6914047E-5,4.6914047E-5,1.0,0.0,0.001061699,5.3239096E-4,5.3239096E-4,1.0,0.0
8.3,2.0051264E-7,6.61379E-8,6.61379E-8,1.0,0.0,8.5933965E-7,2.8344812E-7,2.8344812E-7,1.0,0.0,1.046241E-5,3.450976E-6,3.450976E-6,1.0,0.0,1.0461917E-4,4.0120205E-5,4.0120205E-5,1.0,0.0
