Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.15488665E-5,1.1079612E-5,0.001489697,134.4539,0.0014786337,4.9494203E-5,4.7483256E-5,0.0021667576,45.632034,0.002119375,6.024253E-4,5.779681E-4,0.003779823,6.5398474,0.0032037064,0.006007948,0.005765918,0.010029231,1.7393988,0.004288038
6.1,1.15488665E-5,1.1079612E-5,0.001489697,134.4539,0.0014786337,4.9494203E-5,4.7483256E-5,0.0021667576,45.632034,0.002119375,6.024253E-4,5.779681E-4,0.003779823,6.5398474,0.0032037064,0.006007948,0.005765918,0.010029231,1.7393988,0.004288038
6.2,1.15488665E-5,1.1079612E-5,0.001489697,134.4539,0.0014786337,4.9494203E-5,4.7483256E-5,0.0021667576,45.632034,0.002119375,6.024253E-4,5.779681E-4,0.003779823,6.5398474,0.0032037064,0.006007948,0.005765918,0.010029231,1.7393988,0.004288038
6.3,1.15488665E-5,1.1079612E-5,0.001489697,134.4539,0.0014786337,4.9494203E-5,4.7483256E-5,0.0021667576,45.632034,0.002119375,6.024253E-4,5.779681E-4,0.003779823,6.5398474,0.0032037064,0.006007948,0.005765918,0.010029231,1.7393988,0.004288038
6.4,1.15488665E-5,1.1079612E-5,0.001489697,134.4539,0.0014786337,4.9494203E-5,4.7483256E-5,0.0021667576,45.632034,0.002119375,6.024253E-4,5.779681E-4,0.003779823,6.5398474,0.0032037064,0.006007948,0.005765918,0.010029231,1.7393988,0.004288038
6.5,1.15488665E-5,1.1079612E-5,0.001489697,134.4539,0.0014786337,4.9494203E-5,4.7483256E-5,0.0021667576,45.632034,0.002119375,6.024253E-4,5.779681E-4,0.003779823,6.5398474,0.0032037064,0.006007948,0.005765918,0.010029231,1.7393988,0.004288038
6.6,7.587044E-6,6.9356042E-6,7.955348E-4,114.703026,7.8860467E-4,3.2515498E-5,2.9723697E-5,0.0011633092,39.137436,0.0011336192,3.9580427E-4,3.6182883E-4,0.0019877374,5.493585,0.0016264971,0.003951,0.0036126887,0.0057244073,1.5845282,0.002119375
6.7,7.587044E-6,6.9356042E-6,7.955348E-4,114.703026,7.8860467E-4,3.2515498E-5,2.9723697E-5,0.0011633092,39.137436,0.0011336192,3.9580427E-4,3.6182883E-4,0.0019877374,5.493585,0.0016264971,0.003951,0.0036126887,0.0057244073,1.5845282,0.002119375
6.8,5.9026956E-6,5.179362E-6,7.9377997E-4,153.25826,7.8860467E-4,2.5297022E-5,2.2197082E-5,0.0011065045,49.84909,0.0010843314,3.0794772E-4,2.7021713E-4,0.0016006279,5.9234877,0.0013307703,0.0030752132,0.002699002,0.004173645,1.546366,0.0014786337
6.9,5.0118915E-6,4.2523943E-6,6.942785E-4,163.26767,6.9002906E-4,2.1479358E-5,1.8224424E-5,0.0010039622,55.088833,9.857558E-4,2.614798E-4,2.2186051E-4,0.0014045051,6.3305774,0.001182907,0.0026117235,0.0022164627,0.0034459264,1.5546963,0.0012321948
7.0,4.4924795E-6,3.7138868E-6,6.937404E-4,186.79633,6.9002906E-4,1.925334E-5,1.5916565E-5,0.0010016568,62.931717,9.857558E-4,2.3438422E-4,1.9376757E-4,0.0012778889,6.5949574,0.0010843314,0.0023413717,0.0019360491,0.0030674736,1.5843986,0.0011336192
7.1,3.9118436E-6,3.1119469E-6,4.467007E-4,143.5438,4.4359014E-4,1.6764936E-5,1.333685E-5,6.540696E-4,49.042282,6.407413E-4,2.0409399E-4,1.6236462E-4,8.522817E-4,5.249183,6.9002906E-4,0.0020390663,0.0016225161,0.0023606333,1.4549215,7.3931686E-4
7.2,3.4200818E-6,2.6054236E-6,3.4761906E-4,133.42133,3.4501453E-4,1.4657411E-5,1.11660565E-5,5.533257E-4,49.554264,5.421657E-4,1.7843937E-4,1.3593875E-4,7.273119E-4,5.3502903,5.914535E-4,0.0017829615,0.0013586058,0.0019984765,1.470976,6.407413E-4
7.3,2.6593618E-6,1.8283897E-6,1.9897919E-4,108.82756,1.9715117E-4,1.13972155E-5,7.8359335E-6,3.5284777E-4,45.029446,3.4501453E-4,1.3875226E-4,9.539862E-5,4.4038024E-4,4.6162124,3.4501453E-4,0.0013866565,9.536055E-4,0.0013475318,1.4130915,3.9430233E-4
7.4,2.2577992E-6,1.4364078E-6,1.4929957E-4,103.939545,1.4786338E-4,9.676246E-6,6.1560204E-6,2.0330597E-4,33.02555,1.9715117E-4,1.1780193E-4,7.4947224E-5,2.7208362E-4,3.630336,1.9715117E-4,0.001177395,7.4924453E-4,9.954988E-4,1.3286701,2.4643895E-4
7.5,1.489319E-6,7.353661E-7,5.002312E-5,68.02479,4.928779E-5,6.3827797E-6,3.1515651E-6,1.0172684E-4,32.278194,9.857558E-5,7.770758E-5,3.8369635E-5,1.3694144E-4,3.5690055,9.857558E-5,7.7680405E-4,3.8363054E-4,4.8216828E-4,1.2568558,9.857558E-5
7.6,1.0680322E-6,4.65941E-7,4.65941E-7,1.0,0.0,4.577273E-6,1.9968884E-6,1.9968884E-6,1.0,0.0,5.5726876E-5,2.4311848E-5,2.4311848E-5,1.0,0.0,5.5712904E-4,2.4309216E-4,2.4309216E-4,1.0,0.0
