Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
5.0,0.149,0.0,1.0,0.0,0.0,0.112,0.008,0.099
5.1,0.125,0.0,1.0,0.0,0.0,0.097,0.008,0.084
5.2,0.099,0.0,1.0,0.0,0.0,0.077,0.008,0.067
5.3,0.082,0.0,1.0,0.0,0.0,0.063,0.008,0.053
5.4,0.064,0.0,1.0,0.0,0.0,0.05,0.008,0.041
5.5,0.05,0.0,1.0,0.0,0.0,0.039,0.008,0.031
5.6,0.036,0.0,1.0,0.0,0.0,0.029,0.008,0.024
5.7,0.028,0.0,0.0,0.0,0.0,0.023,0.008,0.018
5.8,0.023,0.0,0.0,0.0,0.0,0.02,0.008,0.016
5.9,0.015,0.0,0.0,0.0,0.0,0.013,0.007,0.01
6.0,0.014,0.0,0.0,0.0,0.0,0.012,0.007,0.009
6.1,0.01,0.0,0.0,0.0,0.0,0.01,0.006,0.007
6.2,0.008,0.0,0.0,0.0,0.0,0.008,0.006,0.005
6.3,0.008,0.0,0.0,0.0,0.0,0.008,0.006,0.005
6.4,0.006,0.0,0.0,0.0,0.0,0.006,0.004,0.004
6.5,0.005,0.0,0.0,0.0,0.0,0.005,0.004,0.003
6.6,0.004,0.0,0.0,0.0,0.0,0.004,0.003,0.002
6.7,0.003,0.0,0.0,0.0,0.0,0.003,0.002,0.002
6.8,0.002,0.0,0.0,0.0,0.0,0.002,0.001,0.001
6.9,0.002,0.0,0.0,0.0,0.0,0.002,0.001,0.001
7.0,0.002,0.0,0.0,0.0,0.0,0.002,0.001,0.001
7.1,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
