Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,500 yr TI Prob,500 yr TD Prob,500 yr ETAS Prob,500 yr ETAS/TD Gain,500 yr ETAS Triggered+TD,500 yr ETAS Triggered Only
6.0,5.0283932E-5,4.1791776E-5,0.0,0.0,4.1791776E-5,0.0,2.1548476E-4,1.7909544E-4,0.0,0.0,1.7909544E-4,0.0,0.0026203706,0.0021783232,0.002,0.9181374,0.0021783232,0.0,0.7306934,0.72855616,0.711,0.97590286,0.74701434,0.068
6.1,5.0283932E-5,4.1791776E-5,0.0,0.0,4.1791776E-5,0.0,2.1548476E-4,1.7909544E-4,0.0,0.0,1.7909544E-4,0.0,0.0026203706,0.0021783232,0.002,0.9181374,0.0021783232,0.0,0.7306934,0.72855616,0.711,0.97590286,0.74701434,0.068
6.2,4.2998647E-5,3.330061E-5,0.0,0.0,3.330061E-5,0.0,1.842669E-4,1.4270918E-4,0.0,0.0,1.4270918E-4,0.0,0.0022411412,0.0017361128,0.002,1.1519989,0.0017361128,0.0,0.67431617,0.6715433,0.648,0.96494156,0.6912507,0.06
6.3,4.2998647E-5,3.330061E-5,0.0,0.0,3.330061E-5,0.0,1.842669E-4,1.4270918E-4,0.0,0.0,1.4270918E-4,0.0,0.0022411412,0.0017361128,0.002,1.1519989,0.0017361128,0.0,0.67431617,0.6715433,0.648,0.96494156,0.6912507,0.06
6.4,4.1101295E-5,3.122053E-5,0.0,0.0,3.122053E-5,0.0,1.7613651E-4,1.3379549E-4,0.0,0.0,1.3379549E-4,0.0,0.0021423528,0.0016277566,0.002,1.2286849,0.0016277566,0.0,0.6577882,0.65502596,0.631,0.9633206,0.6746895,0.057
6.5,4.1032585E-5,3.1139407E-5,0.0,0.0,3.1139407E-5,0.0,1.7584208E-4,1.3344784E-4,0.0,0.0,1.3344784E-4,0.0,0.0021387753,0.0016235304,0.002,1.2318833,0.0016235304,0.0,0.65717417,0.6544001,0.631,0.9642419,0.67409927,0.057
6.6,4.011629E-5,3.0179155E-5,0.0,0.0,3.0179155E-5,0.0,1.7191563E-4,1.293329E-4,0.0,0.0,1.293329E-4,0.0,0.0020910634,0.0015735048,0.002,1.271048,0.0015735048,0.0,0.6488797,0.6460792,0.618,0.95653903,0.66519094,0.054
6.7,3.8583938E-5,2.839573E-5,0.0,0.0,2.839573E-5,0.0,1.6534925E-4,1.2169039E-4,0.0,0.0,1.2169039E-4,0.0,0.0020112682,0.0014805876,0.002,1.3508149,0.0014805876,0.0,0.63455766,0.63157725,0.602,0.9531692,0.6514721,0.054
6.8,3.44341E-5,2.346522E-5,0.0,0.0,2.346522E-5,0.0,1.4756636E-4,1.0056141E-4,0.0,0.0,1.0056141E-4,0.0,0.0017951399,0.0012236579,0.001,0.81722194,0.0012236579,0.0,0.59276974,0.5865384,0.546,0.9308854,0.6047307,0.044
6.9,3.221199E-5,2.0828431E-5,0.0,0.0,2.0828431E-5,0.0,1.3804408E-4,8.9261695E-5,0.0,0.0,8.9261695E-5,0.0,0.0016793909,0.0010862274,0.0,0.0,0.0010862274,0.0,0.5684627,0.5603491,0.505,0.9012239,0.5774955,0.039
7.0,2.9186718E-5,1.7246915E-5,0.0,0.0,1.7246915E-5,0.0,1.2507994E-4,7.391328E-5,0.0,0.0,7.391328E-5,0.0,0.0015217843,8.99527E-4,0.0,0.0,8.99527E-4,0.0,0.53302133,0.5220812,0.475,0.90982014,0.5378525,0.033
7.1,2.6840138E-5,1.4424455E-5,0.0,0.0,1.4424455E-5,0.0,1.1502409E-4,6.1817635E-5,0.0,0.0,6.1817635E-5,0.0,0.0013995186,7.5237174E-4,0.0,0.0,7.5237174E-4,0.0,0.50353855,0.4898764,0.445,0.9083924,0.5051801,0.03
7.2,2.453002E-5,1.1786008E-5,0.0,0.0,1.1786008E-5,0.0,1.05124425E-4,5.051049E-5,0.0,0.0,5.051049E-5,0.0,0.0012791384,6.147922E-4,0.0,0.0,6.147922E-4,0.0,0.47269627,0.45608348,0.412,0.9033434,0.47076923,0.027
7.3,2.3330727E-5,1.0691501E-5,0.0,0.0,1.0691501E-5,0.0,9.9985E-5,4.5819917E-5,0.0,0.0,4.5819917E-5,0.0,0.0012166376,5.5771513E-4,0.0,0.0,5.5771513E-4,0.0,0.4559364,0.43742678,0.393,0.89843607,0.45149112,0.025
7.4,2.2136466E-5,9.596096E-6,0.0,0.0,9.596096E-6,0.0,9.486712E-5,4.112548E-5,0.0,0.0,4.112548E-5,0.0,0.0011543952,5.0058786E-4,0.0,0.0,5.0058786E-4,0.0,0.43871754,0.41837415,0.377,0.9011073,0.43233317,0.024
7.5,2.0994974E-5,8.684064E-6,0.0,0.0,8.684064E-6,0.0,8.997535E-5,3.7216887E-5,0.0,0.0,3.7216887E-5,0.0,0.0010948994,4.5302158E-4,0.0,0.0,4.5302158E-4,0.0,0.42175037,0.40065882,0.35,0.8735612,0.41444367,0.023
7.6,1.7091823E-5,6.303548E-6,0.0,0.0,6.303548E-6,0.0,7.3248615E-5,2.7014927E-5,0.0,0.0,2.7014927E-5,0.0,8.9143694E-4,3.2885716E-4,0.0,0.0,3.2885716E-4,0.0,0.35976326,0.34082457,0.285,0.83620733,0.3533489,0.019
7.7,1.2772179E-5,3.6112406E-6,0.0,0.0,3.6112406E-6,0.0,5.473676E-5,1.5476653E-5,0.0,0.0,1.5476653E-5,0.0,6.6621625E-4,1.8841198E-4,0.0,0.0,1.8841198E-4,0.0,0.28338686,0.26445484,0.212,0.8016491,0.2747525,0.014
7.8,7.041923E-6,1.677672E-6,0.0,0.0,1.677672E-6,0.0,3.017932E-5,7.1900026E-6,0.0,0.0,7.1900026E-6,0.0,3.6737128E-4,8.753477E-5,0.0,0.0,8.753477E-5,0.0,0.1678307,0.15107241,0.127,0.84065646,0.15786383,0.008
7.9,2.946768E-6,8.449391E-7,0.0,0.0,8.449391E-7,0.0,1.2628945E-5,3.6211625E-6,0.0,0.0,3.6211625E-6,0.0,1.5374656E-4,4.4086763E-5,0.0,0.0,4.4086763E-5,0.0,0.07399828,0.071480654,0.053,0.7414593,0.07426622,0.003
8.0,1.1433375E-6,4.2800465E-7,0.0,0.0,4.2800465E-7,0.0,4.9000087E-6,1.8343043E-6,0.0,0.0,1.8343043E-6,0.0,5.965597E-5,2.2332426E-5,0.0,0.0,2.2332426E-5,0.0,0.029388385,0.030293034,0.015,0.49516335,0.03126274,0.001
8.1,2.6675295E-7,1.2939684E-7,0.0,0.0,1.2939684E-7,0.0,1.1432264E-6,5.545578E-7,0.0,0.0,5.545578E-7,0.0,1.3918692E-5,6.75172E-6,0.0,0.0,6.75172E-6,0.0,0.006935234,0.0071965675,0.001,0.13895513,0.0071965675,0.0
8.2,1.2704569E-8,6.515655E-9,0.0,0.0,6.515655E-9,0.0,5.444815E-8,2.7924234E-8,0.0,0.0,2.7924234E-8,0.0,6.629061E-7,3.399775E-7,0.0,0.0,3.399775E-7,0.0,3.3139822E-4,3.1314447E-4,0.0,0.0,3.1314447E-4,0.0
