Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob
5.0,82.765,41.0,220.0,70.0,63.0,1.0,0.973
5.1,65.704,32.0,172.0,56.0,45.0,1.0,0.973
5.2,52.054,25.0,135.0,44.0,40.0,1.0,0.973
5.3,41.174,19.0,104.0,35.0,29.0,1.0,0.973
5.4,32.62,14.0,84.0,28.0,26.0,1.0,0.973
5.5,25.782,10.0,66.0,22.0,21.0,1.0,0.973
5.6,20.277,8.0,50.0,17.0,16.0,1.0,0.973
5.7,15.916,5.0,41.0,14.0,12.0,1.0,0.973
5.8,12.444,4.0,34.0,11.0,9.0,1.0,0.973
5.9,9.612,3.0,25.0,8.0,8.0,1.0,0.97
6.0,7.762,2.0,19.0,7.0,7.0,0.999,0.969
6.1,6.111,1.0,15.0,5.0,5.0,0.996,0.958
6.2,4.891,1.0,12.0,4.0,4.0,0.982,0.943
6.3,3.891,0.0,10.0,3.0,3.0,0.958,0.919
6.4,3.013,0.0,8.0,3.0,2.0,0.928,0.877
6.5,2.361,0.0,7.0,2.0,1.0,0.874,0.819
6.6,1.874,0.0,6.0,2.0,1.0,0.816,0.76
6.7,1.44,0.0,5.0,1.0,1.0,0.731,0.686
6.8,1.127,0.0,4.0,1.0,1.0,0.657,0.613
6.9,0.862,0.0,3.0,1.0,0.0,0.558,0.517
7.0,0.671,0.0,3.0,0.0,0.0,0.471,0.436
7.1,0.506,0.0,2.0,0.0,0.0,0.378,0.353
7.2,0.382,0.0,2.0,0.0,0.0,0.31,0.287
7.3,0.293,0.0,2.0,0.0,0.0,0.249,0.236
7.4,0.211,0.0,2.0,0.0,0.0,0.179,0.173
7.5,0.134,0.0,1.0,0.0,0.0,0.117,0.116
7.6,0.092,0.0,1.0,0.0,0.0,0.086,0.086
7.7,0.064,0.0,1.0,0.0,0.0,0.061,0.061
7.8,0.042,0.0,1.0,0.0,0.0,0.041,0.041
7.9,0.022,0.0,0.0,0.0,0.0,0.021,0.021
8.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01
8.1,0.003,0.0,0.0,0.0,0.0,0.003,0.003
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
