Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.5757696,0.61177814,0.517
6.1,0.5757696,0.61177814,0.456
6.2,0.56263626,0.59927607,0.439
6.3,0.55880105,0.59563845,0.434
6.4,0.5455442,0.5829923,0.422
6.5,0.53727937,0.57509905,0.407
6.6,0.51004004,0.5486934,0.367
6.7,0.48742387,0.5264801,0.345
6.8,0.40745693,0.4448369,0.277
6.9,0.34677014,0.38227758,0.235
7.0,0.27360973,0.30393058,0.174
7.1,0.2092021,0.23482226,0.13
7.2,0.14550844,0.16536401,0.087
7.3,0.07819795,0.088162675,0.046
7.4,0.051469978,0.05765066,0.031
7.5,0.04279203,0.048004836,0.027
7.6,0.030658968,0.0345747,0.023
7.7,0.007916393,0.009307768,0.006
