Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered+TD,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered+TD,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered+TD,1 yr ETAS Triggered Only,500 yr TI Prob,500 yr TD Prob,500 yr ETAS Prob,500 yr ETAS/TD Gain,500 yr ETAS Triggered+TD,500 yr ETAS Triggered Only
6.0,2.7496446E-4,4.4164842E-4,0.001,2.2642446,0.0014412068,0.001,0.0011778869,0.0018914394,0.001,0.52869785,0.002889548,0.001,0.0142467655,0.022791289,0.012,0.526517,0.024745706,0.002,0.9992342,0.88364244,1.0,1.1316794,0.9104047,0.23
6.1,2.5356023E-4,4.3030153E-4,0.001,2.3239517,0.0014298712,0.001,0.001086234,0.0018428792,0.001,0.5426292,0.0028410363,0.001,0.013144928,0.022213828,0.011,0.49518707,0.023191614,0.001,0.9986613,0.87079763,1.0,1.1483724,0.89896375,0.218
6.2,2.4820742E-4,4.2242877E-4,0.001,2.3672628,0.0014220064,0.001,0.0010633124,0.0018091858,0.001,0.55273485,0.0028073767,0.001,0.01286919,0.02181188,0.011,0.50431234,0.022790067,0.001,0.9984606,0.8680749,1.0,1.1519743,0.89525145,0.206
6.3,2.3205351E-4,4.094069E-4,0.001,2.4425578,0.0014089975,0.001,9.94136E-4,0.0017534535,0.001,0.57030314,0.0027517,0.001,0.012036599,0.02114148,0.011,0.52030414,0.02212034,0.001,0.9976535,0.85872346,1.0,1.1645193,0.88542473,0.189
6.4,2.0304754E-4,3.5116088E-4,0.0,0.0,3.5116088E-4,0.0,8.6991355E-4,0.0015041186,0.0,0.0,0.0015041186,0.0,0.010539869,0.0181639,0.01,0.55054253,0.0181639,0.0,0.9949979,0.8402105,1.0,1.1901779,0.8676943,0.172
6.5,1.854992E-4,3.2566E-4,0.0,0.0,3.2566E-4,0.0,7.9475436E-4,0.0013949485,0.0,0.0,0.0013949485,0.0,0.009633281,0.016853621,0.01,0.59334433,0.016853621,0.0,0.99209285,0.82775277,1.0,1.2080902,0.8541066,0.153
6.6,1.6586106E-4,3.004306E-4,0.0,0.0,3.004306E-4,0.0,7.106394E-4,0.0012869319,0.0,0.0,0.0012869319,0.0,0.008617763,0.015557696,0.01,0.6427687,0.015557696,0.0,0.9868002,0.81170774,1.0,1.2319705,0.83844525,0.142
6.7,1.4224656E-4,2.7291986E-4,0.0,0.0,2.7291986E-4,0.0,6.094856E-4,0.0011691382,0.0,0.0,0.0011691382,0.0,0.0073952693,0.014141744,0.009,0.6364137,0.014141744,0.0,0.97555614,0.78825,1.0,1.268633,0.81493056,0.126
6.8,1.2317259E-4,2.4946197E-4,0.0,0.0,2.4946197E-4,0.0,5.2777573E-4,0.0010686893,0.0,0.0,0.0010686893,0.0,0.0064067547,0.012934694,0.009,0.6958031,0.012934694,0.0,0.9597917,0.76602983,0.997,1.3015159,0.7936383,0.118
6.9,9.859898E-5,2.292838E-4,0.0,0.0,2.292838E-4,0.0,4.2249862E-4,9.822785E-4,0.0,0.0,9.822785E-4,0.0,0.0051317946,0.011894455,0.009,0.7566551,0.011894455,0.0,0.92365587,0.7261735,0.986,1.3578023,0.7532823,0.099
7.0,7.3191884E-5,1.97491E-4,0.0,0.0,1.97491E-4,0.0,3.136418E-4,8.4611826E-4,0.0,0.0,8.4611826E-4,0.0,0.003811904,0.0102534285,0.007,0.6826985,0.0102534285,0.0,0.85185945,0.66241384,0.96,1.449245,0.6877328,0.075
7.1,7.1760296E-5,1.9474386E-4,0.0,0.0,1.9474386E-4,0.0,3.0750787E-4,8.343524E-4,0.0,0.0,8.343524E-4,0.0,0.003737482,0.010111516,0.007,0.69227993,0.010111516,0.0,0.8462215,0.6578999,0.957,1.4546285,0.68287325,0.073
