Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73196393,62.0,39.64591,39.0,38.0,16.0,169.0,25.0,31.0,47.0,59.0
1.4639279,65.0,46.63824,45.0,44.0,17.0,198.0,30.0,37.0,55.0,70.0
2.1958919,65.0,50.9293,50.0,49.0,19.0,216.0,34.0,41.0,60.0,77.0
2.9278557,65.0,54.105923,53.0,51.0,21.0,227.0,36.0,43.0,63.0,82.0
3.6598196,65.0,56.55507,55.0,54.0,21.0,231.0,38.0,45.0,66.0,86.0
4.3917837,67.0,58.58692,57.0,57.0,22.0,240.0,39.0,47.0,69.0,89.0
5.1237473,72.0,60.33252,59.0,58.0,24.0,243.0,40.0,49.0,71.0,92.0
5.8557115,74.0,61.89509,60.0,59.0,24.0,250.0,42.0,50.0,72.0,95.0
6.5876756,75.0,63.239742,61.0,63.0,25.0,257.0,42.0,51.0,74.0,97.0
7.319639,75.0,64.436,62.0,63.0,25.0,259.0,43.0,52.0,75.0,99.0
8.051603,75.0,65.54074,63.0,63.0,25.0,265.0,44.0,53.0,76.0,102.0
8.783567,75.0,66.596695,64.0,61.0,25.0,267.0,45.0,54.0,78.0,103.0
9.515531,76.0,67.530464,65.0,64.0,25.0,269.0,46.0,55.0,79.0,105.0
10.247495,76.0,68.433556,66.0,64.0,26.0,274.0,46.0,55.0,80.0,106.0
10.979459,78.0,69.25322,67.0,64.0,26.0,278.0,47.0,56.0,81.0,108.0
11.711423,78.0,70.01559,67.0,65.0,27.0,282.0,47.0,56.0,82.0,109.0
12.443387,79.0,70.75377,68.0,65.0,27.0,282.0,48.0,57.0,82.0,110.0
13.175351,79.0,71.45639,69.0,66.0,28.0,287.0,48.0,58.0,83.0,111.0
13.907314,79.0,72.09918,69.0,66.0,28.0,292.0,49.0,58.0,84.0,113.0
14.639278,79.0,72.722595,70.0,67.0,30.0,292.0,49.0,59.0,85.0,114.0
15.371243,79.0,73.31904,71.0,66.0,30.0,297.0,49.0,59.0,85.0,115.0
16.103207,79.0,73.89517,71.0,66.0,30.0,298.0,50.0,60.0,86.0,116.0
16.83517,79.0,74.430016,72.0,66.0,30.0,300.0,50.0,60.0,86.0,117.0
