Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.5975892E-5,5.9477E-5,3.8678976E-4,6.5031824,3.2733224E-4,1.9702465E-4,2.548782E-4,7.331649E-4,2.8765306,4.7840865E-4,0.0023961363,0.003099011,0.0039524576,1.2753932,8.560997E-4,0.02370464,0.030588351,0.031637948,1.0343136,0.0010827143
6.1,4.5975892E-5,5.9477E-5,3.8678976E-4,6.5031824,3.2733224E-4,1.9702465E-4,2.548782E-4,7.331649E-4,2.8765306,4.7840865E-4,0.0023961363,0.003099011,0.0039524576,1.2753932,8.560997E-4,0.02370464,0.030588351,0.031637948,1.0343136,0.0010827143
6.2,4.5975892E-5,5.9477E-5,3.8678976E-4,6.5031824,3.2733224E-4,1.9702465E-4,2.548782E-4,7.331649E-4,2.8765306,4.7840865E-4,0.0023961363,0.003099011,0.0039524576,1.2753932,8.560997E-4,0.02370464,0.030588351,0.031637948,1.0343136,0.0010827143
6.3,4.5975892E-5,5.9477E-5,3.8678976E-4,6.5031824,3.2733224E-4,1.9702465E-4,2.548782E-4,7.331649E-4,2.8765306,4.7840865E-4,0.0023961363,0.003099011,0.0039524576,1.2753932,8.560997E-4,0.02370464,0.030588351,0.031637948,1.0343136,0.0010827143
6.4,4.5975892E-5,5.9477E-5,3.8678976E-4,6.5031824,3.2733224E-4,1.9702465E-4,2.548782E-4,7.331649E-4,2.8765306,4.7840865E-4,0.0023961363,0.003099011,0.0039524576,1.2753932,8.560997E-4,0.02370464,0.030588351,0.031637948,1.0343136,0.0010827143
6.5,4.5975892E-5,5.9477E-5,3.8678976E-4,6.5031824,3.2733224E-4,1.9702465E-4,2.548782E-4,7.331649E-4,2.8765306,4.7840865E-4,0.0023961363,0.003099011,0.0039524576,1.2753932,8.560997E-4,0.02370464,0.030588351,0.031637948,1.0343136,0.0010827143
6.6,4.1757343E-5,5.400243E-5,3.5613895E-4,6.5948687,3.0215282E-4,1.7894777E-4,2.3142013E-4,6.845445E-4,2.9580164,4.5322927E-4,0.002176512,0.0028141933,0.0035674495,1.2676634,7.553821E-4,0.021553177,0.02781613,0.028746331,1.0334411,9.568173E-4
6.7,3.751902E-5,4.847215E-5,3.2543216E-4,6.713797,2.7697344E-4,1.607859E-4,2.0772294E-4,6.356839E-4,3.0602489,4.2804985E-4,0.0019558107,0.0025263957,0.0032045222,1.2684165,6.798439E-4,0.019386867,0.025007667,0.025866909,1.0343591,8.812791E-4
6.8,3.358376E-5,4.333242E-5,2.9511555E-4,6.810502,2.5179403E-4,1.4392247E-4,1.8569885E-4,5.633198E-4,3.0335124,3.7769106E-4,0.0017508477,0.0022588398,0.0028617806,1.266925,6.0430565E-4,0.017371172,0.022389125,0.023176827,1.0351824,8.057409E-4
6.9,2.9934512E-5,3.8558388E-5,2.9034272E-4,7.5299497,2.5179403E-4,1.2828446E-4,1.6524145E-4,5.1769486E-4,3.1329598,3.5251165E-4,0.0015607442,0.002010258,0.0025882202,1.2875065,5.791263E-4,0.0154982805,0.019950643,0.020715632,1.038344,7.805615E-4
