Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.0695174E-5,1.1443446E-5,1.7489368E-4,15.283306,1.634521E-4,4.583565E-5,4.904268E-5,2.1248678E-4,4.3326907,1.634521E-4,5.5790617E-4,5.9697754E-4,9.236866E-4,1.547272,3.269042E-4,0.0055650757,0.005958305,0.006283262,1.0545384,3.269042E-4
6.1,1.0695174E-5,1.1443446E-5,1.7489368E-4,15.283306,1.634521E-4,4.583565E-5,4.904268E-5,2.1248678E-4,4.3326907,1.634521E-4,5.5790617E-4,5.9697754E-4,9.236866E-4,1.547272,3.269042E-4,0.0055650757,0.005958305,0.006283262,1.0545384,3.269042E-4
6.2,1.0695174E-5,1.1443446E-5,1.7489368E-4,15.283306,1.634521E-4,4.583565E-5,4.904268E-5,2.1248678E-4,4.3326907,1.634521E-4,5.5790617E-4,5.9697754E-4,9.236866E-4,1.547272,3.269042E-4,0.0055650757,0.005958305,0.006283262,1.0545384,3.269042E-4
6.3,1.0695174E-5,1.1443446E-5,1.7489368E-4,15.283306,1.634521E-4,4.583565E-5,4.904268E-5,2.1248678E-4,4.3326907,1.634521E-4,5.5790617E-4,5.9697754E-4,9.236866E-4,1.547272,3.269042E-4,0.0055650757,0.005958305,0.006283262,1.0545384,3.269042E-4
6.4,1.0695174E-5,1.1443446E-5,1.7489368E-4,15.283306,1.634521E-4,4.583565E-5,4.904268E-5,2.1248678E-4,4.3326907,1.634521E-4,5.5790617E-4,5.9697754E-4,9.236866E-4,1.547272,3.269042E-4,0.0055650757,0.005958305,0.006283262,1.0545384,3.269042E-4
6.5,1.0695174E-5,1.1443446E-5,1.7489368E-4,15.283306,1.634521E-4,4.583565E-5,4.904268E-5,2.1248678E-4,4.3326907,1.634521E-4,5.5790617E-4,5.9697754E-4,9.236866E-4,1.547272,3.269042E-4,0.0055650757,0.005958305,0.006283262,1.0545384,3.269042E-4
6.6,9.406204E-6,1.0059137E-5,1.735096E-4,17.248955,1.634521E-4,4.0311683E-5,4.3110133E-5,2.065552E-4,4.7913375,1.634521E-4,4.906842E-4,5.247856E-4,8.5151824E-4,1.6226022,3.269042E-4,0.0048960214,0.005239992,0.0055651832,1.0620595,3.269042E-4
6.7,7.8983985E-6,8.44031E-6,8.44031E-6,1.0,0.0,3.384984E-5,3.6172514E-5,3.6172514E-5,1.0,0.0,4.1204385E-4,4.4035696E-4,6.0373713E-4,1.3710175,1.634521E-4,0.004112807,0.0043993196,0.0045620524,1.0369905,1.634521E-4
6.8,6.69903E-6,7.1536347E-6,7.1536347E-6,1.0,0.0,2.8709812E-5,3.0658328E-5,3.0658328E-5,1.0,0.0,3.494859E-4,3.7324644E-4,5.3663756E-4,1.4377567,1.634521E-4,0.003489368,0.00373063,0.0038934723,1.04365,1.634521E-4
6.9,5.603049E-6,5.978078E-6,5.978078E-6,1.0,0.0,2.4012847E-5,2.5620335E-5,2.5620335E-5,1.0,0.0,2.9231719E-4,3.1192758E-4,3.1192758E-4,1.0,0.0,0.0029193296,0.003119276,0.003119276,1.0,0.0
7.0,5.603049E-6,5.978078E-6,5.978078E-6,1.0,0.0,2.4012847E-5,2.5620335E-5,2.5620335E-5,1.0,0.0,2.9231719E-4,3.1192758E-4,3.1192758E-4,1.0,0.0,0.0029193296,0.003119276,0.003119276,1.0,0.0
