Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.9343506E-5,2.1910257E-5,3.430033E-5,1.565492,1.2390346E-5,8.289811E-5,9.389859E-5,1.0628777E-4,1.1319422,1.2390346E-5,0.0010088171,0.0011427705,0.0011551466,1.0108299,1.2390346E-5,0.010042497,0.011384191,0.01139644,1.001076,1.2390346E-5
6.1,1.9343506E-5,2.1910257E-5,3.430033E-5,1.565492,1.2390346E-5,8.289811E-5,9.389859E-5,1.0628777E-4,1.1319422,1.2390346E-5,0.0010088171,0.0011427705,0.0011551466,1.0108299,1.2390346E-5,0.010042497,0.011384191,0.01139644,1.001076,1.2390346E-5
6.2,1.9343506E-5,2.1910257E-5,3.430033E-5,1.565492,1.2390346E-5,8.289811E-5,9.389859E-5,1.0628777E-4,1.1319422,1.2390346E-5,0.0010088171,0.0011427705,0.0011551466,1.0108299,1.2390346E-5,0.010042497,0.011384191,0.01139644,1.001076,1.2390346E-5
6.3,1.9343506E-5,2.1910257E-5,3.430033E-5,1.565492,1.2390346E-5,8.289811E-5,9.389859E-5,1.0628777E-4,1.1319422,1.2390346E-5,0.0010088171,0.0011427705,0.0011551466,1.0108299,1.2390346E-5,0.010042497,0.011384191,0.01139644,1.001076,1.2390346E-5
6.4,1.9343506E-5,2.1910257E-5,3.430033E-5,1.565492,1.2390346E-5,8.289811E-5,9.389859E-5,1.0628777E-4,1.1319422,1.2390346E-5,0.0010088171,0.0011427705,0.0011551466,1.0108299,1.2390346E-5,0.010042497,0.011384191,0.01139644,1.001076,1.2390346E-5
6.5,1.9343506E-5,2.1910257E-5,3.430033E-5,1.565492,1.2390346E-5,8.289811E-5,9.389859E-5,1.0628777E-4,1.1319422,1.2390346E-5,0.0010088171,0.0011427705,0.0011551466,1.0108299,1.2390346E-5,0.010042497,0.011384191,0.01139644,1.001076,1.2390346E-5
6.6,1.7440449E-5,1.9750794E-5,3.2140895E-5,1.6273216,1.2390346E-5,7.474264E-5,8.464438E-5,9.703368E-5,1.1463687,1.2390346E-5,9.096117E-4,0.0010302118,0.0010425893,1.0120146,1.2390346E-5,0.009058975,0.010269466,0.0102817295,1.0011941,1.2390346E-5
6.7,1.468422E-5,1.6604492E-5,2.8994631E-5,1.746192,1.2390346E-5,6.2930856E-5,7.116102E-5,8.355048E-5,1.1741047,1.2390346E-5,7.659138E-4,8.6619187E-4,8.7857153E-4,1.014292,1.2390346E-5,0.007632794,0.008642968,0.008655251,1.0014212,1.2390346E-5
6.8,1.211602E-5,1.3673764E-5,2.606394E-5,1.9061276,1.2390346E-5,5.1924766E-5,5.8601363E-5,7.099098E-5,1.2114221,1.2390346E-5,6.320007E-4,7.133854E-4,7.2576693E-4,1.017356,1.2390346E-5,0.006302063,0.007125407,0.0071377093,1.0017265,1.2390346E-5
6.9,9.837659E-6,1.1085766E-5,2.3475974E-5,2.1176682,1.2390346E-5,4.2160715E-5,4.7510377E-5,5.9900132E-5,1.26078,1.2390346E-5,5.131858E-4,5.7842984E-4,5.90813E-4,1.0214083,1.2390346E-5,0.005120023,0.005783415,0.0057957335,1.00213,1.2390346E-5
7.0,9.54151E-6,1.0750372E-5,2.3140585E-5,2.152538,1.2390346E-5,4.0891544E-5,4.6073023E-5,5.8462796E-5,1.268916,1.2390346E-5,4.977408E-4,5.609391E-4,5.7332247E-4,1.0220761,1.2390346E-5,0.0049662744,0.0056093903,0.0056217113,1.0021964,1.2390346E-5
