Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.6350473E-5,3.0151663E-5,4.3532584E-4,14.437871,4.0518638E-4,1.12925714E-4,1.2921583E-4,7.3691685E-4,5.7029924,6.077796E-4,0.0013740034,0.0015722114,0.0024318788,1.5467887,8.6102105E-4,0.01365539,0.015625311,0.017021304,1.0893418,0.0014181524
6.1,2.6350473E-5,3.0151663E-5,4.3532584E-4,14.437871,4.0518638E-4,1.12925714E-4,1.2921583E-4,7.3691685E-4,5.7029924,6.077796E-4,0.0013740034,0.0015722114,0.0024318788,1.5467887,8.6102105E-4,0.01365539,0.015625311,0.017021304,1.0893418,0.0014181524
6.2,2.6350473E-5,3.0151663E-5,4.3532584E-4,14.437871,4.0518638E-4,1.12925714E-4,1.2921583E-4,7.3691685E-4,5.7029924,6.077796E-4,0.0013740034,0.0015722114,0.0024318788,1.5467887,8.6102105E-4,0.01365539,0.015625311,0.017021304,1.0893418,0.0014181524
6.3,2.6350473E-5,3.0151663E-5,4.3532584E-4,14.437871,4.0518638E-4,1.12925714E-4,1.2921583E-4,7.3691685E-4,5.7029924,6.077796E-4,0.0013740034,0.0015722114,0.0024318788,1.5467887,8.6102105E-4,0.01365539,0.015625311,0.017021304,1.0893418,0.0014181524
6.4,2.6350473E-5,3.0151663E-5,4.3532584E-4,14.437871,4.0518638E-4,1.12925714E-4,1.2921583E-4,7.3691685E-4,5.7029924,6.077796E-4,0.0013740034,0.0015722114,0.0024318788,1.5467887,8.6102105E-4,0.01365539,0.015625311,0.017021304,1.0893418,0.0014181524
6.5,2.6350473E-5,3.0151663E-5,4.3532584E-4,14.437871,4.0518638E-4,1.12925714E-4,1.2921583E-4,7.3691685E-4,5.7029924,6.077796E-4,0.0013740034,0.0015722114,0.0024318788,1.5467887,8.6102105E-4,0.01365539,0.015625311,0.017021304,1.0893418,0.0014181524
6.6,2.3915805E-5,2.727318E-5,4.3244852E-4,15.856182,4.0518638E-4,1.0249228E-4,1.1688063E-4,6.739468E-4,5.766112,5.571313E-4,0.0012471292,0.0014222359,0.002231456,1.5689775,8.1037276E-4,0.012401534,0.014145577,0.015393873,1.0882463,0.0012662074
6.7,2.1143418E-5,2.4001838E-5,2.7723724E-4,11.550668,2.5324148E-4,9.06115E-5,1.0286176E-4,5.080065E-4,4.93873,4.0518638E-4,0.0011026367,0.0012517641,0.0019093679,1.5253415,6.584279E-4,0.010971815,0.012461145,0.013561523,1.0883046,0.0011142626
6.8,1.8590634E-5,2.0984402E-5,2.2357334E-4,10.6542635,2.0259319E-4,7.967171E-5,8.993084E-5,3.937933E-4,4.378846,3.038898E-4,9.6957135E-4,0.0010944982,0.0016004269,1.4622471,5.0648296E-4,0.00965352,0.010904897,0.01185672,1.0872841,9.623177E-4
6.9,1.6592752E-5,1.863061E-5,2.2122003E-4,11.874009,2.0259319E-4,7.110986E-5,7.984381E-5,3.8370932E-4,4.8057494,3.038898E-4,8.6541864E-4,9.7180397E-4,0.0014777947,1.5206717,5.0648296E-4,0.008620561,0.009689213,0.010642206,1.0983561,9.623177E-4
7.0,1.4621345E-5,1.6318016E-5,2.1890791E-4,13.415105,2.0259319E-4,6.2661406E-5,6.993326E-5,3.738018E-4,5.345122,3.038898E-4,7.6263555E-4,8.512428E-4,0.0013572946,1.5944859,5.0648296E-4,0.0076002358,0.008493364,0.0094475085,1.11234,9.623177E-4
7.1,1.4214311E-5,1.5853855E-5,2.1844383E-4,13.778594,2.0259319E-4,6.0917053E-5,6.79441E-5,3.7181325E-4,5.47234,3.038898E-4,7.414127E-4,8.2704343E-4,0.0013331075,1.6118954,5.0648296E-4,0.0073894397,0.0082531925,0.009207568,1.1156372,9.623177E-4
7.2,5.322531E-6,5.4705556E-6,1.067666E-4,19.51659,1.01296595E-4,2.2810646E-5,2.3445109E-5,2.2603355E-4,9.640968,2.0259319E-4,2.7768422E-4,2.8542118E-4,6.904919E-4,2.4192035,4.0518638E-4,0.0027733748,0.002851954,0.0036095118,1.2656276,7.5972447E-4
7.3,4.9197506E-6,5.0347303E-6,1.06330815E-4,21.119467,1.01296595E-4,2.1084476E-5,2.1577318E-5,2.2416614E-4,10.388971,2.0259319E-4,2.5667323E-4,2.6268652E-4,6.6776644E-4,2.542066,4.0518638E-4,0.0025637697,0.0026251655,0.0033828956,1.2886409,7.5972447E-4
7.4,4.3367913E-6,4.4250473E-6,1.0572119E-4,23.89154,1.01296595E-4,1.8586115E-5,1.896443E-5,2.2155378E-4,11.682595,2.0259319E-4,2.2626246E-4,2.3088178E-4,6.3597463E-4,2.7545466,4.0518638E-4,0.0022603222,0.0023078213,0.003015261,1.3065401,7.090762E-4
