Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.8756149E-6,2.9249488E-6,1.4077952E-4,48.130592,1.3785498E-4,1.2324005E-5,1.2535451E-5,1.503887E-4,11.997071,1.3785498E-4,1.5003444E-4,1.5261132E-4,2.9044526E-4,1.9031699,1.3785498E-4,0.0014993318,0.001525348,0.0016629928,1.0902382,1.3785498E-4
6.1,2.8756149E-6,2.9249488E-6,1.4077952E-4,48.130592,1.3785498E-4,1.2324005E-5,1.2535451E-5,1.503887E-4,11.997071,1.3785498E-4,1.5003444E-4,1.5261132E-4,2.9044526E-4,1.9031699,1.3785498E-4,0.0014993318,0.001525348,0.0016629928,1.0902382,1.3785498E-4
6.2,2.8756149E-6,2.9249488E-6,1.4077952E-4,48.130592,1.3785498E-4,1.2324005E-5,1.2535451E-5,1.503887E-4,11.997071,1.3785498E-4,1.5003444E-4,1.5261132E-4,2.9044526E-4,1.9031699,1.3785498E-4,0.0014993318,0.001525348,0.0016629928,1.0902382,1.3785498E-4
6.3,2.8756149E-6,2.9249488E-6,1.4077952E-4,48.130592,1.3785498E-4,1.2324005E-5,1.2535451E-5,1.503887E-4,11.997071,1.3785498E-4,1.5003444E-4,1.5261132E-4,2.9044526E-4,1.9031699,1.3785498E-4,0.0014993318,0.001525348,0.0016629928,1.0902382,1.3785498E-4
6.4,2.8756149E-6,2.9249488E-6,1.4077952E-4,48.130592,1.3785498E-4,1.2324005E-5,1.2535451E-5,1.503887E-4,11.997071,1.3785498E-4,1.5003444E-4,1.5261132E-4,2.9044526E-4,1.9031699,1.3785498E-4,0.0014993318,0.001525348,0.0016629928,1.0902382,1.3785498E-4
6.5,2.8756149E-6,2.9249488E-6,1.4077952E-4,48.130592,1.3785498E-4,1.2324005E-5,1.2535451E-5,1.503887E-4,11.997071,1.3785498E-4,1.5003444E-4,1.5261132E-4,2.9044526E-4,1.9031699,1.3785498E-4,0.0014993318,0.001525348,0.0016629928,1.0902382,1.3785498E-4
6.6,2.5516226E-6,2.5957236E-6,1.4045034E-4,54.10836,1.3785498E-4,1.093548E-5,1.1124498E-5,1.4897794E-4,13.39188,1.3785498E-4,1.3313134E-4,1.3543516E-4,2.7327146E-4,2.017729,1.3785498E-4,0.0013305161,0.0013538024,0.0014914707,1.1016902,1.3785498E-4
6.7,2.2186603E-6,2.256487E-6,1.4011115E-4,62.092606,1.3785498E-4,9.50851E-6,9.670638E-6,1.4752428E-4,15.254866,1.3785498E-4,1.15759954E-4,1.1773639E-4,2.5557514E-4,2.1707404,1.3785498E-4,0.0011569967,0.0011770084,0.0013147012,1.1169853,1.3785498E-4
6.8,1.9751235E-6,2.0086552E-6,1.3986336E-4,69.63035,1.3785498E-4,8.464787E-6,8.608508E-6,1.464623E-4,17.013666,1.3785498E-4,1.0305391E-4,1.0480621E-4,2.4264674E-4,2.3151944,1.3785498E-4,0.0010300614,0.0010478286,0.0011855391,1.1314247,1.3785498E-4
6.9,1.7189924E-6,1.7480062E-6,1.3960274E-4,79.86398,1.3785498E-4,7.36709E-6,7.4914487E-6,1.4534539E-4,19.401506,1.3785498E-4,8.969063E-5,9.1207185E-5,2.2904959E-4,2.5113108,1.3785498E-4,8.965443E-4,9.119541E-4,0.0010496833,1.1510265,1.3785498E-4
7.0,1.4014381E-6,1.4248745E-6,1.3927965E-4,97.74872,1.3785498E-4,6.0061493E-6,6.1066053E-6,1.4396074E-4,23.574594,1.3785498E-4,7.312241E-5,7.434792E-5,2.1219265E-4,2.8540497,1.3785498E-4,7.3098356E-4,7.434792E-4,8.812317E-4,1.1852809,1.3785498E-4
7.1,1.4014381E-6,1.4248745E-6,1.3927965E-4,97.74872,1.3785498E-4,6.0061493E-6,6.1066053E-6,1.4396074E-4,23.574594,1.3785498E-4,7.312241E-5,7.434792E-5,2.1219265E-4,2.8540497,1.3785498E-4,7.3098356E-4,7.434792E-4,8.812317E-4,1.1852809,1.3785498E-4
