Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.8975299E-5,3.5014233E-5,1.533733E-4,4.380313,1.18363205E-4,1.2417394E-4,1.5005456E-4,3.8674547E-4,2.5773654,2.3672641E-4,0.0015107692,0.0018257706,0.0024671406,1.3512872,6.4254313E-4,0.015005396,0.018145941,0.019291492,1.0631299,0.0011667231
6.1,2.8975299E-5,3.5014233E-5,1.533733E-4,4.380313,1.18363205E-4,1.2417394E-4,1.5005456E-4,3.8674547E-4,2.5773654,2.3672641E-4,0.0015107692,0.0018257706,0.0024671406,1.3512872,6.4254313E-4,0.015005396,0.018145941,0.019291492,1.0631299,0.0011667231
6.2,2.8975299E-5,3.5014233E-5,1.533733E-4,4.380313,1.18363205E-4,1.2417394E-4,1.5005456E-4,3.8674547E-4,2.5773654,2.3672641E-4,0.0015107692,0.0018257706,0.0024671406,1.3512872,6.4254313E-4,0.015005396,0.018145941,0.019291492,1.0631299,0.0011667231
6.3,2.8975299E-5,3.5014233E-5,1.533733E-4,4.380313,1.18363205E-4,1.2417394E-4,1.5005456E-4,3.8674547E-4,2.5773654,2.3672641E-4,0.0015107692,0.0018257706,0.0024671406,1.3512872,6.4254313E-4,0.015005396,0.018145941,0.019291492,1.0631299,0.0011667231
6.4,2.8975299E-5,3.5014233E-5,1.533733E-4,4.380313,1.18363205E-4,1.2417394E-4,1.5005456E-4,3.8674547E-4,2.5773654,2.3672641E-4,0.0015107692,0.0018257706,0.0024671406,1.3512872,6.4254313E-4,0.015005396,0.018145941,0.019291492,1.0631299,0.0011667231
6.5,2.8975299E-5,3.5014233E-5,1.533733E-4,4.380313,1.18363205E-4,1.2417394E-4,1.5005456E-4,3.8674547E-4,2.5773654,2.3672641E-4,0.0015107692,0.0018257706,0.0024671406,1.3512872,6.4254313E-4,0.015005396,0.018145941,0.019291492,1.0631299,0.0011667231
6.6,2.6446418E-5,3.190913E-5,1.5026856E-4,4.709265,1.18363205E-4,1.1333687E-4,1.367484E-4,3.5653572E-4,2.6072388,2.1981739E-4,0.0013790029,0.0016640209,0.002288614,1.3753517,6.256341E-4,0.013704768,0.016553096,0.017683879,1.0683124,0.001149814
6.7,2.26497E-5,2.7271499E-5,1.1181434E-4,4.100044,8.454515E-5,9.706653E-5,1.1687469E-4,2.6903817E-4,2.301937,1.5218127E-4,0.0011811443,0.0014223875,0.0019458219,1.3679969,5.241799E-4,0.01174886,0.0141689,0.015119059,1.0670594,9.638147E-4
6.8,1.799965E-5,2.159839E-5,7.232438E-5,3.3486006,5.072709E-5,7.713908E-5,9.256323E-5,1.9400801E-4,2.0959513,1.0145418E-4,9.387636E-4,0.0011267258,0.0014983052,1.329787,3.7199864E-4,0.009348078,0.011244575,0.011963487,1.0639342,7.2708825E-4
6.9,1.799965E-5,2.159839E-5,7.232438E-5,3.3486006,5.072709E-5,7.713908E-5,9.256323E-5,1.9400801E-4,2.0959513,1.0145418E-4,9.387636E-4,0.0011267258,0.0014983052,1.329787,3.7199864E-4,0.009348078,0.011244575,0.011963487,1.0639342,7.2708825E-4
7.0,1.3666451E-5,1.6355421E-5,6.708168E-5,4.1014953,5.072709E-5,5.8569192E-5,7.009466E-5,1.5463389E-4,2.206072,8.454515E-5,7.128466E-4,8.5340254E-4,0.0011237161,1.316748,2.7054446E-4,0.0071056425,0.008534024,0.0090537295,1.0608982,5.241799E-4
