Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.723521E-4,0.0013466828,0.0017747077,1.3178364,4.2860204E-4,0.0033058827,0.0057641217,0.006296786,1.0924103,5.3575257E-4,0.03951393,0.06891971,0.0698176,1.013028,9.643546E-4,0.3317935,0.5395069,0.5403622,1.0015852,0.0018572755
6.1,1.4269065E-4,5.017429E-4,8.2303316E-4,1.6403483,3.2145155E-4,6.11388E-4,0.002148918,0.0025765991,1.1990216,4.2860204E-4,0.007418273,0.02591448,0.026679888,1.0295359,7.857704E-4,0.0717547,0.22093078,0.22215512,1.0055417,0.0015715408
6.2,1.4269065E-4,5.017429E-4,8.2303316E-4,1.6403483,3.2145155E-4,6.11388E-4,0.002148918,0.0025765991,1.1990216,4.2860204E-4,0.007418273,0.02591448,0.026679888,1.0295359,7.857704E-4,0.0717547,0.22093078,0.22215512,1.0055417,0.0015715408
6.3,1.4269065E-4,5.017429E-4,8.2303316E-4,1.6403483,3.2145155E-4,6.11388E-4,0.002148918,0.0025765991,1.1990216,4.2860204E-4,0.007418273,0.02591448,0.026679888,1.0295359,7.857704E-4,0.0717547,0.22093078,0.22215512,1.0055417,0.0015715408
6.4,1.4269065E-4,5.017429E-4,8.2303316E-4,1.6403483,3.2145155E-4,6.11388E-4,0.002148918,0.0025765991,1.1990216,4.2860204E-4,0.007418273,0.02591448,0.026679888,1.0295359,7.857704E-4,0.0717547,0.22093078,0.22215512,1.0055417,0.0015715408
6.5,1.4269065E-4,5.017429E-4,8.2303316E-4,1.6403483,3.2145155E-4,6.11388E-4,0.002148918,0.0025765991,1.1990216,4.2860204E-4,0.007418273,0.02591448,0.026679888,1.0295359,7.857704E-4,0.0717547,0.22093078,0.22215512,1.0055417,0.0015715408
6.6,1.4257019E-4,5.015525E-4,8.228428E-4,1.6405916,3.2145155E-4,6.10872E-4,0.0021481037,0.002575785,1.1990972,4.2860204E-4,0.0074120336,0.025904845,0.02667026,1.0295472,7.857704E-4,0.07169635,0.22085924,0.22208369,1.0055441,0.0015715408
6.7,1.4246788E-4,5.013712E-4,8.226616E-4,1.6408232,3.2145155E-4,6.1043375E-4,0.002147328,0.0025750096,1.1991693,4.2860204E-4,0.007406734,0.025895536,0.026660958,1.0295581,7.857704E-4,0.07164679,0.22079132,0.22201587,1.0055462,0.0015715408
6.8,1.4238524E-4,5.0115754E-4,8.22448E-4,1.6410966,3.2145155E-4,6.1007973E-4,0.0021464138,0.0025740957,1.1992543,4.2860204E-4,0.007402453,0.025884695,0.026650127,1.0295708,7.857704E-4,0.07160675,0.22071254,0.22193722,1.0055487,0.0015715408
6.9,1.4226006E-4,5.008332E-4,8.221238E-4,1.641512,3.2145155E-4,6.095435E-4,0.0021450259,0.0025727088,1.1993835,4.2860204E-4,0.007395969,0.025868258,0.026633702,1.0295901,7.857704E-4,0.0715461,0.22059278,0.22181764,1.0055526,0.0015715408
7.0,1.421111E-4,5.0044054E-4,8.217312E-4,1.6420157,3.2145155E-4,6.089054E-4,0.002143346,0.0025710294,1.19954,4.2860204E-4,0.0073882528,0.025848212,0.026613671,1.0296136,7.857704E-4,0.07147392,0.22044773,0.22167283,1.0055573,0.0015715408
7.1,7.911531E-5,3.2991724E-4,6.512627E-4,1.9740185,3.2145155E-4,3.3902156E-4,0.0014133246,0.0018413209,1.3028294,4.2860204E-4,0.0041197776,0.017099971,0.0178372,1.0431128,7.5005356E-4,0.04044234,0.15168123,0.1529538,1.0083897,0.0015001071
7.2,7.90033E-5,3.296154E-4,6.50961E-4,1.9749106,3.2145155E-4,3.3854163E-4,0.0014120324,0.0018400293,1.3031069,4.2860204E-4,0.004113957,0.017084487,0.017821725,1.0431526,7.5005356E-4,0.040386252,0.15155983,0.15283258,1.0083977,0.0015001071
7.3,7.893314E-5,3.2935737E-4,6.5070303E-4,1.9756747,3.2145155E-4,3.3824102E-4,0.0014109277,0.0018389251,1.3033446,4.2860204E-4,0.0041103107,0.017071247,0.017808497,1.0431865,7.5005356E-4,0.04035112,0.15145631,0.15272923,1.0084045,0.0015001071
7.4,7.878637E-5,3.2884022E-4,6.5018603E-4,1.9772097,3.2145155E-4,3.3761217E-4,0.0014087138,0.001836712,1.303822,4.2860204E-4,0.004102683,0.017044716,0.017781984,1.043255,7.5005356E-4,0.04027762,0.15124616,0.15251939,1.0084182,0.0015001071
7.5,6.8967216E-5,2.9620552E-4,6.175618E-4,2.08491,3.2145155E-4,2.9554032E-4,0.001268987,0.0016970452,1.3373227,4.2860204E-4,0.0035922674,0.015367592,0.01610612,1.0480574,7.5005356E-4,0.035347503,0.13755313,0.13884689,1.0094055,0.0015001071
7.6,6.8796966E-5,2.9566285E-4,6.170193E-4,2.086902,3.2145155E-4,2.948108E-4,0.0012666635,0.0016947227,1.3379422,4.2860204E-4,0.003583415,0.015339702,0.01607825,1.0481461,7.5005356E-4,0.0352618,0.13732228,0.13861638,1.0094239,0.0015001071
7.7,5.8142083E-5,2.6259638E-4,5.1254855E-4,1.9518495,2.5001785E-4,2.4915655E-4,0.0011250726,0.0014818391,1.3171053,3.5716838E-4,0.0030292615,0.0136374645,0.01430683,1.0490829,6.786199E-4,0.029882994,0.122926764,0.12417981,1.0101935,0.0014286735
7.8,3.7720634E-5,1.7457761E-4,3.1742E-4,1.8182173,1.4286734E-4,1.6164983E-4,7.480669E-4,9.265175E-4,1.238549,1.7858419E-4,0.0019663102,0.009085932,0.009404463,1.0350575,3.2145155E-4,0.019490024,0.08308776,0.08380824,1.0086714,7.857704E-4
7.9,1.41195915E-5,6.798084E-5,1.3940966E-4,2.0507197,7.143367E-5,6.051113E-5,2.9132722E-4,3.9844651E-4,1.367694,1.0715051E-4,7.36474E-4,0.0035434929,0.003685854,1.0401753,1.4286734E-4,0.00734038,0.03258086,0.032857284,1.0084842,2.8573468E-4
8.0,5.0866283E-6,2.564328E-5,9.707512E-5,3.7855968,7.143367E-5,2.1799653E-5,1.09896864E-4,1.8132268E-4,1.649935,7.143367E-5,2.6537845E-4,0.0013374792,0.0014444864,1.0800066,1.0715051E-4,0.0026506176,0.012337761,0.012478866,1.0114368,1.4286734E-4
8.1,2.2154293E-6,1.2907957E-5,4.8624333E-5,3.7670045,3.5716836E-5,9.494662E-6,5.5319815E-5,9.103468E-5,1.645607,3.5716836E-5,1.1559138E-4,6.7351875E-4,7.4490433E-4,1.105989,7.143367E-5,0.0011553128,0.0060832473,0.006189746,1.0175068,1.0715051E-4
