Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.0995041E-4,4.016633E-4,7.9685333E-4,1.9838839,3.9534885E-4,4.7113094E-4,0.0017203542,0.0022543177,1.31038,5.348837E-4,0.0057209437,0.020758318,0.021760331,1.0482705,0.0010232559,0.055758867,0.17985137,0.18101484,1.006469,0.0014186046
6.1,1.0995041E-4,4.016633E-4,7.9685333E-4,1.9838839,3.9534885E-4,4.7113094E-4,0.0017203542,0.0022543177,1.31038,5.348837E-4,0.0057209437,0.020758318,0.021760331,1.0482705,0.0010232559,0.055758867,0.17985137,0.18101484,1.006469,0.0014186046
6.2,1.0995041E-4,4.016633E-4,7.9685333E-4,1.9838839,3.9534885E-4,4.7113094E-4,0.0017203542,0.0022543177,1.31038,5.348837E-4,0.0057209437,0.020758318,0.021760331,1.0482705,0.0010232559,0.055758867,0.17985137,0.18101484,1.006469,0.0014186046
6.3,1.0995041E-4,4.016633E-4,7.9685333E-4,1.9838839,3.9534885E-4,4.7113094E-4,0.0017203542,0.0022543177,1.31038,5.348837E-4,0.0057209437,0.020758318,0.021760331,1.0482705,0.0010232559,0.055758867,0.17985137,0.18101484,1.006469,0.0014186046
6.4,1.0995041E-4,4.016633E-4,7.9685333E-4,1.9838839,3.9534885E-4,4.7113094E-4,0.0017203542,0.0022543177,1.31038,5.348837E-4,0.0057209437,0.020758318,0.021760331,1.0482705,0.0010232559,0.055758867,0.17985137,0.18101484,1.006469,0.0014186046
6.5,1.0995041E-4,4.016633E-4,7.9685333E-4,1.9838839,3.9534885E-4,4.7113094E-4,0.0017203542,0.0022543177,1.31038,5.348837E-4,0.0057209437,0.020758318,0.021760331,1.0482705,0.0010232559,0.055758867,0.17985137,0.18101484,1.006469,0.0014186046
6.6,1.09829954E-4,4.014158E-4,7.9660595E-4,1.9844908,3.9534885E-4,4.7061488E-4,0.0017192949,0.002253259,1.3105716,5.348837E-4,0.0057146936,0.020745667,0.021747693,1.0483006,0.0010232559,0.05569951,0.17974973,0.18091334,1.0064735,0.0014186046
6.7,1.0968671E-4,4.0112622E-4,7.963165E-4,1.9852017,3.9534885E-4,4.7000122E-4,0.0017180555,0.0022520202,1.310796,5.348837E-4,0.005707261,0.020730862,0.021732906,1.0483358,0.0010232559,0.05562892,0.17963059,0.18079437,1.0064788,0.0014186046
6.8,9.6153904E-5,3.6562132E-4,7.608256E-4,2.0809114,3.9534885E-4,4.1202307E-4,0.0015660744,0.0021001205,1.3410094,5.348837E-4,0.0050048484,0.018912675,0.019848129,1.0494618,9.534884E-4,0.048936214,0.16500922,0.16613549,1.0068254,0.0013488372
6.9,9.59246E-5,3.6505362E-4,7.602581E-4,2.082593,3.9534885E-4,4.1104064E-4,0.0015636444,0.0020976916,1.3415402,5.348837E-4,0.0049929423,0.0188836,0.019819085,1.0495394,9.534884E-4,0.048822403,0.164772,0.16589859,1.0068372,0.0013488372
7.0,9.5669224E-5,3.64425E-4,7.5962977E-4,2.0844612,3.9534885E-4,4.0994651E-4,0.0015609534,0.0020950022,1.3421298,5.348837E-4,0.004979682,0.018851407,0.019786922,1.0496256,9.534884E-4,0.048695635,0.16450974,0.16563669,1.0068502,0.0013488372
7.1,9.5384006E-5,3.6372882E-4,7.5893383E-4,2.0865376,3.9534885E-4,4.0872456E-4,0.0015579734,0.0020920238,1.3427852,5.348837E-4,0.0049648727,0.018815754,0.019751301,1.0497215,9.534884E-4,0.04855404,0.16421874,0.16534607,1.0068648,0.0013488372
7.2,7.876192E-5,3.2410742E-4,6.26335E-4,1.9324921,3.0232558E-4,3.375074E-4,0.0013883485,0.0018063721,1.301094,4.1860464E-4,0.0041014124,0.01678248,0.01749131,1.0422363,7.209302E-4,0.040265374,0.14711435,0.14804658,1.0063367,0.0010930232
7.3,7.8294186E-5,3.2266052E-4,6.248886E-4,1.936675,3.0232558E-4,3.3550337E-4,0.0013821543,0.0018001803,1.3024453,4.1860464E-4,0.004077105,0.016708223,0.017417109,1.0424273,7.209302E-4,0.040031098,0.14649805,0.14743094,1.006368,0.0010930232
7.4,7.778049E-5,3.210994E-4,6.2332785E-4,1.9412304,3.0232558E-4,3.3330236E-4,0.0013754707,0.0017934996,1.3039169,4.1860464E-4,0.0040504076,0.016628098,0.01733704,1.0426352,7.209302E-4,0.039773732,0.14583014,0.14676377,1.0064021,0.0010930232
7.5,5.9146343E-5,2.6189696E-4,5.6414335E-4,2.154066,3.0232558E-4,2.534597E-4,0.0011219733,0.0015168786,1.3519739,3.9534885E-4,0.0030815054,0.01358183,0.014224149,1.0472925,6.511628E-4,0.03039124,0.120311,0.12117023,1.0071417,9.767442E-4
7.6,4.7335114E-5,2.2432729E-4,4.5683325E-4,2.0364587,2.3255814E-4,2.02849E-4,9.6108246E-4,0.001286351,1.3384397,3.255814E-4,0.0024668893,0.011644533,0.012219158,1.0493472,5.8139535E-4,0.024396837,0.10364283,0.10441411,1.0074418,8.604651E-4
7.7,3.8561506E-5,1.9188043E-4,4.2439395E-4,2.2117624,2.3255814E-4,1.6525312E-4,8.22116E-4,0.0011474297,1.395703,3.255814E-4,0.0020101,0.009968772,0.010521348,1.0554307,5.581395E-4,0.01992015,0.08914556,0.08984459,1.0078415,7.674419E-4
7.8,3.2975342E-5,1.6895565E-4,3.5497072E-4,2.1009698,1.8604651E-4,1.4131523E-4,7.23923E-4,0.0010027908,1.3852174,2.7906976E-4,0.0017191551,0.008783187,0.009290321,1.0577393,5.1162794E-4,0.017059162,0.07850971,0.07917404,1.0084617,7.209302E-4
7.9,2.148629E-5,1.04210856E-4,2.437312E-4,2.3388274,1.3953488E-4,9.208085E-5,4.46556E-4,6.325194E-4,1.4164392,1.8604651E-4,0.0011205077,0.005425832,0.005726517,1.0554173,3.0232558E-4,0.011148746,0.049493838,0.049913827,1.0084857,4.4186047E-4
8.0,6.3800603E-6,3.136937E-5,7.787954E-5,2.4826617,4.6511628E-5,2.7342829E-5,1.3443502E-4,1.8094039E-4,1.345932,4.6511628E-5,3.3284808E-4,0.0016358347,0.001705488,1.0425797,6.976744E-5,0.0033234998,0.015136539,0.015273961,1.0090789,1.3953488E-4
8.1,2.2240692E-6,1.29589735E-5,3.6214486E-5,2.794549,2.3255814E-5,9.531691E-6,5.5538447E-5,7.879297E-5,1.4187104,2.3255814E-5,1.1604215E-4,6.7617896E-4,7.226591E-4,1.0687394,4.6511628E-5,0.0011598158,0.0061071273,0.0061764685,1.0113542,6.976744E-5
