Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.432835E-5,3.0557657E-4,6.543072E-4,2.1412218,3.488372E-4,3.6135715E-4,0.0013090015,0.0017502836,1.3371135,4.4186047E-4,0.004390651,0.015828904,0.016584199,1.0477161,7.674419E-4,0.043049086,0.14053506,0.14143449,1.0064001,0.0010465116
6.1,8.432835E-5,3.0557657E-4,6.543072E-4,2.1412218,3.488372E-4,3.6135715E-4,0.0013090015,0.0017502836,1.3371135,4.4186047E-4,0.004390651,0.015828904,0.016584199,1.0477161,7.674419E-4,0.043049086,0.14053506,0.14143449,1.0064001,0.0010465116
6.2,8.432835E-5,3.0557657E-4,6.543072E-4,2.1412218,3.488372E-4,3.6135715E-4,0.0013090015,0.0017502836,1.3371135,4.4186047E-4,0.004390651,0.015828904,0.016584199,1.0477161,7.674419E-4,0.043049086,0.14053506,0.14143449,1.0064001,0.0010465116
6.3,8.432835E-5,3.0557657E-4,6.543072E-4,2.1412218,3.488372E-4,3.6135715E-4,0.0013090015,0.0017502836,1.3371135,4.4186047E-4,0.004390651,0.015828904,0.016584199,1.0477161,7.674419E-4,0.043049086,0.14053506,0.14143449,1.0064001,0.0010465116
6.4,8.432835E-5,3.0557657E-4,6.543072E-4,2.1412218,3.488372E-4,3.6135715E-4,0.0013090015,0.0017502836,1.3371135,4.4186047E-4,0.004390651,0.015828904,0.016584199,1.0477161,7.674419E-4,0.043049086,0.14053506,0.14143449,1.0064001,0.0010465116
6.5,8.432835E-5,3.0557657E-4,6.543072E-4,2.1412218,3.488372E-4,3.6135715E-4,0.0013090015,0.0017502836,1.3371135,4.4186047E-4,0.004390651,0.015828904,0.016584199,1.0477161,7.674419E-4,0.043049086,0.14053506,0.14143449,1.0064001,0.0010465116
6.6,8.422796E-5,3.053887E-4,6.541194E-4,2.141924,3.488372E-4,3.6092702E-4,0.0013081972,0.0017494796,1.337321,4.4186047E-4,0.0043854355,0.015819253,0.016574554,1.0477457,7.674419E-4,0.04299896,0.14045276,0.14135228,1.0064045,0.0010465116
6.7,8.4024105E-5,3.050066E-4,6.537374E-4,2.143355,3.488372E-4,3.600536E-4,0.0013065612,0.0017478443,1.337744,4.4186047E-4,0.004374844,0.015799625,0.01655494,1.047806,7.674419E-4,0.042897146,0.14028531,0.14118502,1.0064133,0.0010465116
6.8,8.383834E-5,3.0460325E-4,6.533342E-4,2.1448696,3.488372E-4,3.592577E-4,0.0013048343,0.0017461182,1.3381915,4.4186047E-4,0.004365193,0.015778905,0.016534237,1.0478698,7.674419E-4,0.042804368,0.14010844,0.14100832,1.0064228,0.0010465116
6.9,8.269897E-5,3.0217436E-4,6.509062E-4,2.1540747,3.488372E-4,3.54376E-4,0.0012944351,0.0017357236,1.340912,4.4186047E-4,0.004305995,0.015654119,0.016409546,1.0482575,7.674419E-4,0.042235088,0.13903125,0.13993226,1.0064807,0.0010465116
