Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.770798E-5,1.266041E-4,1.9365923E-4,1.5296443,6.706362E-5,2.901448E-4,5.424351E-4,6.4297597E-4,1.1853509,1.0059543E-4,0.0035267917,0.0065838103,0.0067979526,1.0325257,2.1556164E-4,0.03471343,0.064538844,0.064888366,1.0054158,3.7364016E-4
6.1,6.770798E-5,1.266041E-4,1.9365923E-4,1.5296443,6.706362E-5,2.901448E-4,5.424351E-4,6.4297597E-4,1.1853509,1.0059543E-4,0.0035267917,0.0065838103,0.0067979526,1.0325257,2.1556164E-4,0.03471343,0.064538844,0.064888366,1.0054158,3.7364016E-4
6.2,6.770798E-5,1.266041E-4,1.9365923E-4,1.5296443,6.706362E-5,2.901448E-4,5.424351E-4,6.4297597E-4,1.1853509,1.0059543E-4,0.0035267917,0.0065838103,0.0067979526,1.0325257,2.1556164E-4,0.03471343,0.064538844,0.064888366,1.0054158,3.7364016E-4
6.3,6.770798E-5,1.266041E-4,1.9365923E-4,1.5296443,6.706362E-5,2.901448E-4,5.424351E-4,6.4297597E-4,1.1853509,1.0059543E-4,0.0035267917,0.0065838103,0.0067979526,1.0325257,2.1556164E-4,0.03471343,0.064538844,0.064888366,1.0054158,3.7364016E-4
6.4,6.770798E-5,1.266041E-4,1.9365923E-4,1.5296443,6.706362E-5,2.901448E-4,5.424351E-4,6.4297597E-4,1.1853509,1.0059543E-4,0.0035267917,0.0065838103,0.0067979526,1.0325257,2.1556164E-4,0.03471343,0.064538844,0.064888366,1.0054158,3.7364016E-4
6.5,6.770798E-5,1.266041E-4,1.9365923E-4,1.5296443,6.706362E-5,2.901448E-4,5.424351E-4,6.4297597E-4,1.1853509,1.0059543E-4,0.0035267917,0.0065838103,0.0067979526,1.0325257,2.1556164E-4,0.03471343,0.064538844,0.064888366,1.0054158,3.7364016E-4
6.6,6.742141E-5,1.2610736E-4,1.9316253E-4,1.5317308,6.706362E-5,2.889169E-4,5.403072E-4,6.4084824E-4,1.1860813,1.0059543E-4,0.00351189,0.0065580956,0.006772244,1.0326539,2.1556164E-4,0.034569066,0.064300194,0.06464981,1.0054373,3.7364016E-4
6.7,6.71276E-5,1.2559396E-4,1.9264915E-4,1.5339047,6.706362E-5,2.8765798E-4,5.3810794E-4,6.386493E-4,1.1868422,1.0059543E-4,0.0034966122,0.0065315217,0.0067456756,1.0327877,2.1556164E-4,0.034421038,0.06405372,0.06440343,1.0054595,3.7364016E-4
6.8,6.664797E-5,1.246922E-4,1.9174746E-4,1.5377662,6.706362E-5,2.8560287E-4,5.34245E-4,6.347867E-4,1.1881939,1.0059543E-4,0.0034716716,0.0064848163,0.00669898,1.0330254,2.1556164E-4,0.034179345,0.06361825,0.06396812,1.0054995,3.7364016E-4
6.9,6.6334556E-5,1.2409322E-4,1.9114852E-4,1.5403622,6.706362E-5,2.8425996E-4,5.316793E-4,6.322212E-4,1.1891026,1.0059543E-4,0.0034553735,0.0064537986,0.0066632098,1.0324477,2.1077138E-4,0.034021374,0.06332935,0.06367484,1.0054555,3.688499E-4
7.0,6.6140106E-5,1.237124E-4,1.9076772E-4,1.5420259,6.706362E-5,2.834268E-4,5.3004787E-4,6.3058996E-4,1.189685,1.0059543E-4,0.0034452619,0.0064340793,0.0066434946,1.0325478,2.1077138E-4,0.033923354,0.06314599,0.063491546,1.0054724,3.688499E-4
7.1,3.950743E-5,7.372838E-5,9.2887996E-5,1.2598677,1.9161034E-5,1.6930657E-4,3.1591134E-4,3.446438E-4,1.0909511,2.8741551E-5,0.0020593586,0.003838852,0.0039008863,1.0161597,6.2273364E-5,0.020403787,0.03836328,0.03846923,1.0027617,1.1017595E-4
7.2,3.9056304E-5,7.278862E-5,9.194826E-5,1.263223,1.9161034E-5,1.6737341E-4,3.1188547E-4,3.4061805E-4,1.0921254,2.8741551E-5,0.0020358667,0.0037901076,0.0038521448,1.0163683,6.2273364E-5,0.020173162,0.03790224,0.03800824,1.0027966,1.1017595E-4
7.3,3.8629096E-5,7.181476E-5,9.097441E-5,1.2667928,1.9161034E-5,1.6554276E-4,3.0771297E-4,3.3644566E-4,1.0933751,2.8741551E-5,0.00201362,0.0037395307,0.0038015712,1.0165905,6.2273364E-5,0.019954717,0.03741947,0.03752552,1.0028342,1.1017595E-4
7.4,2.2630244E-5,3.4288696E-5,3.907879E-5,1.139699,4.7902586E-6,9.698315E-5,1.4694584E-4,1.5173538E-4,1.032594,4.7902586E-6,0.0011801302,0.0017880509,0.0017976142,1.0053484,9.580517E-6,0.011738827,0.01851639,0.0185493,1.0017774,3.353181E-5
7.5,2.187835E-5,3.2830816E-5,3.7620917E-5,1.1459026,4.7902586E-6,9.376098E-5,1.4069847E-4,1.4548805E-4,1.0340415,4.7902586E-6,0.0011409421,0.0017121107,0.0017216748,1.0055861,9.580517E-6,0.01135102,0.017765915,0.017798852,1.001854,3.353181E-5
7.6,2.1126454E-5,3.1434487E-5,3.6224596E-5,1.1523838,4.7902586E-6,9.053881E-5,1.3471482E-4,1.3950444E-4,1.0355537,4.7902586E-6,0.0011017525,0.0016393713,0.0016489361,1.0058345,9.580517E-6,0.010963061,0.017041424,0.017074386,1.0019342,3.353181E-5
7.7,1.5200701E-5,2.0237094E-5,2.0237094E-5,1.0,0.0,6.514423E-5,8.672961E-5,8.672961E-5,1.0,0.0,7.9284236E-4,0.0010557924,0.0010557924,1.0,0.0,0.007900197,0.011221906,0.011245589,1.0021104,2.3951292E-5
7.8,1.5303123E-6,1.9707616E-6,1.9707616E-6,1.0,0.0,6.5584645E-6,8.446107E-6,8.446107E-6,1.0,0.0,7.984638E-5,1.0282895E-4,1.0282895E-4,1.0,0.0,7.98177E-4,0.001066982,0.0010717672,1.0044848,4.7902586E-6
