Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.8589725E-6,2.906881E-6,5.0680605E-6,1.7434701,2.1611856E-6,1.2252682E-5,1.24580165E-5,1.6780334E-5,1.3469507,4.3223713E-6,1.491662E-4,1.5166836E-4,1.6247264E-4,1.0712363,1.0805928E-5,0.0014906611,0.0015158989,0.0015288462,1.0085411,1.2967113E-5
6.1,2.8589725E-6,2.906881E-6,5.0680605E-6,1.7434701,2.1611856E-6,1.2252682E-5,1.24580165E-5,1.6780334E-5,1.3469507,4.3223713E-6,1.491662E-4,1.5166836E-4,1.6247264E-4,1.0712363,1.0805928E-5,0.0014906611,0.0015158989,0.0015288462,1.0085411,1.2967113E-5
6.2,2.8589725E-6,2.906881E-6,5.0680605E-6,1.7434701,2.1611856E-6,1.2252682E-5,1.24580165E-5,1.6780334E-5,1.3469507,4.3223713E-6,1.491662E-4,1.5166836E-4,1.6247264E-4,1.0712363,1.0805928E-5,0.0014906611,0.0015158989,0.0015288462,1.0085411,1.2967113E-5
6.3,2.8589725E-6,2.906881E-6,5.0680605E-6,1.7434701,2.1611856E-6,1.2252682E-5,1.24580165E-5,1.6780334E-5,1.3469507,4.3223713E-6,1.491662E-4,1.5166836E-4,1.6247264E-4,1.0712363,1.0805928E-5,0.0014906611,0.0015158989,0.0015288462,1.0085411,1.2967113E-5
6.4,2.8589725E-6,2.906881E-6,5.0680605E-6,1.7434701,2.1611856E-6,1.2252682E-5,1.24580165E-5,1.6780334E-5,1.3469507,4.3223713E-6,1.491662E-4,1.5166836E-4,1.6247264E-4,1.0712363,1.0805928E-5,0.0014906611,0.0015158989,0.0015288462,1.0085411,1.2967113E-5
6.5,2.8589725E-6,2.906881E-6,5.0680605E-6,1.7434701,2.1611856E-6,1.2252682E-5,1.24580165E-5,1.6780334E-5,1.3469507,4.3223713E-6,1.491662E-4,1.5166836E-4,1.6247264E-4,1.0712363,1.0805928E-5,0.0014906611,0.0015158989,0.0015288462,1.0085411,1.2967113E-5
6.6,2.4544863E-6,2.495234E-6,2.495234E-6,1.0,0.0,1.0519184E-5,1.06938305E-5,1.06938305E-5,1.0,0.0,1.2806353E-4,1.3019213E-4,1.3667483E-4,1.0497935,6.4835567E-6,0.0012798976,0.0013014051,0.0013100386,1.006634,8.644743E-6
6.7,2.1688998E-6,2.204711E-6,2.204711E-6,1.0,0.0,9.295252E-6,9.448742E-6,9.448742E-6,1.0,0.0,1.1316381E-4,1.1503485E-4,1.2151766E-4,1.0563552,6.4835567E-6,0.001131062,0.0011499968,0.0011586316,1.0075085,8.644743E-6
6.8,1.9191828E-6,1.950576E-6,1.950576E-6,1.0,0.0,8.2250435E-6,8.359599E-6,8.359599E-6,1.0,0.0,1.001353E-4,1.01775826E-4,1.0825872E-4,1.0636978,6.4835567E-6,0.0010009019,0.0010175342,0.0010261701,1.0084871,8.644743E-6
6.9,1.6115068E-6,1.6374516E-6,1.6374516E-6,1.0,0.0,6.9064395E-6,7.0176447E-6,7.0176447E-6,1.0,0.0,8.4082654E-5,8.5438915E-5,8.976091E-5,1.0505859,4.3223713E-6,8.405085E-4,8.543001E-4,8.6077815E-4,1.0075828,6.4835567E-6
7.0,1.367995E-6,1.3898027E-6,1.3898027E-6,1.0,0.0,5.8628225E-6,5.956297E-6,5.956297E-6,1.0,0.0,7.137752E-5,7.251792E-5,7.683998E-5,1.0595999,4.3223713E-6,7.13546E-4,7.251792E-4,7.316581E-4,1.0089341,6.4835567E-6
7.1,1.367995E-6,1.3898027E-6,1.3898027E-6,1.0,0.0,5.8628225E-6,5.956297E-6,5.956297E-6,1.0,0.0,7.137752E-5,7.251792E-5,7.683998E-5,1.0595999,4.3223713E-6,7.13546E-4,7.251792E-4,7.316581E-4,1.0089341,6.4835567E-6
