Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only
6.0,6.6865185E-5,1.4218968E-5,5.42184E-5,3.8131037,4.0E-5,2.8653358E-4,6.09371E-5,1.4093223E-4,2.3127491,8.0E-5,0.0034829667,7.4167293E-4,8.61584E-4,1.1616764,1.2E-4
6.1,6.544851E-5,1.4218967E-5,5.42184E-5,3.8131037,4.0E-5,2.8046346E-4,6.09371E-5,1.4093223E-4,2.3127491,8.0E-5,0.0034092965,7.4167293E-4,8.61584E-4,1.1616764,1.2E-4
6.2,6.544851E-5,1.4218967E-5,5.42184E-5,3.8131037,4.0E-5,2.8046346E-4,6.09371E-5,1.4093223E-4,2.3127491,8.0E-5,0.0034092965,7.4167293E-4,8.61584E-4,1.1616764,1.2E-4
6.3,5.2402065E-5,1.42189665E-5,5.42184E-5,3.813104,4.0E-5,2.2456095E-4,6.0937098E-5,1.4093223E-4,2.3127491,8.0E-5,0.0027306017,7.416729E-4,8.615839E-4,1.1616764,1.2E-4
6.4,4.542238E-5,1.4218966E-5,5.42184E-5,3.8131042,4.0E-5,1.9465282E-4,6.0937095E-5,1.4093221E-4,2.3127491,8.0E-5,0.0023673223,7.416729E-4,8.6158386E-4,1.1616764,1.2E-4
6.5,2.9672969E-5,1.4218965E-5,5.4218395E-5,3.8131044,4.0E-5,1.2716366E-4,6.0937087E-5,1.4093221E-4,2.3127494,8.0E-5,0.0015471181,7.4167276E-4,8.615838E-4,1.1616764,1.2E-4
6.6,2.6056105E-5,1.3884164E-5,5.388361E-5,3.88094,4.0E-5,1.1166424E-4,5.9502294E-5,1.3949754E-4,2.344406,8.0E-5,0.0013586642,7.242158E-4,8.441289E-4,1.1655765,1.2E-4
6.7,1.4611248E-5,1.3463621E-5,5.346308E-5,3.970929,4.0E-5,6.261813E-5,5.770005E-5,1.3769543E-4,2.3864007,8.0E-5,7.6210906E-4,7.022877E-4,8.222034E-4,1.1707501,1.2E-4
6.8,1.30607E-5,1.1055474E-5,5.105503E-5,4.6180773,4.0E-5,5.597323E-5,4.7379788E-5,1.27376E-4,2.6884036,8.0E-5,6.8126095E-4,5.7670503E-4,6.9663586E-4,1.2079586,1.2E-4
6.9,1.0443096E-5,8.264937E-6,4.8264606E-5,5.8396826,4.0E-5,4.4755358E-5,3.542069E-5,1.1541785E-4,3.258487,8.0E-5,5.447602E-4,4.311639E-4,5.5111217E-4,1.2781965,1.2E-4
