Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only
6.0,9.3068506E-5,1.7447172E-4,1.7447172E-4,1.0,0.0,3.9880406E-4,7.475203E-4,7.475203E-4,1.0,0.0,0.0048446343,0.009062957,0.009102595,1.0043736,4.0E-5
6.1,9.055486E-5,1.6997888E-4,1.6997888E-4,1.0,0.0,3.880345E-4,7.282775E-4,7.282775E-4,1.0,0.0,0.0047140904,0.008830804,0.008870451,1.0044895,4.0E-5
6.2,9.006742E-5,1.691837E-4,1.691837E-4,1.0,0.0,3.859461E-4,7.248719E-4,7.248719E-4,1.0,0.0,0.0046887742,0.0087897135,0.008829362,1.0045108,4.0E-5
6.3,8.8336754E-5,1.6597717E-4,1.6597717E-4,1.0,0.0,3.7853114E-4,7.111376E-4,7.111376E-4,1.0,0.0,0.004598882,0.008623887,0.008663542,1.0045983,4.0E-5
6.4,8.526157E-5,1.6023382E-4,1.6023382E-4,1.0,0.0,3.6535555E-4,6.865364E-4,6.865364E-4,1.0,0.0,0.0044391346,0.008326706,0.008366372,1.0047638,4.0E-5
6.5,8.152396E-5,1.5355431E-4,1.5355431E-4,1.0,0.0,3.493416E-4,6.579246E-4,6.579246E-4,1.0,0.0,0.0042449418,0.007980962,0.007980962,1.0,0.0
6.6,7.987405E-5,1.5059515E-4,1.5059515E-4,1.0,0.0,3.4227243E-4,6.4524886E-4,6.4524886E-4,1.0,0.0,0.0041592065,0.007827766,0.007827766,1.0,0.0
6.7,7.777665E-5,1.4698018E-4,1.4698018E-4,1.0,0.0,3.332859E-4,6.297637E-4,6.297637E-4,1.0,0.0,0.004050208,0.0076405737,0.0076405737,1.0,0.0
6.8,7.3284005E-5,1.3845459E-4,1.3845459E-4,1.0,0.0,3.140365E-4,5.932425E-4,5.932425E-4,1.0,0.0,0.0038166929,0.007198946,0.007198946,1.0,0.0
6.9,6.458263E-5,1.217146E-4,1.217146E-4,1.0,0.0,2.7675333E-4,5.2153016E-4,5.2153016E-4,1.0,0.0,0.0033642664,0.0063312454,0.0063312454,1.0,0.0
7.0,5.3853604E-5,1.0059871E-4,1.0059871E-4,1.0,0.0,2.3078074E-4,4.3106638E-4,4.3106638E-4,1.0,0.0,0.0028061352,0.0052356687,0.0052356687,1.0,0.0
7.1,4.4308683E-5,8.2009276E-5,8.2009276E-5,1.0,0.0,1.8988053E-4,3.5142121E-4,3.5142121E-4,1.0,0.0,0.0023093442,0.004270201,0.004270201,1.0,0.0
7.2,3.295973E-5,6.1025905E-5,6.1025905E-5,1.0,0.0,1.4124835E-4,2.615135E-4,2.615135E-4,1.0,0.0,0.0017183421,0.0031793013,0.0031793013,1.0,0.0
7.3,2.452256E-5,4.5383407E-5,4.5383407E-5,1.0,0.0,1.05092455E-4,1.944859E-4,1.944859E-4,1.0,0.0,0.0012787496,0.0023653083,0.0023653083,1.0,0.0
7.4,1.8829967E-5,3.4763027E-5,3.4763027E-5,1.0,0.0,8.069736E-5,1.4897595E-4,1.4897595E-4,1.0,0.0,9.820475E-4,0.0018122832,0.0018122832,1.0,0.0
7.5,1.26374125E-5,2.303777E-5,2.303777E-5,1.0,0.0,5.4159216E-5,9.87296E-5,9.87296E-5,1.0,0.0,6.5918895E-4,0.0012013759,0.0012013759,1.0,0.0
7.6,4.666429E-6,8.525386E-6,8.525386E-6,1.0,0.0,1.9998828E-5,3.6536865E-5,3.6536865E-5,1.0,0.0,2.4345852E-4,4.4474675E-4,4.4474675E-4,1.0,0.0
7.7,3.8399318E-7,7.215518E-7,7.215518E-7,1.0,0.0,1.6456839E-6,3.0923613E-6,3.0923613E-6,1.0,0.0,2.003602E-5,3.764885E-5,3.764885E-5,1.0,0.0
7.8,2.5637698E-7,5.437065E-7,5.437065E-7,1.0,0.0,1.098758E-6,2.3301686E-6,2.3301686E-6,1.0,0.0,1.3377297E-5,2.8369435E-5,2.8369435E-5,1.0,0.0
7.9,1.7141245E-7,3.7773415E-7,3.7773415E-7,1.0,0.0,7.3462456E-7,1.6188596E-6,1.6188596E-6,1.0,0.0,8.944017E-6,1.9709438E-5,1.9709438E-5,1.0,0.0
8.0,1.1808895E-7,2.7848392E-7,2.7848392E-7,1.0,0.0,5.060954E-7,1.1935019E-6,1.1935019E-6,1.0,0.0,6.161694E-6,1.453079E-5,1.453079E-5,1.0,0.0
8.1,5.138535E-8,1.1361926E-7,1.1361926E-7,1.0,0.0,2.2022292E-7,4.869396E-7,4.869396E-7,1.0,0.0,2.6812106E-6,5.9284735E-6,5.9284735E-6,1.0,0.0
