Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007932834,0.0,0.00453,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.015865669,0.0,0.00717,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.023798501,0.0,0.00916,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.031731337,0.0,0.01088,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.039664168,0.0,0.01209,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.047597002,0.0,0.01317,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.055529837,0.0,0.01407,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.063462675,0.0,0.01477,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.0713955,0.0,0.01546,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.079328336,0.0,0.01601,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.08726117,0.0,0.01685,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.095194004,0.0,0.01752,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.10312684,0.0,0.01803,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.11105967,0.0,0.01863,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.11899251,0.0,0.01913,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.12692535,0.0,0.01961,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.13485818,0.0,0.02007,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.142791,0.0,0.02055,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.15072384,0.0,0.02097,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.15865667,0.0,0.02131,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.16658951,0.0,0.02173,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.17452234,0.0,0.02201,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.18245518,0.0,0.02231,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.19038801,0.0,0.02253,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.19832085,0.0,0.02279,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.20625368,0.0,0.02306,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.21418652,0.0,0.02329,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.22211935,0.0,0.02364,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.23005219,0.0,0.02384,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.23798501,0.0,0.0241,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.24591786,0.0,0.02432,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.2538507,0.0,0.02455,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.2617835,0.0,0.02479,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.26971635,0.0,0.025,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.2776492,0.0,0.02521,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.285582,0.0,0.02537,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.29351485,0.0,0.02576,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.3014477,0.0,0.02602,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.30938053,0.0,0.0262,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.31731334,0.0,0.02643,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.32524619,0.0,0.02662,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.33317903,0.0,0.02676,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
