Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,0.0,3.5894,1.0,0.0,0.0,926.0,0.0,0.0,5.0,19.0
2.65,0.0,2.85543,1.0,0.0,0.0,688.0,0.0,0.0,4.0,15.0
2.75,0.0,2.25622,1.0,0.0,0.0,586.0,0.0,0.0,3.0,12.0
2.85,0.0,1.80103,1.0,0.0,0.0,479.0,0.0,0.0,3.0,10.0
2.95,0.0,1.43256,0.0,0.0,0.0,336.0,0.0,0.0,2.0,8.0
3.05,0.0,1.13988,0.0,0.0,0.0,281.0,0.0,0.0,2.0,6.0
3.15,0.0,0.89997,0.0,0.0,0.0,229.0,0.0,0.0,2.0,5.0
3.25,1.0,0.71415,0.0,0.0,0.0,182.0,0.0,0.0,1.0,4.0
3.35,0.0,0.56964,0.0,0.0,0.0,139.0,0.0,0.0,1.0,4.0
3.45,0.0,0.44989,0.0,0.0,0.0,113.0,0.0,0.0,1.0,3.0
3.55,0.0,0.36014,0.0,0.0,0.0,105.0,0.0,0.0,1.0,3.0
3.65,0.0,0.28354,0.0,0.0,0.0,69.0,0.0,0.0,1.0,2.0
3.75,0.0,0.22391,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0
3.85,0.0,0.17824,0.0,0.0,0.0,45.0,0.0,0.0,0.0,2.0
3.95,0.0,0.14185,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
4.05,0.0,0.11227,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
4.15,0.0,0.09086,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
4.25,0.0,0.0723,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
4.35,0.0,0.05725,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0
4.45,0.0,0.04505,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
4.55,0.0,0.03602,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
4.65,0.0,0.02913,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
4.75,0.0,0.0229,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
4.85,0.0,0.0183,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4.95,0.0,0.01372,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5.05,0.0,0.01135,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.15,0.0,0.0085,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.25,0.0,0.00679,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.35,0.0,0.00563,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.45,0.0,0.00447,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.55,0.0,0.00375,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.65,0.0,0.00274,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.75,0.0,0.00222,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.85,0.0,0.00171,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.95,0.0,0.00123,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.05,0.0,0.00101,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.15,0.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.25,0.0,5.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.35,0.0,4.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.45,0.0,0.00525,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.55,0.0,1.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.65,0.0,0.0011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.75,0.0,6.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.85,0.0,1.9E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.95,0.0,1.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.05,0.0,3.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
