Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013991017,0.0,5.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0027982034,0.0,0.00118,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.004197305,0.0,0.00181,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0055964068,0.0,0.00245,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0069955084,0.0,0.00307,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.00839461,0.0,0.00362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.009793712,0.0,0.00427,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0111928135,0.0,0.00492,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.012591915,0.0,0.00555,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.013991017,0.0,0.00619,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.015390119,0.0,0.00685,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.01678922,0.0,0.00752,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.018188322,0.0,0.00797,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.019587424,0.0,0.00856,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.020986525,0.0,0.0092,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.022385627,0.0,0.00964,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.023784729,0.0,0.01022,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.02518383,0.0,0.01089,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.026582932,0.0,0.01153,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.027982034,0.0,0.01217,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.029381135,0.0,0.01284,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.030780237,0.0,0.01358,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.03217934,0.0,0.01437,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.03357844,0.0,0.01498,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.034977544,0.0,0.01555,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
0.036376644,0.0,0.01613,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
0.037775747,0.0,0.01673,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
0.039174847,0.0,0.01745,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
0.04057395,0.0,0.01822,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
0.04197305,0.0,0.01871,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
0.043372154,0.0,0.01922,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0.044771254,0.0,0.01995,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0.046170358,0.0,0.02074,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
0.047569457,0.0,0.02137,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
0.04896856,0.0,0.022,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
0.05036766,0.0,0.02254,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
0.051766764,0.0,0.02315,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
0.053165864,0.0,0.02374,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
0.054564968,0.0,0.02434,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
0.055964068,0.0,0.02499,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
0.05736317,0.0,0.02566,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
0.05876227,0.0,0.02627,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
0.060161375,0.0,0.02679,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
0.061560474,0.0,0.02741,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
0.062959574,0.0,0.02802,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0
0.06435868,0.0,0.0285,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
0.06575778,0.0,0.02912,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
0.06715688,0.0,0.0298,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0
0.06855598,0.0,0.03041,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0
0.06995509,0.0,0.03099,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0
0.07135419,0.0,0.03163,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0
0.07275329,0.0,0.03228,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0
0.07415239,0.0,0.03282,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0
0.075551495,0.0,0.03332,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
0.076950595,0.0,0.03394,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
0.078349695,0.0,0.03465,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
0.079748794,0.0,0.03524,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
0.0811479,0.0,0.03576,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
0.082547,0.0,0.03637,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
0.0839461,0.0,0.03713,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
0.0853452,0.0,0.03771,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0
0.08674431,0.0,0.03833,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0
0.08814341,0.0,0.03894,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0
0.08954251,0.0,0.03952,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0
0.09094161,0.0,0.04011,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0
0.092340715,0.0,0.04078,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0
0.093739815,0.0,0.04137,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0
0.095138915,0.0,0.04205,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0
0.096538015,0.0,0.0426,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.09793712,0.0,0.04312,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.09933622,0.0,0.04379,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.10073532,0.0,0.04442,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.10213442,0.0,0.04508,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.10353353,0.0,0.04569,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0
0.10493263,0.0,0.04633,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0
0.10633173,0.0,0.047,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0
0.10773083,0.0,0.04755,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0
0.109129936,0.0,0.0482,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0
0.110529035,0.0,0.04886,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0
0.111928135,0.0,0.04949,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0
0.113327235,0.0,0.05003,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0
0.11472634,0.0,0.05077,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0
0.11612544,0.0,0.05135,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0
