Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015002472,3.0,0.50594,0.0,0.0,0.0,291.0,0.0,0.0,1.0,3.0
0.030004945,3.0,0.73233,0.0,0.0,0.0,439.0,0.0,0.0,1.0,4.0
0.045007415,3.0,0.88031,0.0,0.0,0.0,522.0,0.0,0.0,2.0,5.0
0.06000989,4.0,0.99245,0.0,0.0,0.0,595.0,0.0,0.0,2.0,6.0
0.075012356,4.0,1.08229,0.0,0.0,0.0,650.0,0.0,0.0,2.0,6.0
0.09001483,4.0,1.15611,0.0,0.0,0.0,686.0,0.0,0.0,2.0,7.0
0.105017304,5.0,1.22008,0.0,0.0,0.0,718.0,0.0,0.0,2.0,7.0
0.12001978,5.0,1.27788,0.0,0.0,0.0,755.0,0.0,0.0,2.0,7.0
0.13502225,5.0,1.32957,1.0,0.0,0.0,779.0,0.0,0.0,2.0,7.0
0.15002471,6.0,1.37415,1.0,0.0,0.0,809.0,0.0,0.0,3.0,8.0
0.16502719,6.0,1.41577,1.0,0.0,0.0,838.0,0.0,0.0,3.0,8.0
0.18002966,6.0,1.45392,1.0,0.0,0.0,857.0,0.0,0.0,3.0,8.0
0.19503213,6.0,1.49,1.0,0.0,0.0,882.0,0.0,0.0,3.0,8.0
0.21003461,6.0,1.52329,1.0,0.0,0.0,897.0,0.0,0.0,3.0,8.0
0.22503708,6.0,1.55419,1.0,0.0,0.0,918.0,0.0,0.0,3.0,9.0
0.24003956,6.0,1.58229,1.0,0.0,0.0,935.0,0.0,0.0,3.0,9.0
0.25504202,6.0,1.60933,1.0,0.0,0.0,952.0,0.0,0.0,3.0,9.0
0.2700445,6.0,1.63416,1.0,0.0,0.0,968.0,0.0,0.0,3.0,9.0
0.28504696,6.0,1.65873,1.0,0.0,0.0,979.0,0.0,0.0,3.0,9.0
0.30004942,6.0,1.68178,1.0,0.0,0.0,994.0,0.0,0.0,3.0,9.0
0.3150519,6.0,1.70392,1.0,0.0,0.0,1004.0,0.0,0.0,3.0,9.0
0.33005437,6.0,1.72556,1.0,0.0,0.0,1014.0,0.0,0.0,3.0,9.0
0.34505686,6.0,1.74551,1.0,0.0,0.0,1029.0,0.0,0.0,3.0,9.0
0.36005932,6.0,1.76496,1.0,0.0,0.0,1039.0,0.0,0.0,3.0,10.0
0.3750618,6.0,1.78327,1.0,0.0,0.0,1048.0,0.0,0.0,3.0,10.0
0.39006427,6.0,1.80131,1.0,0.0,0.0,1058.0,0.0,0.0,3.0,10.0
0.40506673,6.0,1.81775,1.0,0.0,0.0,1065.0,0.0,0.0,3.0,10.0
0.42006922,6.0,1.83495,1.0,0.0,0.0,1075.0,0.0,0.0,3.0,10.0
0.43507168,6.0,1.85039,1.0,0.0,0.0,1088.0,0.0,0.0,3.0,10.0
0.45007417,6.0,1.86575,1.0,0.0,0.0,1096.0,0.0,0.0,3.0,10.0
0.46507663,6.0,1.88039,1.0,0.0,0.0,1104.0,0.0,0.0,3.0,10.0
0.4800791,6.0,1.89449,1.0,0.0,0.0,1112.0,0.0,0.0,3.0,10.0
0.49508157,6.0,1.90929,1.0,0.0,0.0,1117.0,0.0,0.0,3.0,10.0
0.51008403,6.0,1.92267,1.0,0.0,0.0,1124.0,0.0,0.0,3.0,10.0
0.5250865,6.0,1.93619,1.0,0.0,0.0,1135.0,0.0,0.0,3.0,10.0
0.540089,6.0,1.94879,1.0,0.0,0.0,1141.0,0.0,0.0,3.0,11.0
0.55509144,6.0,1.96137,1.0,0.0,0.0,1144.0,0.0,0.0,3.0,11.0
0.5700939,6.0,1.97347,1.0,0.0,0.0,1146.0,0.0,0.0,3.0,11.0
0.5850964,6.0,1.98569,1.0,0.0,0.0,1152.0,0.0,0.0,4.0,11.0
0.60009885,6.0,1.99749,1.0,0.0,0.0,1158.0,0.0,0.0,4.0,11.0
0.61510134,6.0,2.0086,1.0,0.0,0.0,1163.0,0.0,0.0,4.0,11.0
0.6301038,6.0,2.02004,1.0,0.0,0.0,1172.0,0.0,0.0,4.0,11.0
0.6451063,6.0,2.03151,1.0,0.0,0.0,1177.0,0.0,0.0,4.0,11.0
0.66010875,6.0,2.04269,1.0,0.0,0.0,1184.0,0.0,0.0,4.0,11.0
