Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.5181727E-5,2.5396972E-5,3.539672E-5,1.3937377,1.0E-5,1.0791722E-4,1.08839646E-4,1.1883856E-4,1.0918683,1.0E-5,0.0013131002,0.0013243206,0.0013343074,1.0075411,1.0E-5,0.013053683,0.013245028,0.013254896,1.000745,1.0E-5
6.1,2.5077732E-5,2.5297977E-5,3.5297722E-5,1.3952786,1.0E-5,1.0747157E-4,1.08415414E-4,1.1841433E-4,1.0922278,1.0E-5,0.001307681,0.0013191618,0.0013291487,1.0075706,1.0E-5,0.013000126,0.013194055,0.013203924,1.0007479,1.0E-5
6.2,2.494612E-5,2.5179503E-5,3.517925E-5,1.3971385,1.0E-5,1.0690756E-4,1.0790771E-4,1.1790663E-4,1.0926617,1.0E-5,0.0013008224,0.0013129881,0.0013229749,1.0076063,1.0E-5,0.012932341,0.013133048,0.013142916,1.0007515,1.0E-5
6.3,2.4733758E-5,2.4998679E-5,3.499843E-5,1.4000112,1.0E-5,1.0599751E-4,1.07132815E-4,1.1713175E-4,1.093332,1.0E-5,0.0012897556,0.001303565,0.001313552,1.0076612,1.0E-5,0.012822957,0.013039928,0.013049797,1.0007569,1.0E-5
6.4,2.3237335E-5,2.3376611E-5,3.337638E-5,1.427768,1.0E-5,9.958477E-5,1.0018165E-4,1.1018065E-4,1.0998087,1.0E-5,0.0012117702,0.0012190319,0.0012290197,1.0081933,1.0E-5,0.012051838,0.012204153,0.012214031,1.0008094,1.0E-5
6.5,2.2732203E-5,2.3190267E-5,3.3190037E-5,1.4312054,1.0E-5,9.742009E-5,9.938309E-5,1.093821E-4,1.1006107,1.0E-5,0.0011854442,0.0012093203,0.0012193082,1.008259,1.0E-5,0.011791403,0.0121081,0.012117979,1.0008159,1.0E-5
6.6,2.1319436E-5,2.1969068E-5,3.1968848E-5,1.4551754,1.0E-5,9.136581E-5,9.4149764E-5,1.0414882E-4,1.1062038,1.0E-5,0.001111811,0.001145673,0.0011556615,1.0087185,1.0E-5,0.011062649,0.011478346,0.011488232,1.0008612,1.0E-5
6.7,1.970802E-5,2.0587033E-5,2.0587033E-5,1.0,0.0,8.446021E-5,8.822717E-5,8.822717E-5,1.0,0.0,0.001027818,0.0010736382,0.0010736382,1.0,0.0,0.010230771,0.0107651595,0.0107651595,1.0,0.0
6.8,1.8744462E-5,2.0092908E-5,2.0092908E-5,1.0,0.0,8.033094E-5,8.6109634E-5,8.6109634E-5,1.0,0.0,9.775903E-4,0.0010478823,0.0010478823,1.0,0.0,0.009733009,0.01051005,0.01051005,1.0,0.0
6.9,1.7559682E-5,1.9143672E-5,1.9143672E-5,1.0,0.0,7.5253614E-5,8.204174E-5,8.204174E-5,1.0,0.0,9.158276E-4,9.984019E-4,9.984019E-4,1.0,0.0,0.0091206245,0.010019711,0.010019711,1.0,0.0
7.0,1.6794445E-5,1.8403889E-5,1.8403889E-5,1.0,0.0,7.197421E-5,7.887143E-5,7.887143E-5,1.0,0.0,8.759337E-4,9.5983804E-4,9.5983804E-4,1.0,0.0,0.008724891,0.009637345,0.009637345,1.0,0.0
7.1,1.6337795E-5,1.7903694E-5,1.7903694E-5,1.0,0.0,7.0017246E-5,7.672787E-5,7.672787E-5,1.0,0.0,8.521265E-4,9.3376276E-4,9.3376276E-4,1.0,0.0,0.008488664,0.009378765,0.009378765,1.0,0.0
7.2,1.5780008E-5,1.7351626E-5,1.7351626E-5,1.0,0.0,6.762685E-5,7.4362E-5,7.4362E-5,1.0,0.0,8.2304585E-4,9.0498256E-4,9.0498256E-4,1.0,0.0,0.008200042,0.00909327,0.00909327,1.0,0.0
7.3,1.5058865E-5,1.6803348E-5,1.6803348E-5,1.0,0.0,6.45364E-5,7.2012364E-5,7.2012364E-5,1.0,0.0,7.854473E-4,8.763991E-4,8.763991E-4,1.0,0.0,0.00782677,0.008809303,0.008809303,1.0,0.0
7.4,1.4887923E-5,1.6638744E-5,1.6638744E-5,1.0,0.0,6.380382E-5,7.130696E-5,7.130696E-5,1.0,0.0,7.7653467E-4,8.678176E-4,8.678176E-4,1.0,0.0,0.0077382675,0.008723826,0.008723826,1.0,0.0
7.5,1.4509299E-5,1.622937E-5,1.622937E-5,1.0,0.0,6.218123E-5,6.95526E-5,6.95526E-5,1.0,0.0,7.567935E-4,8.4647513E-4,8.4647513E-4,1.0,0.0,0.0075422134,0.008511444,0.008511444,1.0,0.0
7.6,1.2756717E-5,1.4223491E-5,1.4223491E-5,1.0,0.0,5.4670498E-5,6.0956398E-5,6.0956398E-5,1.0,0.0,6.6541E-4,7.4189215E-4,7.4189215E-4,1.0,0.0,0.006634211,0.007471359,0.007471359,1.0,0.0
