Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.431637E-6,9.743454E-6,9.743454E-6,1.0,0.0,4.0420677E-5,4.1757063E-5,4.1757063E-5,1.0,0.0,4.920106E-4,5.0828676E-4,5.382715E-4,1.0589918,3.0E-5,0.004909227,0.005072535,0.0051620784,1.0176526,9.0E-5
6.1,9.431637E-6,9.743454E-6,9.743454E-6,1.0,0.0,4.0420677E-5,4.1757063E-5,4.1757063E-5,1.0,0.0,4.920106E-4,5.0828676E-4,5.382715E-4,1.0589918,3.0E-5,0.004909227,0.005072535,0.0051620784,1.0176526,9.0E-5
6.2,9.431637E-6,9.743454E-6,9.743454E-6,1.0,0.0,4.0420677E-5,4.1757063E-5,4.1757063E-5,1.0,0.0,4.920106E-4,5.0828676E-4,5.382715E-4,1.0589918,3.0E-5,0.004909227,0.005072535,0.0051620784,1.0176526,9.0E-5
6.3,9.431637E-6,9.743454E-6,9.743454E-6,1.0,0.0,4.0420677E-5,4.1757063E-5,4.1757063E-5,1.0,0.0,4.920106E-4,5.0828676E-4,5.382715E-4,1.0589918,3.0E-5,0.004909227,0.005072535,0.0051620784,1.0176526,9.0E-5
6.4,5.144063E-6,5.300981E-6,5.300981E-6,1.0,0.0,2.2045799E-5,2.271831E-5,2.271831E-5,1.0,0.0,2.6837454E-4,2.7656378E-4,2.86561E-4,1.0361481,1.0E-5,0.0026805066,0.0027625365,0.0027824813,1.0072197,2.0E-5
6.5,5.144063E-6,5.300981E-6,5.300981E-6,1.0,0.0,2.2045799E-5,2.271831E-5,2.271831E-5,1.0,0.0,2.6837454E-4,2.7656378E-4,2.86561E-4,1.0361481,1.0E-5,0.0026805066,0.0027625365,0.0027824813,1.0072197,2.0E-5
6.6,3.4009804E-6,3.4993525E-6,3.4993525E-6,1.0,0.0,1.4575549E-5,1.4997147E-5,1.4997147E-5,1.0,0.0,1.7744285E-4,1.8257658E-4,1.9257475E-4,1.0547615,1.0E-5,0.0017730123,0.0018244236,0.001844387,1.0109423,2.0E-5
6.7,3.3880428E-6,3.4862178E-6,3.4862178E-6,1.0,0.0,1.4520103E-5,1.4940857E-5,1.4940857E-5,1.0,0.0,1.767679E-4,1.8189136E-4,1.9188954E-4,1.0549679,1.0E-5,0.0017662736,0.0018175826,0.0018375462,1.0109836,2.0E-5
6.8,2.6582E-6,2.734137E-6,2.734137E-6,1.0,0.0,1.1392236E-5,1.1717686E-5,1.1717686E-5,1.0,0.0,1.3869164E-4,1.4265483E-4,1.526534E-4,1.0700892,1.0E-5,0.0013860512,0.0014257646,0.0014457362,1.0140076,2.0E-5
6.9,2.406011E-6,2.4747242E-6,2.4747242E-6,1.0,0.0,1.0311434E-5,1.0605925E-5,1.0605925E-5,1.0,0.0,1.2553448E-4,1.2912082E-4,1.3911953E-4,1.0774368,1.0E-5,0.0012546359,0.0012905875,0.0013005746,1.0077384,1.0E-5
7.0,1.6953097E-6,1.7432128E-6,1.7432128E-6,1.0,0.0,7.265593E-6,7.4708964E-6,7.4708964E-6,1.0,0.0,8.8455E-5,9.0955415E-5,9.0955415E-5,1.0,0.0,8.84198E-4,9.092847E-4,9.092847E-4,1.0,0.0
7.1,3.5013824E-7,3.5718844E-7,3.5718844E-7,1.0,0.0,1.5005916E-6,1.5308068E-6,1.5308068E-6,1.0,0.0,1.826955E-5,1.8637416E-5,1.8637416E-5,1.0,0.0,1.8268047E-4,1.8635878E-4,1.8635878E-4,1.0,0.0
7.2,2.2321095E-7,2.2753035E-7,2.2753035E-7,1.0,0.0,9.56618E-7,9.751298E-7,9.751298E-7,1.0,0.0,1.1646762E-5,1.1872141E-5,1.1872141E-5,1.0,0.0,1.1646151E-4,1.1871517E-4,1.1871517E-4,1.0,0.0
7.3,1.5760406E-7,1.6062644E-7,1.6062644E-7,1.0,0.0,6.7544585E-7,6.8839887E-7,6.8839887E-7,1.0,0.0,8.223522E-6,8.381225E-6,8.381225E-6,1.0,0.0,8.2232174E-5,8.380915E-5,8.380915E-5,1.0,0.0
7.4,1.1216497E-7,1.14329396E-7,1.14329396E-7,1.0,0.0,4.8070694E-7,4.8998305E-7,4.8998305E-7,1.0,0.0,5.852591E-6,5.9655276E-6,5.9655276E-6,1.0,0.0,5.8524372E-5,5.9653717E-5,5.9653717E-5,1.0,0.0
7.5,4.885185E-8,4.97931E-8,4.97931E-8,1.0,0.0,2.0936506E-7,2.1339899E-7,2.1339899E-7,1.0,0.0,2.5490165E-6,2.5981299E-6,2.5981299E-6,1.0,0.0,2.5489873E-5,2.5981013E-5,2.5981013E-5,1.0,0.0
7.6,1.504641E-9,1.5319457E-9,1.5319457E-9,1.0,0.0,6.4484613E-9,6.5654815E-9,6.5654815E-9,1.0,0.0,7.851001E-8,7.9934736E-8,7.9934736E-8,1.0,0.0,7.8509987E-7,7.993474E-7,7.993474E-7,1.0,0.0
