Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23013452,132.0,91.42927,81.0,77.0,36.0,2611.0,58.0,68.0,99.0,185.0
0.46026903,207.0,174.20007,148.0,141.0,86.0,6267.0,113.0,128.0,184.0,388.0
0.6904036,260.0,254.62111,211.0,195.0,130.0,9048.0,165.0,185.0,268.0,601.0
0.92053807,300.0,331.71472,270.0,260.0,164.0,12056.0,213.0,236.0,347.0,825.0
1.1506726,327.0,405.21902,325.0,305.0,207.0,14499.0,258.0,285.0,423.0,1044.0
1.3808072,381.0,481.55002,381.0,369.0,251.0,17348.0,304.0,335.0,502.0,1271.0
1.6109416,411.0,549.4722,431.0,405.0,279.0,23586.0,344.0,379.0,572.0,1487.0
1.8410761,445.0,609.18695,475.0,431.0,311.0,26517.0,380.0,417.0,633.0,1677.0
2.0712106,471.0,662.8384,514.0,474.0,333.0,28485.0,411.0,451.0,689.0,1851.0
2.301345,496.0,711.9399,549.0,510.0,353.0,30072.0,439.0,481.0,741.0,2018.0
2.5314798,517.0,756.7176,581.0,534.0,370.0,31518.0,465.0,509.0,787.0,2158.0
2.7616143,543.0,798.3532,611.0,553.0,379.0,32535.0,489.0,535.0,832.0,2292.0
2.9917488,557.0,836.7904,638.0,582.0,393.0,33583.0,510.0,559.0,872.0,2425.0
3.2218833,576.0,873.17816,664.0,617.0,413.0,35594.0,530.0,581.0,911.0,2550.0
3.4520178,590.0,907.2147,688.0,628.0,436.0,38599.0,549.0,601.0,946.0,2670.0
3.6821523,601.0,939.3515,711.0,664.0,449.0,40621.0,567.0,621.0,980.0,2789.0
3.9122868,627.0,969.57104,732.0,679.0,458.0,42033.0,584.0,639.0,1011.0,2893.0
4.1424212,639.0,998.34174,753.0,699.0,474.0,43224.0,600.0,656.0,1041.0,2984.0
4.3725557,659.0,1025.2816,772.0,706.0,491.0,44340.0,615.0,673.0,1070.0,3059.0
4.60269,680.0,1051.3074,790.0,717.0,506.0,45310.0,629.0,689.0,1098.0,3158.0
4.8328247,697.0,1075.922,807.0,717.0,513.0,46175.0,643.0,703.0,1124.0,3240.0
5.0629597,728.0,1099.656,824.0,772.0,523.0,47061.0,656.0,718.0,1149.0,3338.0
5.293094,741.0,1122.5952,840.0,769.0,539.0,47777.0,668.0,731.0,1174.0,3418.0
5.5232286,763.0,1144.4263,856.0,773.0,550.0,48443.0,680.0,745.0,1197.0,3494.0
5.753363,775.0,1165.8434,871.0,780.0,561.0,49005.0,692.0,757.0,1220.0,3578.0
5.9834976,788.0,1185.9197,885.0,814.0,569.0,49598.0,703.0,769.0,1241.0,3644.0
6.213632,799.0,1205.4164,899.0,823.0,578.0,50198.0,714.0,781.0,1263.0,3706.0
6.4437666,807.0,1224.6586,913.0,818.0,585.0,50722.0,724.0,793.0,1284.0,3780.0
6.673901,812.0,1243.1244,925.0,825.0,605.0,51233.0,734.0,804.0,1303.0,3841.0
6.9040356,818.0,1261.2692,938.0,852.0,624.0,51693.0,744.0,814.0,1323.0,3914.0
7.13417,825.0,1279.4624,950.0,843.0,629.0,52101.0,753.0,824.0,1343.0,3977.0
7.3643045,834.0,1296.7621,962.0,851.0,641.0,52520.0,762.0,834.0,1361.0,4048.0
7.594439,839.0,1313.6804,973.0,898.0,646.0,52913.0,771.0,844.0,1379.0,4105.0
7.8245735,846.0,1329.7351,984.0,893.0,661.0,53285.0,780.0,853.0,1396.0,4159.0
8.0547085,850.0,1345.4043,995.0,908.0,667.0,53606.0,788.0,863.0,1415.0,4212.0
8.2848425,859.0,1360.9457,1006.0,915.0,676.0,53963.0,796.0,871.0,1431.0,4266.0
8.514977,866.0,1375.959,1016.0,899.0,682.0,54272.0,804.0,880.0,1447.0,4318.0
8.745111,870.0,1391.0283,1026.0,908.0,691.0,54556.0,812.0,888.0,1463.0,4377.0
8.975246,876.0,1405.5719,1035.0,931.0,695.0,54832.0,819.0,897.0,1478.0,4427.0
9.20538,883.0,1419.7626,1045.0,942.0,700.0,55147.0,827.0,905.0,1494.0,4478.0
9.435515,892.0,1433.8258,1055.0,946.0,705.0,55397.0,834.0,913.0,1510.0,4530.0
9.665649,899.0,1447.3988,1064.0,954.0,708.0,55669.0,841.0,920.0,1524.0,4597.0
9.895784,905.0,1460.3761,1072.0,964.0,710.0,55926.0,848.0,928.0,1539.0,4646.0
10.125919,915.0,1473.1558,1081.0,998.0,715.0,56148.0,855.0,935.0,1552.0,4719.0
10.356053,922.0,1485.7144,1090.0,982.0,716.0,56412.0,861.0,942.0,1566.0,4768.0
10.586188,929.0,1498.3125,1099.0,997.0,721.0,56682.0,867.0,949.0,1579.0,4826.0
10.816322,938.0,1510.4705,1107.0,968.0,726.0,56956.0,873.0,956.0,1592.0,4869.0
11.046457,949.0,1522.4614,1115.0,978.0,731.0,57236.0,880.0,963.0,1605.0,4923.0
11.276591,952.0,1534.4314,1123.0,1002.0,734.0,57458.0,885.0,970.0,1618.0,4978.0
11.506726,959.0,1546.2703,1131.0,1017.0,741.0,57685.0,891.0,976.0,1631.0,5029.0
11.73686,964.0,1557.7501,1138.0,1038.0,743.0,57928.0,897.0,982.0,1644.0,5080.0
11.966995,970.0,1568.8885,1146.0,1027.0,744.0,58138.0,903.0,989.0,1655.0,5121.0
12.197129,985.0,1579.8038,1153.0,1017.0,747.0,58380.0,909.0,995.0,1667.0,5166.0
12.427264,989.0,1590.5131,1160.0,1039.0,754.0,58568.0,914.0,1001.0,1678.0,5200.0
12.657398,992.0,1600.9152,1167.0,1042.0,758.0,58726.0,919.0,1006.0,1690.0,5232.0
12.887533,997.0,1611.0757,1174.0,1056.0,762.0,58893.0,924.0,1012.0,1701.0,5259.0
13.117667,1000.0,1621.4736,1181.0,1060.0,769.0,59072.0,930.0,1018.0,1712.0,5302.0
13.347802,1006.0,1631.6885,1188.0,1077.0,772.0,59246.0,935.0,1024.0,1723.0,5347.0
13.577937,1013.0,1641.7433,1195.0,1046.0,776.0,59433.0,939.0,1029.0,1734.0,5385.0
13.808071,1014.0,1651.6901,1201.0,1098.0,780.0,59608.0,945.0,1034.0,1746.0,5415.0
14.038206,1018.0,1661.5654,1208.0,1064.0,786.0,59766.0,949.0,1040.0,1756.0,5457.0
14.26834,1019.0,1671.5016,1214.0,1106.0,788.0,59892.0,954.0,1045.0,1767.0,5490.0
14.498475,1021.0,1681.0128,1221.0,1097.0,793.0,60047.0,959.0,1050.0,1776.0,5530.0
14.728609,1025.0,1690.4854,1226.0,1078.0,796.0,60196.0,964.0,1055.0,1787.0,5573.0
14.958744,1031.0,1699.8312,1233.0,1117.0,800.0,60337.0,968.0,1060.0,1797.0,5602.0
15.188878,1038.0,1709.2207,1238.0,1084.0,802.0,60478.0,973.0,1065.0,1808.0,5656.0
15.419013,1041.0,1718.1719,1244.0,1089.0,803.0,60617.0,977.0,1070.0,1817.0,5679.0
15.649147,1045.0,1727.0059,1250.0,1090.0,810.0,60747.0,981.0,1075.0,1827.0,5717.0
15.879282,1046.0,1735.7603,1255.0,1137.0,812.0,60881.0,986.0,1080.0,1838.0,5759.0
16.109417,1047.0,1744.205,1261.0,1139.0,813.0,61012.0,990.0,1084.0,1847.0,5795.0
16.33955,1049.0,1752.5228,1266.0,1131.0,819.0,61147.0,994.0,1089.0,1856.0,5826.0
16.569685,1051.0,1760.809,1272.0,1143.0,821.0,61274.0,998.0,1093.0,1865.0,5853.0
16.79982,1053.0,1769.2247,1277.0,1152.0,824.0,61419.0,1002.0,1098.0,1873.0,5909.0
17.029955,1054.0,1777.3412,1282.0,1173.0,836.0,61540.0,1006.0,1102.0,1883.0,5952.0
17.26009,1055.0,1785.425,1287.0,1124.0,840.0,61667.0,1010.0,1107.0,1892.0,5981.0
17.490223,1060.0,1793.2256,1293.0,1141.0,841.0,61805.0,1014.0,1111.0,1901.0,6004.0
17.720358,1061.0,1801.251,1298.0,1168.0,846.0,61933.0,1018.0,1116.0,1910.0,6031.0
17.950493,1063.0,1809.2145,1303.0,1157.0,857.0,62052.0,1021.0,1120.0,1919.0,6072.0
