Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14653815,0.0,0.21444,0.0,0.0,0.0,179.0,0.0,0.0,1.0,1.0
0.2930763,0.0,0.43142,0.0,0.0,0.0,225.0,0.0,0.0,1.0,2.0
0.43961447,0.0,0.6625,0.0,0.0,0.0,359.0,0.0,0.0,1.0,3.0
0.5861526,0.0,0.89599,1.0,0.0,0.0,444.0,0.0,0.0,2.0,3.0
0.7326908,0.0,1.12151,1.0,0.0,0.0,495.0,0.0,0.0,2.0,4.0
0.87922895,0.0,1.34839,1.0,0.0,0.0,547.0,0.0,0.0,2.0,5.0
1.0257671,0.0,1.57134,1.0,1.0,0.0,574.0,0.0,0.0,3.0,5.0
1.1723052,0.0,1.79095,1.0,1.0,0.0,597.0,0.0,0.0,3.0,6.0
1.3188434,0.0,2.00365,1.0,1.0,0.0,620.0,0.0,0.0,3.0,6.0
1.4653816,0.0,2.21367,2.0,1.0,0.0,643.0,0.0,0.0,3.0,7.0
1.6119198,0.0,2.41861,2.0,1.0,0.0,656.0,0.0,0.0,4.0,7.0
1.7584579,0.0,2.63325,2.0,1.0,0.0,669.0,0.0,1.0,4.0,7.0
1.904996,0.0,2.8402,2.0,2.0,0.0,752.0,0.0,1.0,4.0,8.0
2.0515342,0.0,3.0438,2.0,2.0,0.0,821.0,0.0,1.0,4.0,8.0
2.1980724,0.0,3.25427,2.0,2.0,0.0,874.0,0.0,1.0,5.0,9.0
2.3446105,1.0,3.45437,3.0,2.0,0.0,907.0,0.0,1.0,5.0,9.0
2.4911487,1.0,3.65803,3.0,2.0,0.0,932.0,0.0,1.0,5.0,10.0
2.6376867,1.0,3.86405,3.0,2.0,0.0,967.0,0.0,1.0,5.0,10.0
2.784225,1.0,4.05902,3.0,2.0,0.0,994.0,0.0,1.0,6.0,11.0
2.9307632,1.0,4.24951,3.0,3.0,0.0,1014.0,0.0,1.0,6.0,11.0
3.0773013,1.0,4.43808,3.0,3.0,0.0,1020.0,0.0,1.0,6.0,11.0
3.2238395,1.0,4.62178,4.0,3.0,0.0,1039.0,0.0,2.0,6.0,12.0
3.3703775,1.0,4.80939,4.0,3.0,0.0,1053.0,0.0,2.0,6.0,12.0
3.5169158,1.0,4.9894,4.0,3.0,0.0,1075.0,0.0,2.0,7.0,13.0
3.663454,1.0,5.17062,4.0,3.0,0.0,1089.0,0.0,2.0,7.0,13.0
3.809992,2.0,5.35418,4.0,3.0,0.0,1108.0,1.0,2.0,7.0,14.0
3.9565303,2.0,5.53003,4.0,4.0,0.0,1121.0,1.0,2.0,7.0,14.0
4.1030684,3.0,5.70162,4.0,4.0,0.0,1132.0,1.0,2.0,7.0,14.0
4.2496066,3.0,5.87565,5.0,4.0,0.0,1140.0,1.0,2.0,8.0,15.0
4.396145,3.0,6.04399,5.0,4.0,0.0,1146.0,1.0,2.0,8.0,15.0
4.5426826,3.0,6.21615,5.0,4.0,0.0,1174.0,1.0,2.0,8.0,16.0
4.689221,3.0,6.38938,5.0,4.0,0.0,1187.0,1.0,3.0,8.0,16.0
4.835759,3.0,6.55932,5.0,4.0,0.0,1195.0,1.0,3.0,8.0,17.0
4.9822974,3.0,6.72305,5.0,4.0,0.0,1206.0,1.0,3.0,9.0,17.0
5.1288357,4.0,6.89,5.0,5.0,0.0,1213.0,1.0,3.0,9.0,17.0
5.2753735,4.0,7.05103,5.0,5.0,0.0,1219.0,1.0,3.0,9.0,18.0
5.4219117,4.0,7.20753,6.0,5.0,0.0,1225.0,1.0,3.0,9.0,18.0
5.56845,4.0,7.36706,6.0,5.0,0.0,1232.0,1.0,3.0,9.0,19.0
5.714988,4.0,7.52032,6.0,5.0,0.0,1238.0,1.0,3.0,10.0,19.0
5.8615265,4.0,7.67139,6.0,5.0,0.0,1241.0,1.0,3.0,10.0,19.0
6.0080643,4.0,7.82163,6.0,5.0,0.0,1248.0,1.0,3.0,10.0,20.0
6.1546025,4.0,7.97068,6.0,5.0,0.0,1257.0,1.0,3.0,10.0,20.0
6.301141,4.0,8.12337,6.0,5.0,0.0,1261.0,2.0,4.0,10.0,21.0
6.447679,4.0,8.2704,6.0,5.0,0.0,1274.0,2.0,4.0,10.0,21.0
6.5942173,4.0,8.42113,6.0,6.0,0.0,1278.0,2.0,4.0,10.0,21.0
6.740755,4.0,8.56787,7.0,6.0,0.0,1282.0,2.0,4.0,11.0,22.0
6.8872933,4.0,8.71537,7.0,6.0,0.0,1289.0,2.0,4.0,11.0,22.0
7.0338316,4.0,8.8629,7.0,6.0,0.0,1296.0,2.0,4.0,11.0,22.0
